rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
36,Julius Dein @juliusdein,9200000.0,,संयुक्त अधिराज्य,,2800000.0,youtube,united-kingdom,False,2024,,,
37,The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,9100000.0,0.1,संयुक्त अधिराज्य,,2700000.0,youtube,united-kingdom,False,2024,,,
38,English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,9000000.0,,संयुक्त अधिराज्य,,2700000.0,youtube,united-kingdom,False,2024,,,
39,Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,8900000.0,,संयुक्त अधिराज्य,,2700000.0,youtube,united-kingdom,False,2024,,,
40,Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,8700000.0,,संयुक्त अधिराज्य,,2600000.0,youtube,united-kingdom,False,2024,,,
41,Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,8500000.0,1.7,संयुक्त अधिराज्य,भिडियो गेमिङ,2600000.0,youtube,united-kingdom,False,2024,Tech&Gaming,MAPPED,Video gaming
42,Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,8400000.0,,संयुक्त अधिराज्य,,2500000.0,youtube,united-kingdom,False,2024,,,
43,Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,8300000.000000001,,संयुक्त अधिराज्य,,2500000.0,youtube,united-kingdom,False,2024,,,
44,BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,8100000.0,,संयुक्त अधिराज्य,,2400000.0,youtube,united-kingdom,False,2024,,,
45,Liverpool FC @liverpoolfc,8000000.0,,संयुक्त अधिराज्य,,2400000.0,youtube,united-kingdom,False,2024,,,
46,Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,7800000.0,1.8,संयुक्त अधिराज्य,,2300000.0,youtube,united-kingdom,False,2024,,,
47,Daz Games @UCDBCCMlFD-hArPbWv38FINA,7600000.0,0.3,संयुक्त अधिराज्य,,2300000.0,youtube,united-kingdom,False,2024,,,
48,Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,7600000.0,,संयुक्त अधिराज्य,,2300000.0,youtube,united-kingdom,False,2024,,,
49,PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,7600000.0,,संयुक्त अधिराज्य,,2300000.0,youtube,united-kingdom,False,2024,,,
50,carwow @UCUhFaUpnq31m6TNX2VKVSVA,7500000.0,0.2,संयुक्त अधिराज्य,,2200000.0,youtube,united-kingdom,False,2024,,,
51,Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,7400000.0,,संयुक्त अधिराज्य,,2200000.0,youtube,united-kingdom,False,2024,,,
52,TomSka @UCOYWgypDktXdb-HfZnSMK6A,7200000.0,2.2,संयुक्त अधिराज्य,,2200000.0,youtube,united-kingdom,False,2024,,,
53,YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,7100000.0,,संयुक्त अधिराज्य,समाचारहरू,2100000.0,youtube,united-kingdom,False,2024,Knowledge&Info,MAPPED,the news
54,LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,7000000.0,,संयुक्त अधिराज्य,भिडियो गेमिङ,2100000.0,youtube,united-kingdom,False,2024,Tech&Gaming,MAPPED,Video gaming
55,The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,6900000.0,0.1,संयुक्त अधिराज्य,,2100000.0,youtube,united-kingdom,False,2024,,,
56,Passenger @UCFHtCB_FWXQ8GpjgfYcD8-g,6900000.0,,संयुक्त अधिराज्य,,2100000.0,youtube,united-kingdom,False,2024,,,
57,MessYourself @UCrSgaO6xOY8YV1EoCbD51HA,6900000.0,,संयुक्त अधिराज्य,,2100000.0,youtube,united-kingdom,False,2024,,,
58,MoreSidemen @UCh5mLn90vUaB1PbRRx_AiaA,6800000.0,0.6,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
59,Boomerang UK @UCmst562fALOY2cKb4IFgqEg,6800000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
60,James Arthur @UCV5Gw7GGOMxe6SSF6llp_3Q,6800000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
61,ARPO The Robot @UCrSx8rek9EuC3YGHvG8aalw,6700000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
62,24 News HD @UCcmpeVbSSQlZRvHfdC-CRwg,6700000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
63,RubyandBonnie @UC_wITz-Ze4JFc3WLQA1n3Hw,6600000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
64,Nickelodeon UK @UCHiceVclOIFCgAcveITRLLw,6600000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
65,Mark Ronson @UCSY5V7BJSrxNvvBF0Drslow,6500000.0,,संयुक्त अधिराज्य,,2000000.0,youtube,united-kingdom,False,2024,,,
66,Rhia Official @UCQdsJ95w9jh-yB0BA6EDGWA,6400000.0,,संयुक्त अधिराज्य,,1900000.0,youtube,united-kingdom,False,2024,,,
67,UKF Dubstep @UCfLFTP1uTuIizynWsZq2nkQ,6300000.0,,संयुक्त अधिराज्य,,1900000.0,youtube,united-kingdom,False,2024,,,
68,TGFbro @UCOgUcv_9DaivXzsN9mcHIzQ,6200000.0,0.9,संयुक्त अधिराज्य,,1900000.0,youtube,united-kingdom,False,2024,,,
69,Wilbur Soot @UC1n_PfsVqxllCcnMPlxBIjw,6200000.0,2.6,संयुक्त अधिराज्य,,1900000.0,youtube,united-kingdom,False,2024,,,
70,Russell Brand @UCswH8ovgUp5Bdg-0_JTYFNw,6200000.0,,संयुक्त अधिराज्य,,1900000.0,youtube,united-kingdom,False,2024,,,
71,Manchester United @UC6yW44UGJJBvYTlfC7CRg2Q,6200000.0,0.2,संयुक्त अधिराज्य,,1900000.0,youtube,united-kingdom,False,2024,,,
72,Pingu - Official Channel @UCM88mtSE0zRTn5ae4EbYcuw,6200000.0,,संयुक्त अधिराज्य,,1800000.0,youtube,united-kingdom,False,2024,,,
73,Mrwhosetheboss Shorts @UCZSlfzadjnw7G419c_OJ9eg,6100000.0,,संयुक्त अधिराज्य,,1800000.0,youtube,united-kingdom,False,2024,,,
74,Niko Omilana @UCdcUmdOxMrhRjKMw-BX19AA,6000000.0,16.2,संयुक्त अधिराज्य,,1800000.0,youtube,united-kingdom,False,2024,,,
75,Tiana Wilson @UC7_yh9PEDpaqp34QtGO-_Yw,5900000.0,,संयुक्त अधिराज्य,,1800000.0,youtube,united-kingdom,False,2024,,,
76,Capital FM @UCZzwjZPc6R_PbnDgFVMwlvQ,5800000.0,,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
77,Simon's Cat @UCH6vXjt-BA7QHl0KnfL-7RQ,5800000.0,0.3,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
78,CGP Grey @UC2C_jShtL725hvbm1arSV9w,5800000.0,,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
79,Jamie Oliver @UCpSgg_ECBj25s9moCDfSTsA,5800000.0,,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
80,ChrisMD @sirhcchris2010,5600000.0,2.2,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
81,Dumori Bay @UC-VDfQNL-S44eZscGlXI14g,5600000.0,,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
82,Space Videos @UCakgsb0w7QB0VHdnCc-OVEA,5500000.0,,संयुक्त अधिराज्य,,1700000.0,youtube,united-kingdom,False,2024,,,
83,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5500000.0,,संयुक्त अधिराज्य,प्रसिद्धि,1700000.0,youtube,united-kingdom,False,2024,UNMAPPED,UNMAPPED,fame
84,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5400000.0,,संयुक्त अधिराज्य,,1600000.0,youtube,united-kingdom,False,2024,,,
85,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5300000.0,,संयुक्त अधिराज्य,,1600000.0,youtube,united-kingdom,False,2024,,,
86,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5300000.0,1.9,संयुक्त अधिराज्य,,1600000.0,youtube,united-kingdom,False,2024,,,
87,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,5200000.0,,संयुक्त अधिराज्य,प्रसिद्धि,1600000.0,youtube,united-kingdom,False,2024,UNMAPPED,UNMAPPED,fame
88,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,5200000.0,,संयुक्त अधिराज्य,,1500000.0,youtube,united-kingdom,False,2024,,,
89,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5000000.0,0.8,संयुक्त अधिराज्य,,1500000.0,youtube,united-kingdom,False,2024,,,
90,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5000000.0,,संयुक्त अधिराज्य,,1500000.0,youtube,united-kingdom,False,2024,,,
91,TheDadLab @thedadlab,5000000.0,,संयुक्त अधिराज्य,,1500000.0,youtube,united-kingdom,False,2024,,,
92,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4900000.0,,संयुक्त अधिराज्य,,1500000.0,youtube,united-kingdom,False,2024,,,
93,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,4800000.0,,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
94,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4800000.0,,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
95,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,4800000.0,,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
96,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,4700000.0,1.1,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
97,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,4700000.0,2.4,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
98,Zerkaa @UChntGq8THlUokhc1tT-M2wA,4700000.0,2.3,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
99,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4600000.0,,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
100,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4500000.0,,संयुक्त अधिराज्य,,1400000.0,youtube,united-kingdom,False,2024,,,
