rank,followers,er,audience_country,topic_of_influence,potential_reach,name,id,_platform,_country,_is_global,_year,category_unified,category_status
91,22100000.0,,,,6600000.0,Marrkadams ,marrkadams,tiktok,aland-islands,False,2024,,
92,22000000.0,0.2,United States,Entertainment and Music,6600000.0,ROMINA ,rominagafur,tiktok,aland-islands,False,2024,Music,MAPPED
93,22000000.0,,,,6600000.0,창하CHANGHA ,chang._.a,tiktok,aland-islands,False,2024,,
94,21900000.0,,,Funny,6600000.0,josi ,jmartineze_,tiktok,aland-islands,False,2024,Entertainment,MAPPED
95,21900000.0,,,Entertainment and Music,6600000.0,Caín Guzmán ,cainguzman,tiktok,aland-islands,False,2024,Music,MAPPED
96,21500000.0,,United States,Entertainment and Music,6500000.0,Bryce Hall ,brycehall,tiktok,aland-islands,False,2024,Music,MAPPED
97,21500000.0,,,Entertainment and Music,6500000.0,온오빠 On Oppa ,korea.on,tiktok,aland-islands,False,2024,Music,MAPPED
98,21300000.0,,,,6400000.0,Seany ,seandoesmagic,tiktok,aland-islands,False,2024,,
99,21300000.0,2.6,,,6400000.0,Pk ,pkllipe,tiktok,aland-islands,False,2024,,
100,21100000.0,,,Entertainment and Music,6300000.0,The Hype House ,thehypehouse,tiktok,aland-islands,False,2024,Music,MAPPED
