rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,id,topic_of_influence_en
29,Habari_Njema @habari_njema,513400.0,0.2,Afghanistan,Entertainment and Music Education,154000.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED,,
30,menokakar @menokakar,505000.0,,Afghanistan,,151500.0,tiktok,afghanistan,False,2024,,,,
31,Sami Sadat @sami_sadat,490200.0,,Afghanistan,,147100.0,tiktok,afghanistan,False,2024,,,,
32,Aimal Habibi @aimalhabibi01,486600.0,,Afghanistan,,146000.0,tiktok,afghanistan,False,2024,,,,
33,🔥Jan Nawid🔥 @nawidsamadi_07,484700.0,,Afghanistan,Games,145400.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED,,
34,96 | B L A C K @96black1,481700.0,,Afghanistan,Video Gaming,144500.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED,,
35,theshaniproject @theshaniproject,477900.0,,Afghanistan,Education,143400.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED,,
36,khushal_jan @khushal_jan28,476900.0,,Afghanistan,,143100.0,tiktok,afghanistan,False,2024,,,,
37,Yassna @anarkali_08,474300.0,,Afghanistan,,142300.0,tiktok,afghanistan,False,2024,,,,
38,Abid Mahmood Khogyanai @abidmahmoodkhogya,460100.0,,Afghanistan,Food Nature,138000.0,tiktok,afghanistan,False,2024,Lifestyle,MAPPED,,
39,🅗🅐🅚🅘🅜🅘 @_shamshakimi,449300.0,,Afghanistan,,134800.0,tiktok,afghanistan,False,2024,,,,
40,❦︎🅒︎🅡︎🅘︎🅖︎🅔︎ 🅜︎🅐︎🅝︎❦︎ @gamergalaxyskin009_yt,444700.0,,Afghanistan,,133400.0,tiktok,afghanistan,False,2024,,,,
41,♥️🤤 @sonasadat,440000.0,0.1,Afghanistan,,132000.0,tiktok,afghanistan,False,2024,,,,
42,Rahmanullah 21 @rahmanullahgurbaz31,437100.0,,Afghanistan,,131100.0,tiktok,afghanistan,False,2024,,,,
43,🇦🇫👑Salman Helmandai 👑🇦🇫 @ismailshahjeweller,435700.0,,Afghanistan,,130700.0,tiktok,afghanistan,False,2024,,,,
44,❤️Javed Afghan❤️ @javedafghanshinwari,433400.0,,Afghanistan,,130000.0,tiktok,afghanistan,False,2024,,,,
45,IM AFGHANISTAN FAMILY PIOLT @niloofar_rahmani,417800.0,,Afghanistan,family,125300.0,tiktok,afghanistan,False,2024,Lifestyle,MAPPED,,
46,Rukhsar Achakzai @rukhsar_x0o,416700.0,,Afghanistan,Funny,125000.0,tiktok,afghanistan,False,2024,Entertainment,MAPPED,,
47,Massud Shirzad @massud.shirzad,416200.0,,Afghanistan,,124900.0,tiktok,afghanistan,False,2024,,,,
48,🧿مرواری هوتک🧿افغانی مور🇦🇫 @marwari_hotak,405400.0,,Afghanistan,,121600.0,tiktok,afghanistan,False,2024,,,,
49,Latifa Azizi @latifaazizi404,403400.0,,Afghanistan,,121000.0,tiktok,afghanistan,False,2024,,,,
50,official_hafsaidris4 @hafsaidris4,391400.0,,Afghanistan,Entertainment and Music,117400.0,tiktok,afghanistan,False,2024,Music,MAPPED,,
51,🥀فیضو_مندوخیل🥀 @malang_weror,390900.0,,Afghanistan,,117300.0,tiktok,afghanistan,False,2024,,,,
52,✨⚡️Shinwari ⚡️✨ @pekhawari_laila,388900.0,,Afghanistan,,116700.0,tiktok,afghanistan,False,2024,,,,
53,hazratullah Zazai 3 @hazratullah_zazai33333,379100.0,,Afghanistan,Sports,113700.0,tiktok,afghanistan,False,2024,Sports,MAPPED,,
54,👑 Įᒪ¥𝐀ş💙ｋ𝐡 @ilyas_khan41,376900.0,,Afghanistan,,113100.0,tiktok,afghanistan,False,2024,,,,
55,majidkha991 @majidkpk991,371800.0,,Afghanistan,,111500.0,tiktok,afghanistan,False,2024,,,,
56,Mr. 🇦🇫🐅 @rahilreehanofficial,368900.0,,Afghanistan,,110700.0,tiktok,afghanistan,False,2024,,,,
57,Sultana2 @sultanalove2,367900.0,0.3,Afghanistan,,110400.0,tiktok,afghanistan,False,2024,,,,
58,user8902640896943 @altaf.mokhlis123,355200.0,0.1,Afghanistan,,106600.0,tiktok,afghanistan,False,2024,,,,
59,Pathan @suliman_kaka,354000.0,,Afghanistan,,106200.0,tiktok,afghanistan,False,2024,,,,
60,Ada qaderi 007 @ada.qaderi007,345600.0,,Afghanistan,,103700.0,tiktok,afghanistan,False,2024,,,,
61,Ziba hamidi @ziba.hamidiofficial,340200.0,,Afghanistan,,102100.0,tiktok,afghanistan,False,2024,,,,
62,🖤ツلـونـګـيـن🇦🇫🥀 @mr_lawangen,338300.0,,Afghanistan,,101500.0,tiktok,afghanistan,False,2024,,,,
63,Sana faisal 🇦🇫 @sana_faisal_official1,337600.0,,Afghanistan,,101300.0,tiktok,afghanistan,False,2024,,,,
64,Neyaz Mohseni 🥇 @neyazmohseni,330800.0,,Afghanistan,Celebrity Medical Health Music,99200.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED,,
65,S I K A N D A R©️ سکندر نجیب @sikandar.najib7,330100.0,,Afghanistan,Entertainment and Music Upskilling,99000.0,tiktok,afghanistan,False,2024,Knowledge&Info,MAPPED,,
66,chief 💫 @officiallchief,325100.0,0.5,Afghanistan,Entertainment and Music,97500.0,tiktok,afghanistan,False,2024,Music,MAPPED,,
67,ROOHULLAH @roohullah_tareen,322800.0,,Afghanistan,,96800.0,tiktok,afghanistan,False,2024,,,,
68,user243360 @mohammad78123,322300.0,,Afghanistan,,96700.0,tiktok,afghanistan,False,2024,,,,
69,🍁🅼🅰🆀🆂🅾🅾🅳 🅳🅰🆆🅰🆁 🍁 @maqsood_dawar,320200.0,,Afghanistan,,96100.0,tiktok,afghanistan,False,2024,,,,
70,𝖘𝖍𝖚𝖍𝖆𝖎𝖑𝖆🇦🇫🇵🇭 @shuhailasayedsultan0,320100.0,,Afghanistan,,96000.0,tiktok,afghanistan,False,2024,,,,
71,RTG_ شيخ @rtg_shikh,307300.0,,Afghanistan,,92200.0,tiktok,afghanistan,False,2024,,,,
72,دختر اسلام @dokhtar_islam,305900.0,,Afghanistan,,91800.0,tiktok,afghanistan,False,2024,,,,
73,Hejro To @hejro_afghan75,304400.0,,Afghanistan,,91300.0,tiktok,afghanistan,False,2024,,,,
74,Ataulahafghan☝️🇦🇫 @ataualahafghan1,303800.0,,Afghanistan,,91100.0,tiktok,afghanistan,False,2024,,,,
75,Abadullah Niazi @abadullah_niazi,296600.0,,Afghanistan,,89000.0,tiktok,afghanistan,False,2024,,,,
76,naz @nazfarzana24,295200.0,,Afghanistan,,88600.0,tiktok,afghanistan,False,2024,,,,
77,Masoodgorwan @masoodgorwan143,293900.0,,Afghanistan,Acting and Drama Celebrity,88200.0,tiktok,afghanistan,False,2024,Entertainment,MAPPED,,
78,Masoma Hosseini @_elena_203,290800.0,,Afghanistan,,87200.0,tiktok,afghanistan,False,2024,,,,
79,KHALID SHERZAD @khalid_sherzad,286700.0,0.4,Afghanistan,Funny,86000.0,tiktok,afghanistan,False,2024,Entertainment,MAPPED,,
80,Sorosh Haidari @sorosh_001,285700.0,,Afghanistan,,85700.0,tiktok,afghanistan,False,2024,,,,
81,🇦🇫⛤AFG⛤🇦🇫 @ahmet__jam,285300.0,,Afghanistan,,85600.0,tiktok,afghanistan,False,2024,,,,
82,Azami Family @iqbalazami,283500.0,,Afghanistan,,85100.0,tiktok,afghanistan,False,2024,,,,
83,Azaria Afghan 🇦🇫 @azariaafghan,283400.0,,Afghanistan,Pets,85000.0,tiktok,afghanistan,False,2024,Lifestyle,MAPPED,,
84,عصمت پاچا @asmat.pacha,280700.0,,Afghanistan,,84200.0,tiktok,afghanistan,False,2024,,,,
85,MIKAELA @mikyneazesilva,280000.0,,Afghanistan,,84000.0,tiktok,afghanistan,False,2024,,,,
86,Edrees Sharifi @edreessharifi,276000.0,0.3,Afghanistan,Video Gaming,82800.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED,,
87,Ubaidmalikbhai @ubaidmalikbhai,273900.0,,Afghanistan,,82200.0,tiktok,afghanistan,False,2024,,,,
88,Ayaan @ayaan_ahb,273400.0,,Afghanistan,,82000.0,tiktok,afghanistan,False,2024,,,,
89,Ali Khan ahmadzai @ali_ahmadzai90,267600.0,,Afghanistan,,80300.0,tiktok,afghanistan,False,2024,,,,
90,5 Star @5_star1,265800.0,,Afghanistan,Video Gaming,79700.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED,,
91,Shenkhalai @shenkhalai45,265000.0,,Afghanistan,,79500.0,tiktok,afghanistan,False,2024,,,,
92,Masoud Rostami ✅ @masoud.rostami,263200.0,,Afghanistan,,79000.0,tiktok,afghanistan,False,2024,,,,
93,Afsar Afghan @afsar_afghan8,261200.0,,Afghanistan,,78400.0,tiktok,afghanistan,False,2024,,,,
94,rehman khan <<<<” @rk_khan75,259600.00000000003,,Afghanistan,,77900.0,tiktok,afghanistan,False,2024,,,,
95,🔥𝙈𝘼𝙇𝘼𝙉𝙂 𝙈𝘼𝙍𝘿𝘼𝙉🔥 @mansoormalang83,259000.0,,Afghanistan,,77700.0,tiktok,afghanistan,False,2024,,,,
96,Zafar Jamıl @zafar.babak,259000.0,,Afghanistan,,77700.0,tiktok,afghanistan,False,2024,,,,
97,🔥Nawid Faizi🔥 @nawid.faizi,258700.0,,Afghanistan,Fitness,77600.0,tiktok,afghanistan,False,2024,Sports,MAPPED,,
98,Trgsafi @trgsafi,254800.0,,Afghanistan,Video Gaming,76400.0,tiktok,afghanistan,False,2024,Tech&Gaming,MAPPED,,
99,user6292984813953 @shaz_nawabi1,253900.0,0.1,Afghanistan,Funny,76200.0,tiktok,afghanistan,False,2024,Entertainment,MAPPED,,
100,Freshta Alimi @freshta.alimi,253000.0,0.1,Afghanistan,,75900.0,tiktok,afghanistan,False,2024,,,,
1,Khabane lame ,161900000.0,0.2,Italy,Funny Entertainment and Music,48600000.0,tiktok,aland-islands,False,2024,Music,MAPPED,khaby.lame,
2,Bella Poarch ,92600000.0,0.8,United States,,27800000.0,tiktok,aland-islands,False,2024,,,bellapoarch,
3,Addison Rae ,88500000.0,1.0,United States,Beauty and Self Care,26600000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,addisonre,
4,MrBeast ,85400000.0,4.0,,Entertainment and Music,25600000.0,tiktok,aland-islands,False,2024,Music,MAPPED,mrbeast,
5,Zach King ,78100000.0,2.9,United States,Entertainment and Music,23400000.0,tiktok,aland-islands,False,2024,Music,MAPPED,zachking,
6,Kimberly Loaiza ,76100000.0,1.6,Mexico,,22800000.0,tiktok,aland-islands,False,2024,,,kimberly.loaiza,
7,The Rock ,74200000.0,0.9,United States,Entertainment and Music Fitness and Health Business and Finance,22300000.0,tiktok,aland-islands,False,2024,Sports,MAPPED,therock,
8,Will Smith ,74100000.0,0.7,United States,,22200000.0,tiktok,aland-islands,False,2024,,,willsmith,
9,cznburak ,72000000.0,0.2,,,21600000.0,tiktok,aland-islands,False,2024,,,cznburak,
10,Jason Derulo ,58900000.0,0.4,United States,Entertainment and Music,17700000.0,tiktok,aland-islands,False,2024,Music,MAPPED,jasonderulo,
11,Kylie Jenner ,56000000.0,3.2,United States,Beauty and Self Care Fashion and Accessories,16800000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,kyliejenner,
12,Karol G ,51900000.0,3.8,Colombia,Entertainment and Music,15600000.0,tiktok,aland-islands,False,2024,Music,MAPPED,karolg,
13,Michael Le ,51400000.0,,Vietnam,,15400000.0,tiktok,aland-islands,False,2024,,,justmaiko,
14,BTS ,51000000.0,1.0,,Entertainment and Music,15300000.0,tiktok,aland-islands,False,2024,Music,MAPPED,bts_official_bighit,
15,BILLIE EILISH ,51000000.0,,,,15300000.0,tiktok,aland-islands,False,2024,,,billieeilish,
16,JoJo Siwa ,45600000.0,0.3,United States,Entertainment and Music,13700000.0,tiktok,aland-islands,False,2024,Music,MAPPED,itsjojosiwa,
17,ESPN ,44000000.0,,,Entertainment and Music,13200000.0,tiktok,aland-islands,False,2024,Music,MAPPED,espn,
18,Junya/じゅんや ,42800000.0,,,,12800000.0,tiktok,aland-islands,False,2024,,,junya1gou,
19,ХОМЯК ,42100000.0,,,Fashion and Accessories,12600000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,homm9k,
20,XO Team ,41400000.0,,,Entertainment and Music,12400000.0,tiktok,aland-islands,False,2024,Music,MAPPED,xoteam,
21,ROD🫠 ,41100000.0,,,Entertainment and Music,12300000.0,tiktok,aland-islands,False,2024,Music,MAPPED,elrodcontreras,
22,Joe ,40800000.0,,,family Entertainment and Music,12200000.0,tiktok,aland-islands,False,2024,Music,MAPPED,joealbanese,
23,Gordon Ramsay ,40000000.0,1.1,United Kingdom,Food,12000000.0,tiktok,aland-islands,False,2024,Lifestyle,MAPPED,gordonramsayofficial,
24,Carlos Feria ,39200000.0,,,,11800000.0,tiktok,aland-islands,False,2024,,,carlosferiag,
25,ondy mikula ,38800000.0,,,,11600000.0,tiktok,aland-islands,False,2024,,,ondymikula,
26,Scott 🔥 ,38400000.0,0.2,,Entertainment and Music,11500000.0,tiktok,aland-islands,False,2024,Music,MAPPED,scottsreality,
27,Shakira ,38200000.0,2.0,,,11500000.0,tiktok,aland-islands,False,2024,,,shakira,
28,Barstool Sports ,36900000.0,0.1,United States,Entertainment and Music Sports,11100000.0,tiktok,aland-islands,False,2024,Sports,MAPPED,barstoolsports,
29,James Charles ,36200000.0,,United States,Beauty and Self Care Arts and Crafts,10900000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,jamescharles,
30,kyle thomas 🌿 ,35400000.0,0.1,,,10600000.0,tiktok,aland-islands,False,2024,,,kylethomas,
31,Q Park ,35200000.0,,,,10600000.0,tiktok,aland-islands,False,2024,,,qpark,
32,GIL CROES ,35100000.0,,,Entertainment and Music,10500000.0,tiktok,aland-islands,False,2024,Music,MAPPED,gilmhercroes,
33,Kevin Hart ,34800000.0,1.7,United States,Entertainment and Music,10400000.0,tiktok,aland-islands,False,2024,Music,MAPPED,imkevinhart,
34,Kirya Kolesnikov ,34700000.0,,,Entertainment and Music Funny,10400000.0,tiktok,aland-islands,False,2024,Music,MAPPED,thekiryalife,
35,arianagrande ,34400000.0,,,Entertainment and Music,10300000.0,tiktok,aland-islands,False,2024,Music,MAPPED,arianagrande,
36,Pongámoslo a Prueba ,34200000.0,,,,10300000.0,tiktok,aland-islands,False,2024,,,pongamoslo_a_prueba,
37,ThatLittlePuff ,33500000.0,0.6,,Pets,10100000.0,tiktok,aland-islands,False,2024,Lifestyle,MAPPED,thatlittlepuff,
38,Montpantoja ,33300000.0,,,,10000000.0,tiktok,aland-islands,False,2024,,,montpantoja,
39,Devon Rodriguez ,32100000.0,0.2,United States,Arts and Crafts Education Upskilling,9600000.0,tiktok,aland-islands,False,2024,Knowledge&Info,MAPPED,devonrodriguezart,
40,Bad Bunny ,31800000.0,18.4,Puerto Rico,,9500000.0,tiktok,aland-islands,False,2024,,,badbunny,
41,Brooke Monk ,31700000.0,2.1,United States,Entertainment and Music Funny,9500000.0,tiktok,aland-islands,False,2024,Music,MAPPED,brookemonk_,
42,Indi skovar ,31600000.0,0.4,,Entertainment and Music,9500000.0,tiktok,aland-islands,False,2024,Music,MAPPED,indiskovar3.0,
43,Lele Pons ,31500000.0,0.9,United States,,9500000.0,tiktok,aland-islands,False,2024,,,lelepons,
44,Stokes Twins ,31200000.0,,United States,Entertainment and Music,9400000.0,tiktok,aland-islands,False,2024,Music,MAPPED,stokestwins,
45,Kira Kosarin ,31100000.0,0.7,,Entertainment and Music,9300000.0,tiktok,aland-islands,False,2024,Music,MAPPED,kirakosarin,
46,La Rosalia ,30900000.0,,Spain,,9300000.0,tiktok,aland-islands,False,2024,,,rosalia,
47,Alejandro Nieto ,30400000.0,,Colombia,,9100000.0,tiktok,aland-islands,False,2024,,,soybans,
48,Michel Chavez ,30200000.0,,Mexico,,9100000.0,tiktok,aland-islands,False,2024,,,its.michhh,
49,Liza Koshy ,30200000.0,,United States,,9100000.0,tiktok,aland-islands,False,2024,,,lizzza,
50,beca ,29200000.0,1.0,Brazil,Travel,8800000.0,tiktok,aland-islands,False,2024,Lifestyle,MAPPED,beca,
51,Topper Guild ,29000000.0,,United States,Entertainment and Music Celebrity,8700000.0,tiktok,aland-islands,False,2024,Music,MAPPED,topperguild,
52,Ignacia Antonia👑 ,28200000.0,,Chile,Beauty and Self Care,8500000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,ignaciaa_antonia,
53,Camilo ,28000000.0,,,Entertainment and Music,8400000.0,tiktok,aland-islands,False,2024,Music,MAPPED,camilo,
54,Daniel Ibarra ,27600000.0,,,Entertainment and Music,8300000.000000001,tiktok,aland-islands,False,2024,Music,MAPPED,juandaniel.ibarra,
55,시아지우 sia_jiwoo ,27500000.0,0.2,South Korea,,8300000.000000001,tiktok,aland-islands,False,2024,,,sia_jiwoo,
56,Lexi Rivera ,27100000.0,4.5,,,8100000.0,tiktok,aland-islands,False,2024,,,lexibrookerivera,
57,KEEMOKAZI ,27000000.0,,,Entertainment and Music,8100000.0,tiktok,aland-islands,False,2024,Music,MAPPED,keemokazi,
58,psg ,26700000.0,,,Sports,8000000.0,tiktok,aland-islands,False,2024,Sports,MAPPED,psg,
59,JeisonGiraldo ,26300000.0,,,family Romance and Wedding,7900000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,jeison_giraldo,
60,JeanCarlo Leon ,26300000.0,,,,7900000.0,tiktok,aland-islands,False,2024,,,jashlem,
61,Jimena ,26100000.0,1.2,,Funny,7800000.0,tiktok,aland-islands,False,2024,Entertainment,MAPPED,jimena.jimenezr,
62,Doja Cat ,26000000.0,0.1,United States,Entertainment and Music,7800000.0,tiktok,aland-islands,False,2024,Music,MAPPED,dojacat,
63,Bader Al Safar ,26000000.0,,Kuwait,Fashion and Accessories,7800000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,baderalsafar,
64,DAVID DOBRIK ,26000000.0,,United States,Entertainment and Music Funny,7800000.0,tiktok,aland-islands,False,2024,Music,MAPPED,daviddobrik,
65,LARRAY ,25900000.0,,,Entertainment and Music,7800000.0,tiktok,aland-islands,False,2024,Music,MAPPED,larrayeeee,
66,Era Ays ,25900000.0,,,,7800000.0,tiktok,aland-islands,False,2024,,,era_ays,
67,Karla Bustillos ❤️ ,25700000.0,0.1,,,7700000.0,tiktok,aland-islands,False,2024,,,karla.bustillos,
68,BORREGO ,25700000.0,4.6,,,7700000.0,tiktok,aland-islands,False,2024,,,lagranjadelborrego,
69,Arnaldo Mangini ,25400000.0,,,Beauty and Self Care Funny,7600000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,arnaldomangini,
70,Jaykindafunny ,25400000.0,,,Funny,7600000.0,tiktok,aland-islands,False,2024,Entertainment,MAPPED,jaykindafunny8,
71,Malu Trevejo ,25200000.0,,,,7600000.0,tiktok,aland-islands,False,2024,,,malutrevejo,
72,AriGameplays ,25100000.0,1.0,,Games,7500000.0,tiktok,aland-islands,False,2024,Tech&Gaming,MAPPED,arigameplays,
73,Dina ,24900000.0,0.6,,,7500000.0,tiktok,aland-islands,False,2024,,,dina,
74,DonaldDucc 🦆 ,24700000.0,,,Animals,7400000.0,tiktok,aland-islands,False,2024,Lifestyle,MAPPED,donaldducc,
75,adrilatinatv ,24500000.0,,,,7400000.0,tiktok,aland-islands,False,2024,,,adrilatinatv,
76,Victor Melo ,24500000.0,,,,7400000.0,tiktok,aland-islands,False,2024,,,victormelo,
77,Chingu Amiga ,24100000.0,,,Food Beauty and Self Care,7200000.0,tiktok,aland-islands,False,2024,Beauty&Fashion,MAPPED,chinguamiga,
78,The Mannii Show ,24000000.0,0.8,,Entertainment and Music Funny,7200000.0,tiktok,aland-islands,False,2024,Music,MAPPED,the_mannii,
79,Terry Crews ,23900000.0,0.4,United States,Entertainment and Music Celebrity,7200000.0,tiktok,aland-islands,False,2024,Music,MAPPED,terrycrews,
80,Jacob Sartorius ,23700000.0,,United States,Entertainment and Music,7100000.0,tiktok,aland-islands,False,2024,Music,MAPPED,jacobsartorius,
81,Luara ,23600000.0,0.6,,,7100000.0,tiktok,aland-islands,False,2024,,,luara,
82,Nicolle Figueroa ,23400000.0,5.1,,,7000000.0,tiktok,aland-islands,False,2024,,,nicollefigueroaa,
83,Ryan Reynolds ,22900000.0,8.5,Canada,,6900000.0,tiktok,aland-islands,False,2024,,,vancityreynolds,
84,Lauren Godwin ,22600000.0,0.3,United States,Entertainment and Music family,6800000.0,tiktok,aland-islands,False,2024,Music,MAPPED,laurengodwin,
85,mingweirocks ,22500000.0,,,,6800000.0,tiktok,aland-islands,False,2024,,,mingweirocks,
86,Cardi B ,22400000.0,8.0,,,6700000.0,tiktok,aland-islands,False,2024,,,iamcardib,
87,Latiktokeuse869 ,22200000.0,,,Funny Entertainment and Music,6700000.0,tiktok,aland-islands,False,2024,Music,MAPPED,latiktokeuse869,
88,Mackenzie Ziegler ,22100000.0,,,,6600000.0,tiktok,aland-islands,False,2024,,,mackenzieziegler,
89,Lance Stewart ,22100000.0,,United States,Entertainment and Music,6600000.0,tiktok,aland-islands,False,2024,Music,MAPPED,lance210,
90,Anitta ,22100000.0,0.8,,,6600000.0,tiktok,aland-islands,False,2024,,,anitta,
91,Marrkadams ,22100000.0,,,,6600000.0,tiktok,aland-islands,False,2024,,,marrkadams,
92,ROMINA ,22000000.0,0.2,United States,Entertainment and Music,6600000.0,tiktok,aland-islands,False,2024,Music,MAPPED,rominagafur,
93,창하CHANGHA ,22000000.0,,,,6600000.0,tiktok,aland-islands,False,2024,,,chang._.a,
94,josi ,21900000.0,,,Funny,6600000.0,tiktok,aland-islands,False,2024,Entertainment,MAPPED,jmartineze_,
95,Caín Guzmán ,21900000.0,,,Entertainment and Music,6600000.0,tiktok,aland-islands,False,2024,Music,MAPPED,cainguzman,
96,Bryce Hall ,21500000.0,,United States,Entertainment and Music,6500000.0,tiktok,aland-islands,False,2024,Music,MAPPED,brycehall,
97,온오빠 On Oppa ,21500000.0,,,Entertainment and Music,6500000.0,tiktok,aland-islands,False,2024,Music,MAPPED,korea.on,
98,Seany ,21300000.0,,,,6400000.0,tiktok,aland-islands,False,2024,,,seandoesmagic,
99,Pk ,21300000.0,2.6,,,6400000.0,tiktok,aland-islands,False,2024,,,pkllipe,
100,The Hype House ,21100000.0,,,Entertainment and Music,6300000.0,tiktok,aland-islands,False,2024,Music,MAPPED,thehypehouse,
1,Khabane lame @khaby.lame,161900000.0,0.2,Italy,Funny Entertainment and Music,48600000.0,tiktok,all-countries,True,2024,Music,MAPPED,,
2,Bella Poarch @bellapoarch,92600000.0,0.8,United States,,27800000.0,tiktok,all-countries,True,2024,,,,
3,Addison Rae @addisonre,88500000.0,1.0,United States,Beauty and Self Care,26600000.0,tiktok,all-countries,True,2024,Beauty&Fashion,MAPPED,,
4,MrBeast @mrbeast,85400000.0,4.0,,Entertainment and Music,25600000.0,tiktok,all-countries,True,2024,Music,MAPPED,,
5,Zach King @zachking,78100000.0,2.9,United States,Entertainment and Music,23400000.0,tiktok,all-countries,True,2024,Music,MAPPED,,
6,Kimberly Loaiza @kimberly.loaiza,76100000.0,1.6,Mexico,,22800000.0,tiktok,all-countries,True,2024,,,,
7,The Rock @therock,74200000.0,0.9,United States,Entertainment and Music Fitness and Health Business and Finance,22300000.0,tiktok,all-countries,True,2024,Sports,MAPPED,,
8,Will Smith @willsmith,74100000.0,0.7,United States,,22200000.0,tiktok,all-countries,True,2024,,,,
