rank,followers,engagement_rate,audience_country,topic,potential_reach,name,handle
27,99600,,Afghanistan,,29900,EL TIO RENTE,@UCGXyQUE1s31Qu7hksFiQDsw
28,90000,,Afghanistan,,27000,Afghanistan Premier League,@UC7SVSIfie8pt1kgMjbUJ_vQ
29,87000,,Afghanistan,,26100,VOA Dari,@UCx8nPzCzHi127J3CkMBrSYg
30,80600,,Afghanistan,,24200,Donia Press,@UC8o0hJ5RPX6CFYJBtjcr2Eg
31,80100,,Afghanistan,,24000,ARG1880,@UCF_fUrvSVJcLabN9XRRW8kw
32,79000,,Afghanistan,,23700,Netflix Magyarország,@UCSvfcIsvn6be03soK4pw2XQ
33,75100,,Afghanistan,Technology,22500,J TECH,@UC6nhC29o23pHqftZ-Jp406g
34,59100,0.8,Afghanistan,,17700,الآنسة فرح,@UC12h3VrpkgVRt00h0N851dw
35,56600,,Afghanistan,,17000,YorubaBest Tv,@UCrfVFZ6JyBtwIc67ncVbwIg
36,54500,,Afghanistan,,16400,BUNDELKHAND HOME VIDEO,@UCjmSL3O8UjurtTs78khjZxg
37,51100,,Afghanistan,,15300,Netflix Česká republika,@UCYanivSzoiXJcJ1MUOsKVkQ
38,46600,,Afghanistan,,14000,Bhojpuri HD Movies,@UC78Uaz8qyo-y5pALAPAwKCQ
39,46200,,Afghanistan,,13900,Abdullah Tenin,@UCYLociHwuiOP-5TeceJnSxw
40,44900,,Afghanistan,,13500,LEGO Masters,@UCnGb5xbCV8OKgf-j58n8IoQ
41,41900,,Afghanistan,,12600,Afghanistan TV,@UCM5scR56vViZ0pmavpYwXqg
42,41600,0.1,Afghanistan,,12500,Daily News Tech,@UC6_T1FvlEwwmQTb_F_oGI0w
43,39900,,Afghanistan,,12000,Good Oldies Song,@UCPkX_y0cMktPQ3GrT5RthwQ
44,38800,,Afghanistan,,11600,Afghan Famous,@UCv27l1NCVWRHUj4hJbGIH-w
45,36700,,Afghanistan,,11000,heratsoftware,@UCWMx4MFO4gWlH4dYmlrT0Yg
46,36400,1.7,Afghanistan,,10900,AK47,@UC9mkpqIWie0Dw1nqZ7S_wAg
47,36400,0.3,Afghanistan,,10900,Angel & Vario,@UCjWSgRIsTxMTpEOb3CsKn9g
48,34400,,Afghanistan,,10300,Kabulnews TV,@UCgMmFt7mWJ5Ue_hP_-VJG5A
49,32200,,Afghanistan,,9700,Farid Bromand,@UCzcuLLpwY1M-sanWjtBfeZQ
50,27100,,Afghanistan,,8100,Indian Express Bangla,@UCpthbAb5DDRfcG68VMn6q0g
51,26900,,Afghanistan,,8100,Phy RAk,@UCE1O7WsA0H8JSfx2Dbn9OMg
52,26200,0.4,Afghanistan,,7900,lil boosty,@UChF-9hFpxxiKWNa6pM7Dc3A
53,25800,,Afghanistan,,7700,Kabul Media Plus,@UCvk0ft9BGaTaXVEoreGVtCQ
54,25200,,Afghanistan,,7600,DentalManiaK,@UCit_XEO1XMt0WlA_a5Y25ZA
55,25100,,Afghanistan,,7500,Xolabaj TV2,@UCGTHibrua-lSpcpGgyBCE9Q
56,24800,,Afghanistan,,7400,Chu Diệp Anh,@UCPbJYaZBJIDynXNd_Vtqfbg
57,24000,,Afghanistan,,7200,Doctor داکتر,@UC0qsaOMutKk6VoMi8c45frw
58,22700,,Afghanistan,Music,6800,Didar Music,@UCms9SuykkUS66D2wr3D2G1w
59,19600,0.2,Afghanistan,,5900,A Erfan,@UCLroplcRBhrL_pzKN7pDehQ
60,19400,1.1,Afghanistan,Celebrity,5800,Pashto Entertainment Entertainment,@UC5o5At6pto0EYYa0-m3GIiA
61,18900,,Afghanistan,,5700,Pets Best Fun,@UCSe4NsHq9CEwbinTZhH5oEw
62,18900,,Afghanistan,Music,5700,TODAY PTM,@UCyAwbVG39nYFTh1RJ8Ag73A
63,18500,0.2,Afghanistan,,5600,Travel Ethiopia-ጉዞ ኢትዮጵያ,@UC3AVLFaRHhJi8TYHXuw6rYg
64,18100,,Afghanistan,,5400,Crowleyyyy,@UCvaibZQAjLeMnKloRNfIM7A
65,17600,0.1,Afghanistan,,5300,Green Swag,@UCUbooQPiOb0tvcoC8jQEbvA
66,17400,,Afghanistan,,5200,สหพันธรัฐไทใจเดียวกัน,@UCafatHX_lK7e5nKKD9fv8lg
67,17200,0.3,Afghanistan,,5200,kabir khostwall,@UCgeArVN-G7oPaCH8XWiJ-ag
68,17000,0.3,Afghanistan,,5100,yeej kim HD1080,@UCaC0gNyPXC1BU0xj0GDH7KA
69,16100,33.9,Afghanistan,,4800,Clavis,@UCwOYuwj9e2lFKviz7Ibfspg
70,15400,,Afghanistan,,4600,Larawbar.com,@UCbGnZAj8xrqEx02UNZlh2_Q
71,14700,,Afghanistan,,4400,H.H.,@UCldDfGERobpud27NzSohlPg
72,13900,,Afghanistan,,4200,کانال ساده ترین آموزشها,@UCMRsuS4OuP5MHIJRAHMbUxg
73,13300,,Afghanistan,,4000,Pashto Islami,@UCzVuHmw6-BcQqXH5W40HORw
74,13200,,Afghanistan,,4000,High Council for National Reconciliation,@UCiHoMDXJQboJy1UEN-hBU9A
75,12900,0.6,Afghanistan,,3900,貝拉醬Bella,@UCn5iCeeF4nMECDobXb3kFbQ
76,12600,,Afghanistan,,3800,iGunvicted,@UC6MamwO1MDhVfyeb01XOg5w
77,12400,,Afghanistan,,3700,Kamsan Arom,@UCKgPS2K6xmsRLIe2w-9iQHg
78,12300,0.1,Afghanistan,,3700,Zulfan tube,@UCgpxqCBKVSaTlk4MwL7z-pA
79,12300,,Afghanistan,,3700,૯υՆ૯Ոςƿɿ૯૭૯Ն,@UCZN1eMcGegUw4V3tJ2uHAxQ
80,12000,,Afghanistan,,3600,Criadouro Buriti,@UCqqYf0hdFIDuXpcrACz6EPg
81,11500,0.1,Afghanistan,,3500,shahram hashemi,@UCtajG3ubRg58fmkJ_FWZg2Q
82,11400,3.0,Afghanistan,,3400,Farhad Ghafoor,@UC1sjfTwyZHjhwh6oSF5Etjg
83,11200,,Afghanistan,,3400,꧁༒☬gobinda masih☬༒꧂,@UCmzGjQcXRzNA3XcXYdDwEtA
84,10900,80.1,Afghanistan,,3300,XxDEATH_LORDxX,@UCgVHrc1nvk7qF8qp-t-hxJg
85,10600,,Afghanistan,,3200,saren music market,@UCFzMmvIcgZlyol3SfFofeYQ
86,10600,,Afghanistan,,3200,O que será de novo hoje ! Brinquedos resenhas vlogs,@UCLjz_XFniaSx1VhP5UObj_w
87,10400,,Afghanistan,,3100,San wel,@UC3tsD0Zwajp5siNVqwupdvQ
88,10400,,Afghanistan,,3100,Turbo Tractors,@UCtchLlRh5FCP3nEKFHB4JjQ
89,10300,0.3,Afghanistan,,3100,RDX BOYZ MANIKA,@UCLCpibvImQdJu68rMmRw-gA
90,10200,,Afghanistan,,3100,Dr. Abdullah Abdullah,@UCYr6qIfnEVYDTKfUTMDmRSg
91,10000,,Afghanistan,,3000,Shaheen Naikpay,@UC515LyLO1mkor_qylBt_uyQ
92,9800,,Afghanistan,,2900,Torialai Waziry,@UCVqiXwXu3vxocfUJlX1qRgw
93,9700,,Afghanistan,,2900,Dirt Zalgo,@UCCVulaGbHLaPJ_dyV7vF0rw
94,9300,0.2,Afghanistan,,2800,Real Creators,@UCPZ2Ssb2d8kxwaWBYSie6cQ
95,9200,,Afghanistan,,2800,SOMBO BMC,@UCVi29qCql-2Dl_6xdjz_trQ
96,9200,0.3,Afghanistan,,2700,Fox Carp Fishing TV CZ&SK,@UCl22B1DgtxuKusXmd5PyyUA
97,9100,,Afghanistan,,2700,Mudasir Zamani,@UC2Sr4O0Gm1dUn3f3K6dBmbw
98,9100,,Afghanistan,,2700,Cragsman,@UCxbZoIuCIud_n1pZgZiSL4w
99,8700,,Afghanistan,,2600,Angkor Mala,@UCEjddKViPwdCLoeg49wrDPw
100,8600,0.1,Afghanistan,,2600,sanoorg,@UCOdbFr8_L4Ynf94oNbyGKGQ
