rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
51,Misslisibell @officialmisslisibell,330.5K,-,Sverige,,99.2K,tiktok,sweden,False,2024,NA,NA,
52,Beauty by Aisha Sweden @aishacamara38,329.9K,-,Sverige,Skönhet och personlig vård Mode och accessoarer,99K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Beauty and personal care Fashion and accessories
53,Memetix_swe @memetix_swe,326.8K,0.1%,Sverige,,98K,tiktok,sweden,False,2024,NA,NA,
54,Frida Jernspets @tiktokfrida,326.6K,-,Sverige,Animation och cosplay,98K,tiktok,sweden,False,2024,Tech&Gaming,MAPPED,Animation and cosplay
55,Joakim Lundell @javligtrik,323.8K,2%,Sverige,,97.1K,tiktok,sweden,False,2024,NA,NA,
56,LakiDoris @lovisakarlsson2,314.2K,-,Sverige,Underhållning och musik,94.3K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music
57,Tone Sekelius @tonesekelius,310.5K,0.3%,Sverige,,93.2K,tiktok,sweden,False,2024,NA,NA,
58,Pontus Rasmusson @pontusofficial,306.4K,0.2%,Sverige,,91.9K,tiktok,sweden,False,2024,NA,NA,
59,🦋 𝐉𝐮𝐥𝐢𝐞 / جولي 🦋 @julie__38,306.3K,-,Sverige,,91.9K,tiktok,sweden,False,2024,NA,NA,
60,⚡️Felicia Lindkvist⚡️ @lindkvistfeliciaa,302.3K,-,Sverige,Fitness och hälsa,90.7K,tiktok,sweden,False,2024,Sports,MAPPED,Fitness and health
61,Super cool 09 @supercool050929,300.1K,-,Sverige,Sport,90K,tiktok,sweden,False,2024,Sports,MAPPED,Sport
62,maria 😏 @maria.mars0,292.6K,-,Sverige,Skönhet,87.8K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Beauty
63,Arabic Tiktok @arabic.tiktok,289K,-,Sverige,,86.7K,tiktok,sweden,False,2024,NA,NA,
64,꒰ 𝐵𝑒𝑎𝑟 𝑠𝑞𝑢𝑎𝑑 ꒱ @random.account.things,287.1K,-,Sverige,,86.1K,tiktok,sweden,False,2024,NA,NA,
65,🇸🇪R.O.Y🇸🇪 @roy_____ns,281.2K,-,Sverige,,84.4K,tiktok,sweden,False,2024,NA,NA,
66,AmandaLundgren @amandalundgren,280.2K,0.1%,Sverige,,84.1K,tiktok,sweden,False,2024,NA,NA,
67,Emil Borroms @emilborroms,271.6K,-,Sverige,,81.5K,tiktok,sweden,False,2024,NA,NA,
68,Magister Nordström @magisternordstrom,270.1K,-,Sverige,Familj,81K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Family
69,Bashar & Ritta @bashar_and_ritta,267.3K,-,Sverige,Skönhet och personlig vård,80.2K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Beauty and personal care
70,Amanda Strand @amandastrands,265.5K,-,Sverige,,79.7K,tiktok,sweden,False,2024,NA,NA,
71,Sam Pettersson @samthemans,261.1K,0.1%,Sverige,Underhållning och musik Roligt,78.3K,tiktok,sweden,False,2024,Music,MAPPED,Entertainment and music Fun
72,marykiwi @swedishmommy,258.5K,-,Sverige,Familj,77.6K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Family
73,Sebastian Tadros @sebastiantadros,257.7K,-,Sverige,,77.3K,tiktok,sweden,False,2024,NA,NA,
74,HORSE TRAINER 🐴😘 @evelynbanffy,254.1K,-,Sverige,Husdjur,76.2K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Pets
75,tv4idol @tv4idol,253.8K,-,Sverige,,76.1K,tiktok,sweden,False,2024,NA,NA,
76,Mohammed Ibrahim @officialdrmoe,250K,0.1%,Sverige,Utbildning Uppgradering av färdigheter,75K,tiktok,sweden,False,2024,Knowledge&Info,MAPPED,Education Upgrading skills
77,JOSE @josefson,247.3K,-,Sverige,,74.2K,tiktok,sweden,False,2024,NA,NA,
78,Nadir Benkahla @nadirbenkahla,246.1K,-,Sverige,,73.8K,tiktok,sweden,False,2024,NA,NA,
79,kevin @marvel_videoos,246.1K,-,Sverige,,73.8K,tiktok,sweden,False,2024,NA,NA,
80,Aya samarit @aya.samarit,243.7K,0.2%,Sverige,,73.1K,tiktok,sweden,False,2024,NA,NA,
81,Lina @linalindau,237.8K,-,Sverige,Mode och accessoarer Skönhet och personlig vård,71.3K,tiktok,sweden,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories Beauty and personal care
82,Fk stories @fakestoriesbey,233.5K,-,Sverige,,70.1K,tiktok,sweden,False,2024,NA,NA,
83,🦋 @tmmy_fidgets,232K,-,Sverige,,69.6K,tiktok,sweden,False,2024,NA,NA,
84,lucypiggott6 @lucypiggott6,231.9K,-,Sverige,Natur,69.6K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Nature
85,Jessica Mithanja Ekström @mithanja,230.4K,-,Sverige,Resor,69.1K,tiktok,sweden,False,2024,UNMAPPED,UNMAPPED,Travels
86,Mattias mirk @mattiasmirk,229.6K,-,Sverige,,68.9K,tiktok,sweden,False,2024,NA,NA,
87,Almaaa @fatalma,229.3K,0.1%,Sverige,Fitness och hälsa,68.8K,tiktok,sweden,False,2024,Sports,MAPPED,Fitness and health
88,⚪️🔵🟠 @football..for..life,225.6K,-,Sverige,,67.7K,tiktok,sweden,False,2024,NA,NA,
89,erikhedenfalk @erikhedenfalk,224.8K,1.3%,Sverige,Fotografering,67.4K,tiktok,sweden,False,2024,Lifestyle,MAPPED,Photography
90,Hampus Hammargren @hampushammargren,222K,-,Sverige,,66.6K,tiktok,sweden,False,2024,NA,NA,
91,🇮🇶 Mary Al-mhana🇸🇪 @maryalmhanamm,221.3K,-,Sverige,,66.4K,tiktok,sweden,False,2024,NA,NA,
92,Philip Benjaminsson @philipbenjaminsson,219.8K,-,Sverige,,65.9K,tiktok,sweden,False,2024,NA,NA,
93,Kadra idil🦋 @kadra_idil,219.6K,-,Sverige,,65.9K,tiktok,sweden,False,2024,NA,NA,
94,Me @tt_funnymemes,218.6K,-,Sverige,,65.6K,tiktok,sweden,False,2024,NA,NA,
95,Veronica Maggio @veronicamaggioofficial,216.7K,0.2%,Sverige,,65K,tiktok,sweden,False,2024,NA,NA,
96,Dolly Style🇸🇪 @dollystylesweden,214.3K,-,Sverige,,64.3K,tiktok,sweden,False,2024,NA,NA,
97,COCONUT HEN - Official 🥥🇸🇪 @coconut_hen,207.4K,0.8%,Sverige,,62.2K,tiktok,sweden,False,2024,NA,NA,
98,lailakvl @lailakvl,206.9K,1.1%,Sverige,,62.1K,tiktok,sweden,False,2024,NA,NA,
99,🇵🇸Loco🇵🇸 @locogbg,205.6K,-,Sverige,,61.7K,tiktok,sweden,False,2024,NA,NA,
100,Albert Dyrlund Soap @albertsoap,205.1K,0.9%,Sverige,,61.5K,tiktok,sweden,False,2024,NA,NA,
