rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
18,Leyla Brunton @leylabrunton,7.3M,0.05%,Emirados Árabes Unidos,Automóveis e Veículos Negócios e Finanças Estilo Estilo de Vida,2.2M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Automobiles and Vehicles Business and Finance Style Lifestyle
19,SHADAN FAROOQUI @saddu07dz,6.9M,1.64%,Emirados Árabes Unidos,Fitness Moda Moda e Acessórios,2.1M,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Fitness Fashion Fashion and Accessories
20,Amira Riaa أميرة ريا @amira_riaa,6.7M,1.42%,Emirados Árabes Unidos,Entretenimento e Música Moda e Acessórios Paternidade Estilo de Vida,2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Entertainment & Music Fashion & Accessories Parenting Lifestyle
21,Mila Semeshkina @your_smart_mila,6.5M,0.8%,Emirados Árabes Unidos,"Educação Negócios e Finanças Comida Cinema, Música & Livros",1.9M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,"Education Business & Finance Food Cinema, Music & Books"
22,Hussain Al Jassmi حسين الجسمي @7sainaljassmi,6.4M,0.16%,Emirados Árabes Unidos,Arte Cantor,1.9M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Singer Art
23,Victoria Lopyreva @lopyrevavika,6.3M,0.87%,Emirados Árabes Unidos,Entretenimento e Música Viagem Romance e Casamento Modelagem,1.9M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Entertainment and Music Travel Romance and Wedding Modeling
24,Andrei Deiu' @andreideiu_,6.2M,2.97%,Emirados Árabes Unidos,Fitness e Saúde,1.9M,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Fitness and Health
25,Afrae Es-satte | عفراء السطي @afrae.es,6.2M,0.19%,Emirados Árabes Unidos,Entretenimento e Música Marketing e Publicidade Celebridade,1.9M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Entertainment and Music Marketing and Advertising Celebrity
26,رغـد | Raghad @rragoode,6.1M,0.19%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Educação Entretenimento e Música,1.8M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Education Entertainment and Music
27,Azza Zarour | عزة زعرور @azzazarour,6.1M,2.12%,Emirados Árabes Unidos,Entretenimento e Música Celebridade Música Estilo de Vida,1.8M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment & Music Celebrity Music Lifestyle
28,Amit Majithia @amit_majithia,6M,0.2%,Emirados Árabes Unidos,,1.8M,instagram,united-arab-emirates,False,2024,NA,NA,
29,Liubava Rose ❤️ 🌹 @love__rose92,5.9M,0.18%,Emirados Árabes Unidos,Moda e Acessórios Fitness e Saúde Viagem Negócios,1.8M,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Fashion and Accessories Fitness and Health Travel Business
30,Reem Khabbazeh ريم أبوسمرة @reemabousamra,5.4M,1.6%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Viagem Negócios e Finanças Celebridades,1.6M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty & Personal Care Travel Business & Finance Celebrities
31,Rozzah @rozzah,5.3M,4.68%,Emirados Árabes Unidos,Entretenimento e Música,1.6M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music
32,Amro maskoun عمرو مسكون @amrmaskoun,5.3M,1.68%,Emirados Árabes Unidos,Entretenimento e Música Celebridade,1.6M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Celebrity Entertainment and Music
33,Jalila جليلة @jalila_official,5.2M,1.32%,Emirados Árabes Unidos,Moda e Acessórios,1.6M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories
34,Mayssa Maghrebi ميساء مغربي @mayssamaghrebi,5.1M,0.06%,Emirados Árabes Unidos,Atores,1.5M,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Actors
35,Harraj Lamba @__harraj_s_lamba_,5M,0.81%,Emirados Árabes Unidos,Educação Fitness e Saúde Coach Treinamento,1.5M,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Education Fitness and Health Coach Training
36,غلا الجسمي @gagaaljasmi,5M,0.38%,Emirados Árabes Unidos,Crianças,1.5M,instagram,united-arab-emirates,False,2024,UNMAPPED,UNMAPPED,Children
37,REDA EL WAHABI • رضا الوهابي @reda_elwahabii,4.9M,3.5%,Emirados Árabes Unidos,Viagem Educação Aperfeiçoamento de Habilidades Modelagem,1.5M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Travel Education Skills Development Modeling
38,NURIIA KAMIEVA @momforkings,4.9M,3.25%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Moda e Acessórios Negócios e Finanças,1.5M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Fashion and Accessories Business and Finance
39,Taim AlFalasi تيم الفلاسي | 🇦🇪 @taimalfalasi,4.8M,0.1%,Emirados Árabes Unidos,Viagem Comida Comida e Bebida,1.4M,instagram,united-arab-emirates,False,2024,Lifestyle,MAPPED,Travel Food Food and Drink
40,"Dr.Brian ""Bardia"" Etemad,Esq. @brianetemad",4.6M,5.95%,Emirados Árabes Unidos,Negócios e Finanças Finanças Empreendedor Modelagem,1.4M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Business and Finance Finance Entrepreneur Modeling
41,Rawan & Rayan | روان و ريان @rawanandrayan,4.6M,3.21%,Emirados Árabes Unidos,Entretenimento e Música Crianças,1.4M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music Children
42,Movlogs @movlogs,4.5M,4.52%,Emirados Árabes Unidos,Música Automotivo Modelagem Carros & Motos,1.3M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Music Automotive Modeling Cars & Motorcycles
43,دكتور مصرقع 🎫 @dr_m9rg3,4.4M,0.04%,Emirados Árabes Unidos,Negócios e Finanças Humor,1.3M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Business and Finance Humor
44,Ellen Sheidlin @sheidlina,4.4M,1.49%,Emirados Árabes Unidos,Artes e Artesanato,1.3M,instagram,united-arab-emirates,False,2024,Lifestyle,MAPPED,Arts and Crafts
45,Дарья Пынзарь @darya_pinzar86,4.3M,0.42%,Emirados Árabes Unidos,Viagem Apresentador de TV Celebridades Humor,1.3M,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Travel TV Presenter Celebrities Humor
46,انس الشايب - ANAS ELSHAYIB @anas_alshayb,4.3M,0.68%,Emirados Árabes Unidos,Moda e Acessórios Educação,1.3M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories Education
47,Sofya Plotnikova @sofyaplotnikova,4.3M,0.25%,Emirados Árabes Unidos,Entretenimento e Música Música,1.3M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music Music
48,Arutyun Nazaryan @arutmain,4.3M,0.27%,Emirados Árabes Unidos,Negócios e Finanças Empreendedor Negócios Marketing,1.3M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Business and Finance Entrepreneur Business Marketing
49,Joe HaTab @joe_hattab,4.2M,0.41%,Emirados Árabes Unidos,Animação e Cosplay Entretenimento e Música Viagem Artes e Artesanato,1.3M,instagram,united-arab-emirates,False,2024,Tech&Gaming,MAPPED,Animation and Cosplay Entertainment and Music Travel Arts and Crafts
50,Jwana Karim @jwanagram,4.2M,0.09%,Emirados Árabes Unidos,Moda e Acessórios Negócios e Finanças Estilo de Vida Celebridades,1.3M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories Business and Finance Lifestyle Celebrities
51,Amal Al Awadhi @amalalawadhiofficial,4.2M,0.2%,Emirados Árabes Unidos,Entretenimento e Música Apresentador de TV,1.3M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music TV Presenter
52,Banen Naem | بنين نعيم @baneenstars,4.1M,2.5%,Emirados Árabes Unidos,Moda e Acessórios,1.2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories
53,Gharbi Amel @amelgharbiofficial,4.1M,1%,Emirados Árabes Unidos,,1.2M,instagram,united-arab-emirates,False,2024,NA,NA,
54,Dr Ali Ghozlan @alighozlanofficial,4.1M,0.79%,Emirados Árabes Unidos,Finanças Negócios e Finanças Celebridade Medical Health,1.2M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Finance Business and Finance Celebrity Medical Health
55,Dilawar Singh @officialdilawarsingh,4.1M,3.4%,Emirados Árabes Unidos,Negócios e Finanças Música Finanças,1.2M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Business and Finance Music Finance
56,ABDUL RAHMAN AL-AWADHI @abduuu_21,4M,6.22%,Emirados Árabes Unidos,Estilo de Vida,1.2M,instagram,united-arab-emirates,False,2024,Lifestyle,MAPPED,Lifestyle
57,SHR | شمة حمدان @shamma1hamdan,4M,0.07%,Emirados Árabes Unidos,Música Modelagem Cantor,1.2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Music Modeling Singer
58,Muhammad Junaid @realjunaidofficial,4M,2.68%,Emirados Árabes Unidos,Entretenimento e Música Negócios,1.2M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Entertainment and Music Business
59,Köksal Baba @koksalbaba,4M,1.96%,Emirados Árabes Unidos,Jogos de Vídeo,1.2M,instagram,united-arab-emirates,False,2024,Tech&Gaming,MAPPED,Video games
60,Roaa alsabban رؤى الصبان @roaa_alsabban,4M,0.25%,Emirados Árabes Unidos,Entretenimento e Música Atores,1.2M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music Actors
61,yusur Al-khalidi 🇫🇮🇮🇶 @asoothesizzler,4M,1.22%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Moda e Acessórios,1.2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Fashion and Accessories
62,national archaeology @national_archaeology,4M,1.79%,Emirados Árabes Unidos,,1.2M,instagram,united-arab-emirates,False,2024,NA,NA,
63,Fabri Lemus @fabrilemus,3.9M,0.86%,Emirados Árabes Unidos,Entretenimento e Música Paternidade Atores,1.2M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment & Music Parenthood Actors
64,LANA MOHD | لانا محمد @lana_mohd89,3.9M,6.75%,Emirados Árabes Unidos,Entretenimento e Música Engraçado,1.2M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Funny Entertainment and Music
65,Polli Cannabis|Miss Top Model👑 @polli_cannabis,3.9M,1.15%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Moda e Acessórios Educação de Produtos Modelagem,1.2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Fashion and Accessories Product Education Modeling
66,Ahmed Hossam احمد حسام . @ahmedhossam,3.9M,7.43%,Emirados Árabes Unidos,Atuação e Drama Entretenimento e Música Celebridade Celebridades,1.2M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Acting and Drama Entertainment and Music Celebrities Celebrities
67,Shahad Hassan @shahadssl,3.9M,3.71%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Entretenimento e Música,1.2M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Entertainment and Music
68,🇰🇼 ﮼الملحن،فهد،الناصر @fhd_alnasser,3.7M,0.91%,Emirados Árabes Unidos,Entretenimento e Música Careers,1.1M,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music Careers
69,Karim Usama كريم اسامة @karimusamaofficial,3.7M,3.12%,Emirados Árabes Unidos,Celebridade,1.1M,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Celebrity
70,Arwa | اروى @arwaonline,3.6M,0.44%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Entretenimento e Música Música,1.1M,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Entertainment and Music Music
71,بوسلطان الحربي 🇦🇪 @emirates_mix,3.6M,0.07%,Emirados Árabes Unidos,,1.1M,instagram,united-arab-emirates,False,2024,NA,NA,
72,Mohamed bin Zayed Al Nahyan @mohamedbinzayed,3.5M,1.12%,Emirados Árabes Unidos,Vida e Sociedade Política,1.1M,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Life and Political Society
73,Nisha SK😘 @nskstyles,3.5M,1.64%,Emirados Árabes Unidos,,1.1M,instagram,united-arab-emirates,False,2024,NA,NA,
74,MURAD OSMANN @muradosmann,3.4M,3.01%,Emirados Árabes Unidos,Viagem Fotografia Celebridade Natureza & Ar Livre,1M,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Travel Photography Celebrity Nature & Outdoors
75,Ajmal Khan | AK @ajmal_khan_,3.3M,1.44%,Emirados Árabes Unidos,Viagem Estilo de Vida,1M,instagram,united-arab-emirates,False,2024,Lifestyle,MAPPED,Travel Lifestyle
76,MILLA JASMINE @millajasmineoff,3.2M,2.54%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Negócios e Finanças Estilo de Vida Saúde & Fitness,972.8K,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Beauty & Personal Care Business & Finance Lifestyle Health & Fitness
77,شجــرة الدر @shajarataldurr1,3.2M,0.5%,Emirados Árabes Unidos,Atuação e Drama Entretenimento e Música Celebridade,959K,instagram,united-arab-emirates,False,2024,Music,MAPPED,Acting and Drama Entertainment and Music Celebrity
78,MUHAMMAD USMAN @maanumalik_04,3.1M,1.57%,Emirados Árabes Unidos,Moda e Acessórios Viagem Atuação e Drama,942.8K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories Travel Acting and Drama
79,KARI KARI Petrosyan @kari____kari,3.1M,1.6%,Emirados Árabes Unidos,Moda e Acessórios Fotografia Educação de Produtos Aperfeiçoamento de Habilidades,942.1K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories Photography Product Education Skills Improvement
80,Frank Fourie @frank.fourie,3.1M,0.59%,Emirados Árabes Unidos,Negócios e Finanças,928.2K,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Business and Finance
81,Globe Soccer @globesoccer,3.1M,0.38%,Emirados Árabes Unidos,Esportes Eventos Futebol,927.9K,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Sports Events Football
82,Mona Kattan Elamin✌🏽🤎🧸🍉✨🪽 @monakattan,3.1M,0.45%,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Negócios e Finanças Atores Modelagem,920.8K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Business and Finance Actors Modeling
83,Zahra ben mime- زهراء بن ميم @zahra_ben_mime,3.1M,1.79%,Emirados Árabes Unidos,Atuação e Drama Jornalistas,920.5K,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Acting and Drama Journalists
84,mahiraabdelaziz مهيرة @mahiraabdelaziz,3M,0.04%,Emirados Árabes Unidos,Entretenimento e Música Celebridade,908.5K,instagram,united-arab-emirates,False,2024,Music,MAPPED,Celebrity Entertainment and Music
85,Mustafa Jabbar || مصطفى ألاسدي @t.i,3M,1.45%,Emirados Árabes Unidos,Modelagem Moda,903.9K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion Modeling
86,طارق العلي @tareq_al_ali,3M,0.07%,Emirados Árabes Unidos,Atores,903.7K,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Actors
87,Ibrahim Assad @ibrahim_assad,3M,0.23%,Emirados Árabes Unidos,Automóveis e Veículos Automotivo Negócios e Finanças Casa e Jardim,889.2K,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Cars and Vehicles Automotive Business and Finance Home and Garden
88,Adel Alaa | عادل علاء @adeelalaa_,3M,2.55%,Emirados Árabes Unidos,Viagem Celebridade Eventos Retratos,887.9K,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Travel Celebrity Events Portraits
89,محمد طارق Mohammed Tarek @mohammedtarek0,2.9M,1.39%,Emirados Árabes Unidos,Entretenimento e Música Engraçado,857.1K,instagram,united-arab-emirates,False,2024,Music,MAPPED,Funny Entertainment and Music
90,Nadé blata @nade_blata,2.8M,0.05%,Emirados Árabes Unidos,Moda e Acessórios,851.1K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories
91,Saniya Iyappan @_saniya_iyappan_,2.8M,0.37%,Emirados Árabes Unidos,Entretenimento e Música Celebridade Atores Modelagem,844K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Entertainment & Music Celebrities Actors Modeling
92,خليفه المعمري @5k,2.8M,1.7%,Emirados Árabes Unidos,Política,840.2K,instagram,united-arab-emirates,False,2024,UNMAPPED,UNMAPPED,Policy
93,Elli Di @_ellidi,2.7M,0.2%,Emirados Árabes Unidos,Família Vlogger,823.5K,instagram,united-arab-emirates,False,2024,Lifestyle,MAPPED,Vlogger Family
94,Patrick Abrahão @patrickabrahao,2.7M,0.44%,Emirados Árabes Unidos,,814.4K,instagram,united-arab-emirates,False,2024,NA,NA,
95,RAHAF ELSHAMI | رهف الشامى @rahafelshamiofficial,2.7M,2.11%,Emirados Árabes Unidos,Blogueiro Criadores e Celebridades,800.1K,instagram,united-arab-emirates,False,2024,Entertainment,MAPPED,Blogger Creators and Celebrities
96,⚡️A.K⚡️ @_ahmedkhalfan,2.7M,4.16%,Emirados Árabes Unidos,,796.5K,instagram,united-arab-emirates,False,2024,NA,NA,
97,Nour Mar| نور مار @5nourrmar,2.6M,5.81%,Emirados Árabes Unidos,Viagem,793K,instagram,united-arab-emirates,False,2024,UNMAPPED,UNMAPPED,Trip
98,FARHANA @farhanabodi,2.6M,0.43%,Emirados Árabes Unidos,Moda e Acessórios Estilo de Vida Estilo Cabelo & Beleza,791.4K,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion & Accessories Lifestyle Hair & Beauty
99,Avinash Chavan @aviichavan,2.6M,0.51%,Emirados Árabes Unidos,Negócios e Finanças,788.2K,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Business and Finance
100,KAMILA @kamilaofficiel,2.6M,5.47%,Emirados Árabes Unidos,Família Comida Estilo de Vida,770.4K,instagram,united-arab-emirates,False,2024,Lifestyle,MAPPED,Family Food Lifestyle
