rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
38,LemedTV sur twitch @lemedtv,487.7K,-,Belgien,Unterhaltung und Musik,146.3K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
39,Koda @kodaytb_,479.8K,0.2%,Belgien,,143.9K,tiktok,belgium,False,2024,NA,NA,
40,LUFY @lufyyyy,467.2K,-,Belgien,Lustig Familie,140.2K,tiktok,belgium,False,2024,Entertainment,MAPPED,Funny family
41,💎Анатолий💎 @anatolishutak,459.6K,-,Belgien,,137.9K,tiktok,belgium,False,2024,NA,NA,
42,🐼EL PANDA🐼 @abe_10k,450.1K,-,Belgien,,135K,tiktok,belgium,False,2024,NA,NA,
43,Hannes Coudenys @hannescoudenys,435.8K,-,Belgien,,130.7K,tiktok,belgium,False,2024,NA,NA,
44,manon :) @manontondut,434K,-,Belgien,,130.2K,tiktok,belgium,False,2024,NA,NA,
45,Julie Vermeire @julievermeire,433.5K,-,Belgien,Unterhaltung und Musik,130.1K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
46,elo spits @elodie_spits,432.8K,-,Belgien,,129.8K,tiktok,belgium,False,2024,NA,NA,
47,nathalievandenberg @nathalievandenberg,394.7K,-,Belgien,Mode und Accessoires Reisen,118.4K,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories travel
48,k3.studio100 @k3.officieel,368K,-,Belgien,Unterhaltung und Musik,110.4K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
49,L 2B 💙 @_l2b_,364.7K,-,Belgien,,109.4K,tiktok,belgium,False,2024,NA,NA,
50,Velaktro @velaktro,363.2K,0.2%,Belgien,Unterhaltung und Musik,109K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
51,suzanna.demaeyer @suzanna.demaeyer,344.5K,-,Belgien,,103.4K,tiktok,belgium,False,2024,NA,NA,
52,maxbalandra @maxbalandra02,343.5K,-,Belgien,,103.1K,tiktok,belgium,False,2024,NA,NA,
53,bcsignature @bcsignature,340.3K,-,Belgien,Auto und Fahrzeuge,102.1K,tiktok,belgium,False,2024,Tech&Gaming,MAPPED,Car and vehicles
54,TaartenTatyana @taartentatyana,337.3K,-,Belgien,,101.2K,tiktok,belgium,False,2024,NA,NA,
55,Bert @bertnoternie,332.3K,0.4%,Belgien,,99.7K,tiktok,belgium,False,2024,NA,NA,
56,Ketnet @ketnet_officieel,314.7K,-,Belgien,Bildung,94.4K,tiktok,belgium,False,2024,Knowledge&Info,MAPPED,Education
57,Belgo @belgoturkyt,311.4K,-,Belgien,,93.4K,tiktok,belgium,False,2024,NA,NA,
58,hortaemvasosnaeuropa @hortaemvasosnaeuropa,309.2K,0.2%,Belgien,,92.8K,tiktok,belgium,False,2024,NA,NA,
59,Tess Taelman @tesstaelman,307.7K,-,Belgien,,92.3K,tiktok,belgium,False,2024,NA,NA,
60,guappamayy @guappamayy,303.2K,0.2%,Belgien,,91K,tiktok,belgium,False,2024,NA,NA,
61,Camille 👄 @camilledlby,299.7K,-,Belgien,,89.9K,tiktok,belgium,False,2024,NA,NA,
62,Alessio 📽 @pz.alessio,297.5K,-,Belgien,,89.3K,tiktok,belgium,False,2024,NA,NA,
63,KAA Gent @kaagent,297.2K,-,Belgien,,89.2K,tiktok,belgium,False,2024,NA,NA,
64,rachelnimegeers @rachelnimegeers,295.7K,-,Belgien,Unterhaltung und Musik,88.7K,tiktok,belgium,False,2024,Music,MAPPED,Entertainment and music
65,kimberley_romaine @kimberley.romaine,294K,-,Belgien,Bildung Unterhaltung und Musik,88.2K,tiktok,belgium,False,2024,Knowledge&Info,MAPPED,Education entertainment and music
66,Douzi @douziofficial,291.2K,-,Belgien,,87.4K,tiktok,belgium,False,2024,NA,NA,
67,LAUREN დ @siricalauren,287.8K,-,Belgien,,86.3K,tiktok,belgium,False,2024,NA,NA,
68,Jean-Claude Van Damme @jcvdtv,287.4K,0.2%,Belgien,Schauspiel und Drama,86.2K,tiktok,belgium,False,2024,Entertainment,MAPPED,Acting and drama
69,Instagram : cedced_vm @cedrakpirate,282.2K,0.1%,Belgien,,84.7K,tiktok,belgium,False,2024,NA,NA,
70,Noah Clai 🥥 @noah.clai,280.9K,-,Belgien,,84.3K,tiktok,belgium,False,2024,NA,NA,
71,Ralfagram @ralfagram,279.1K,-,Belgien,,83.7K,tiktok,belgium,False,2024,NA,NA,
72,BR4Zx FF @br4zx_uxiha,278.5K,4%,Belgien,,83.6K,tiktok,belgium,False,2024,NA,NA,
73,The Belgian Blondie @thebelgianblondie,275.7K,-,Belgien,Essen und Trinken Mode,82.7K,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Food and drink fashion
74,Anastasiya @cocon_de_nesty,274.3K,0.3%,Belgien,Kunst und Handwerk,82.3K,tiktok,belgium,False,2024,Lifestyle,MAPPED,Arts and crafts
75,Alex @sttasenko,267.3K,0.1%,Belgien,,80.2K,tiktok,belgium,False,2024,NA,NA,
76,Anisa 🖤 @anisadebacker,267K,-,Belgien,,80.1K,tiktok,belgium,False,2024,NA,NA,
77,arjenspittael @lifebyarjen,266.5K,-,Belgien,Reisen,80K,tiktok,belgium,False,2024,Lifestyle,MAPPED,Travel
78,Tarmac @tarmac,263.3K,0.1%,Belgien,,79K,tiktok,belgium,False,2024,NA,NA,
79,HAYTAM 🥥 @haytam_mrn,255K,-,Belgien,,76.5K,tiktok,belgium,False,2024,NA,NA,
80,CarlDeman @calledeman,251.2K,0.3%,Belgien,,75.4K,tiktok,belgium,False,2024,NA,NA,
81,𝔀𝓮𝓮𝓻𝓪𝓼𝓪𝓴_🦊 @raseep12,243.3K,0.2%,Belgien,Sport,73K,tiktok,belgium,False,2024,Sports,MAPPED,Sport
82,Thor and Vader ❤️ @thorthebelgian,242K,-,Belgien,Tiere Haustiere,72.6K,tiktok,belgium,False,2024,Lifestyle,MAPPED,Animals pets
83,Vincent Bal465 @shadowology,238.8K,-,Belgien,Kunst und Handwerk,71.6K,tiktok,belgium,False,2024,Lifestyle,MAPPED,Arts and crafts
84,•s a l s 🧛 @salsxbn,237.5K,-,Belgien,,71.3K,tiktok,belgium,False,2024,NA,NA,
85,Lenka :) @verlenkabel,236.3K,-,Belgien,,70.9K,tiktok,belgium,False,2024,NA,NA,
86,Karrewiet @karrewiet,234.1K,0.6%,Belgien,,70.2K,tiktok,belgium,False,2024,NA,NA,
87,Aude Houdart @audehoudartt,231.8K,-,Belgien,Schönheit und Selbstpflege,69.5K,tiktok,belgium,False,2024,Beauty&Fashion,MAPPED,Beauty and self care
88,OmarBomouce @omarandbomouce,231.5K,0.1%,Belgien,Prominenter,69.5K,tiktok,belgium,False,2024,Entertainment,MAPPED,Celebrity
89,ig: belgicasasha @belgicasasha,231.4K,-,Belgien,,69.4K,tiktok,belgium,False,2024,NA,NA,
90,Alie @alie_official,230.9K,-,Belgien,,69.3K,tiktok,belgium,False,2024,NA,NA,
91,Caroline Van Cauter @caroline.vancauter,226.6K,0.2%,Belgien,,68K,tiktok,belgium,False,2024,NA,NA,
92,Thomas Delvaux @thomas.delvaux,224.1K,-,Belgien,,67.2K,tiktok,belgium,False,2024,NA,NA,
93,ciuci👑 @ciuci_t,223.2K,-,Belgien,,67K,tiktok,belgium,False,2024,NA,NA,
94,roor @rawanali851,222K,-,Belgien,,66.6K,tiktok,belgium,False,2024,NA,NA,
95,ortsagram @ortsagram,221.3K,0.1%,Belgien,,66.4K,tiktok,belgium,False,2024,NA,NA,
96,Céline @madamecelinec,219.4K,-,Belgien,,65.8K,tiktok,belgium,False,2024,NA,NA,
97,Tireje culin @idkmyname2323,218.7K,-,Belgien,,65.6K,tiktok,belgium,False,2024,NA,NA,
98,marthedepillecyn @marthi.party,217.4K,0.3%,Belgien,Kunst und Handwerk,65.2K,tiktok,belgium,False,2024,Lifestyle,MAPPED,Arts and crafts
99,Pommelien Thijs @pommelienpommelien,217.1K,0.1%,Belgien,,65.1K,tiktok,belgium,False,2024,NA,NA,
100,🐰zanarah_official😸 @zanarah_official,216K,-,Belgien,,64.8K,tiktok,belgium,False,2024,NA,NA,
