#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,category_unified,if_exist
67,Karla Bustillos ❤️ @karla.bustillos,25.7M,0.1%,,,7.7M,,0
68,BORREGO @lagranjadelborrego,25.7M,4.6%,,,7.7M,,0
69,Arnaldo Mangini @arnaldomangini,25.4M,-,,Beauty and Self Care Funny,7.6M,Beauty/Fashion,1
70,Jaykindafunny @jaykindafunny8,25.4M,-,,Funny,7.6M,Entertainment,1
71,Malu Trevejo @malutrevejo,25.2M,-,,,7.6M,,0
72,AriGameplays @arigameplays,25.1M,1%,,Games,7.5M,Tech/Gaming,1
73,Dina @dina,24.9M,0.6%,,,7.5M,,0
74,DonaldDucc 🦆 @donaldducc,24.7M,-,,Animals,7.4M,Lifestyle,1
75,adrilatinatv @adrilatinatv,24.5M,-,,,7.4M,,0
76,Victor Melo @victormelo,24.5M,-,,,7.4M,,0
77,Chingu Amiga @chinguamiga,24.1M,-,,Food Beauty and Self Care,7.2M,Beauty/Fashion,1
78,The Mannii Show @the_mannii,24M,0.8%,,Entertainment and Music Funny,7.2M,Entertainment,1
79,Terry Crews @terrycrews,23.9M,0.4%,United States,Entertainment and Music Celebrity,7.2M,Entertainment,1
80,Jacob Sartorius @jacobsartorius,23.7M,-,United States,Entertainment and Music,7.1M,Entertainment,1
81,Luara @luara,23.6M,0.6%,,,7.1M,,0
82,Nicolle Figueroa @nicollefigueroaa,23.4M,5.1%,,,7M,,0
83,Ryan Reynolds @vancityreynolds,22.9M,8.5%,Canada,,6.9M,,0
84,Lauren Godwin @laurengodwin,22.6M,0.3%,United States,Entertainment and Music family,6.8M,Entertainment,1
85,mingweirocks @mingweirocks,22.5M,-,,,6.8M,,0
86,Cardi B @iamcardib,22.4M,8%,,,6.7M,,0
87,Latiktokeuse869 @latiktokeuse869,22.2M,-,,Funny Entertainment and Music,6.7M,Entertainment,1
88,Mackenzie Ziegler @mackenzieziegler,22.1M,-,,,6.6M,,0
89,Lance Stewart @lance210,22.1M,-,United States,Entertainment and Music,6.6M,Entertainment,1
90,Anitta @anitta,22.1M,0.8%,,,6.6M,,0
91,Marrkadams @marrkadams,22.1M,-,,,6.6M,,0
92,ROMINA @rominagafur,22M,0.2%,United States,Entertainment and Music,6.6M,Entertainment,1
93,창하CHANGHA @chang._.a,22M,-,,,6.6M,,0
94,josi @jmartineze_,21.9M,-,,Funny,6.6M,Entertainment,1
95,Caín Guzmán @cainguzman,21.9M,-,,Entertainment and Music,6.6M,Entertainment,1
96,Bryce Hall @brycehall,21.5M,-,United States,Entertainment and Music,6.5M,Entertainment,1
97,온오빠 On Oppa @korea.on,21.5M,-,,Entertainment and Music,6.5M,Entertainment,1
98,Seany @seandoesmagic,21.3M,-,,,6.4M,,0
99,Pk @pkllipe,21.3M,2.6%,,,6.4M,,0
100,The Hype House @thehypehouse,21.1M,-,,Entertainment and Music,6.3M,Entertainment,1
