rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2
213,haileesteinfeld,hailee steinfeld,19600000.0,United States,626300.0,795200.0,Cinema & Actors/actresses,
214,iamferv,fer,10600000.0,Mexico,994000.0,1500000.0,Lifestyle,
215,brunomars,Bruno Mars,25900000.0,Brazil,397000.0,601300.0,,
216,carlinhosmaiaof,Carlinhos Maia🌻,26100000.0,Brazil,326500.0,595300.0,Lifestyle,
217,taeoxo_nct,TAEYONG,9600000.0,Indonesia,1200000.0,1600000.0,Lifestyle,
218,lilireinhart,Lili Reinhart,28700000.0,Brazil,359900.0,532300.0,Cinema & Actors/actresses,
219,colesprouse,Cole Sprouse,35900000.0,United States,324600.0,423800.0,Modeling,
220,jessicah_o,Jessi / 제시,12600000.0,United States,939700.0,1200000.0,,
221,riaricis1795,RICIS,31900000.0,Indonesia,386500.0,472900.0,Lifestyle,
222,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,16100000.000000002,India,795300.0,935800.0,Computers & Gadgets,Machinery & Technologies
223,nayeonyny,나연 (NAYEON),8300000.000000001,Brazil,1600000.0,1800000.0,Lifestyle,
224,sydney_sweeney,Sydney Sweeney,14200000.0,United States,555400.0,1000000.0,Lifestyle,Cinema & Actors/actresses
225,thinkaboutzu,쯔위 (TZUYU),8000000.0,India,1600000.0,1900000.0,,
226,gatenm123,Gaten Matarazzo,18700000.0,Brazil,596800.0,788200.0,Cinema & Actors/actresses,Fashion
227,postmalone,,22800000.0,United States,423200.0,647100.0,,
228,awez_darbar,Awez Darbar,23100000.0,India,531200.0,636500.0,Shows,Cinema & Actors/actresses
229,m.by__sana,사나 (SANA),7500000.0,Yemen,1700000.0,2000000.0,Lifestyle,
230,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,18000000.0,Indonesia,654800.0,807900.0,Clothing & Outfits,
231,lilbaby,,20400000.0,United States,385500.0,711900.0,,
232,somsomi0309,ENNIK 전소미,15600000.0,Indonesia,754700.0,912500.0,,
233,camimendes,camila mendes,26900000.0,Brazil,379600.0,526300.0,Cinema & Actors/actresses,
234,attahalilintar,Atta Halilintar - PAPATA,24000000.0,Indonesia,430600.0,588000.0,Shows,
235,sunnyleone,Sunny Leone,53500000.0,India,195500.0,264700.0,Beauty,Cinema & Actors/actresses
236,justintimberlake,Justin Timberlake,66099999.99999999,United States,157900.0,210900.0,Cinema & Actors/actresses,
237,riyaz.14,Riyaz Aly,27400000.0,India,395000.0,514000.0,Lifestyle,
238,juliette,Juliette,33400000.0,Brazil,260800.0,414500.0,Cinema & Actors/actresses,
239,xxxibgdrgn,권지용(權志龍),21300000.0,Indonesia,504800.0,640000.0,Photography,Fashion
240,hyunah_aa,Hyun Ah,18200000.0,South Korea,622100.0,737200.0,,
241,ranveersingh,Ranveer Singh,41100000.0,India,247400.0,322000.0,Cinema & Actors/actresses,Modeling
242,bretmanrock,Bretman (Da Baddest) Rock,18500000.0,United States,424600.0,714800.0,Beauty,
243,kevinhart4real,Kevin Hart,152500000.0,United States,68900.0,87300.0,Cinema & Actors/actresses,
244,evaluna,Evaluna Montaner de Echeverry,20700000.0,Argentina,457800.0,630700.0,Family,
245,prattprattpratt,Chris Pratt,38600000.0,United States,258399.99999999997,338100.0,Cinema & Actors/actresses,
246,jbalvin,J Balvin,52800000.0,Mexico,188500.0,247500.0,,
247,jairmessiasbolsonaro,Jair M. Bolsonaro,21300000.0,Brazil,452800.0,628900.0,Finance & Economics,Business & Careers
248,britneyspears,Britney Spears,42200000.0,United States,222700.0,309700.0,,
249,janhvikapoor,Janhvi Kapoor,18500000.0,India,581100.0,693300.0,Lifestyle,Cinema & Actors/actresses
250,tinistoessel,LaTripleT,18600000.0,Argentina,514799.99999999994,690500.0,,
251,lukamodric10,Luka Modric,24800000.0,Spain,349000.0,511300.0,Sports with a ball,
252,anushkasen0408,Anushka Sen,38600000.0,India,282700.0,330300.0,Cinema & Actors/actresses,
253,min9yu_k,김민규,7600000.0,Indonesia,1400000.0,1700000.0,,
254,keerthysureshofficial,Keerthy Suresh,13600000.0,India,805000.0,921100.0,Beauty,Cinema & Actors/actresses
255,samoylovaoxana,Samoylova Oxana,15300000.0,Russia,603400.0,818100.0,Family,Lifestyle
256,juandediospantoja,JD PANTOJA 🇲🇽,22600000.0,Mexico,479400.0,547600.0,Cinema & Actors/actresses,
257,sidmalhotra,Sidharth Malhotra,20600000.0,India,478200.0,595500.0,Cinema & Actors/actresses,Modeling
258,avneetkaur_13,Avneet Kaur Official,32500000.0,India,308500.0,375800.0,Cinema & Actors/actresses,
259,garethbale11,Gareth Bale,48100000.0,Spain,160600.0,251800.0,Sports with a ball,
260,yellow_3to3,REN JUN,6300000.0,Indonesia,1600000.0,2000000.0,Lifestyle,
261,lilyjcollins,Lily Collins,26900000.0,United States,300900.0,448000.0,Cinema & Actors/actresses,
262,luissuarez9,Luis Suárez,44300000.0,Brazil,179900.0,269700.0,Sports with a ball,
263,realbarbarapalvin,Barbara Palvin,18200000.0,Russia,483400.0,652300.0,Modeling,Fashion
264,johnnyjsuh,Johnny Suh,8800000.0,Indonesia,1000000.0,1400000.0,Lifestyle,
265,lizgillz,Elizabeth Gillies,14100000.0,Mexico,578900.0,838100.0,Cinema & Actors/actresses,
266,fedez,FEDEZ,14400000.0,Italy,593000.0,820400.0,,
267,keniaos,Kenia Os,13900000.0,Mexico,655100.0,851800.0,,
268,liluzivert,Lil Uzi Vert,16399999.999999998,United States,392800.0,722900.0,,
269,_zyozyo,JIHYO,6700000.0,Indonesia,1400000.0,1800000.0,Lifestyle,
270,heybiblee,이성경,14500000.0,Indonesia,598200.0,807600.0,Modeling,
271,thehughjackman,,30500000.0,United States,338100.0,384400.0,Cinema & Actors/actresses,
272,marvel,Marvel Entertainment,66400000.00000001,United States,148000.0,175500.0,Cinema & Actors/actresses,Shows
273,nicki.nicole,,12500000.0,Argentina,630000.0,931600.0,,
274,yoona__lim,,13900000.0,Indonesia,700100.0,837600.0,Cinema & Actors/actresses,
275,ananyapanday,Ananya 💛💫,23700000.0,India,419700.0,490200.0,Cinema & Actors/actresses,
276,pubity,Pubity,31800000.0,United States,249300.0,364500.0,Humor & Fun & Happiness,
277,mr_faisu_07,FAISAL SHAIKH,28300000.0,India,322900.0,411800.0,Modeling,Cinema & Actors/actresses
278,marshmello,marshmello,29500000.0,United States,267100.0,385900.0,,
279,tigerjackieshroff,Tiger Shroff,35600000.0,India,263700.0,321300.0,Cinema & Actors/actresses,
280,_imyour_joy,Joy,14200000.0,Indonesia,670100.0,801000.0,Lifestyle,
281,iansomerhalder,iansomerhalder,23400000.0,United States,326200.0,487600.0,Cinema & Actors/actresses,
282,trippieredd,555,13100000.0,United States,443100.0,868900.0,,
283,sachintendulkar,Sachin Tendulkar,35600000.0,India,264200.0,316700.0,Sports with a ball,Lifestyle
284,perrieedwards,Perrie Edwards 🖤,15900000.0,Brazil,456600.0,712500.0,Modeling,
285,ashishchanchlani,Ashish Chanchlani,14600000.0,India,621800.0,760300.0,Cinema & Actors/actresses,
286,iammichelemorroneofficial,Michele Morrone,15300000.0,Brazil,498400.0,714900.0,Lifestyle,Cinema & Actors/actresses
287,dannapaola,Danna Paola,34800000.0,Mexico,216100.0,313300.0,,
288,bhuvan.bam22,Bhuvan Bam,14800000.0,India,594900.0,736500.0,Cinema & Actors/actresses,
289,cbum,Chris Bumstead,10100000.0,United States,646300.0,1100000.0,Fitness & Gym,
290,psg,Paris Saint-Germain,62400000.0,Brazil,103200.0,172200.0,Sports with a ball,
291,mina_sr_my,미나 (MINA),6600000.0,Indonesia,1400000.0,1700000.0,,
