handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg
aum_patchrapa,Patchrapa Chai,Cinema & Actors/actresses,Lifestyle,14100000.0,Thailand,150300.0,179200.0
aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,,25300000.0,Indonesia,475200.0,601100.0
avani,avani,Beauty,Lifestyle,18800000.0,United States,337000.0,451900.0
avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,,30500000.0,India,281300.0,341100.0
avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,10700000.0,Brazil,211200.0,263000.0
awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,17800000.0,India,466000.0,558400.0
aykutelmas,Aykut Elmas,Cinema & Actors/actresses,Photography,6800000.0,Turkey,321000.0,376500.0
badbunnypr,,Music,,38500000.0,United States,2500000.0,3900000.0
badgalriri,badgalriri,Music,Beauty,125100000.0,United States,2800000.0,4600000.0
baifernbah,baifernbah,Lifestyle,,10400000.0,Indonesia,224500.0,284600.0
bambam1a,BamBam,Music,,16000000.0,Brazil,684300.0,863000.0
barackobama,Barack Obama,Finance & Economics,Business & Careers,35400000.0,United States,148300.0,174600.0
barbieferreira,barbie ferreira,,,6100000.0,United States,635500.0,1200000.0
bbrightvc,bright,Cinema & Actors/actresses,,13500000.0,Indonesia,1700000.0,2000000.0
bclsinclair,Bunga Citra Lestari,Music,,20200000.0,Indonesia,153500.0,242600.0
beberexha,Bebe Rexha,Music,Lifestyle,10800000.0,India,221500.0,327000.0
bebytsabina,Cut Beby Tshabina,Modeling,,7100000.0,Indonesia,243400.0,373900.0
beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,50700000.0,India,474600.0,604400.0
belindapop,Beli,Music,,14900000.0,Mexico,136700.0,197000.0
bellahadid,Bella 🦋,Modeling,,50600000.0,United States,566900.0,905300.0
bellapoarch,Bella Poarch,,,14300000.0,United States,859500.0,1200000.0
bellathorne,BELLA,Music,Art/Artists,25200000.0,United States,289500.0,485700.0
bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,16800000.0,Philippines,452700.0,545400.0
beyonce,Beyoncé,Music,Fashion,246900000.0,United States,2600000.0,3700000.0
bhadbhabie,ℬ𝒽𝒶𝒷𝒾ℯ🦋,Music,,16399999.999999998,United States,143100.0,268000.0
bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,,14200000.0,India,741000.0,915800.0
bianca,BOCA ROSA,Beauty,,17700000.0,Brazil,73600.0,172200.0
bibisbeautypalace,! Bibi,Family,Lifestyle,7800000.0,Germany,322700.0,369600.0
bighit_ent,BigHit Music Updates,Music,,13000000.0,Indonesia,721300.0,888500.0
bigsean,BIGSEAN,Music,Art/Artists,14600000.0,United States,169900.0,310300.0
billieeilish,BILLIE EILISH,Music,,101700000.0,United States,2600000.0,3400000.0
bizarrap,BZRP,Music,,11500000.0,Argentina,920800.0,1100000.0
blackpinkofficial,BLΛƆKPIИK,Music,,46200000.0,Indonesia,1100000.0,1400000.0
blakelively,Blake Lively,Cinema & Actors/actresses,,32000000.0,United States,827100.0,1300000.0
bleacherreport,Bleacher Report,Sports with a ball,,18400000.0,United States,103800.0,204700.0
blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13400000.0,Philippines,196900.0,224100.0
bmw,BMW,Cars & Motorbikes,,33100000.0,India,73100.0,97600.0
bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,21400000.0,Indonesia,2500000.0,2900000.0
bobbyindaeyo,💀,Music,,3400000.0,Indonesia,679100.0,791200.0
borodylia,Ксения Бородина,Shows,Family,18200000.0,Russia,123000.0,153200.0
bramastavrl,Verrell Bramasta,Cinema & Actors/actresses,Lifestyle,23700000.0,Indonesia,109100.0,138900.0
brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22100000.0,United States,888300.0,1200000.0
bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18300000.0,United States,551000.0,927900.0
brfootball,Bleacher Report Football,Sports with a ball,,11900000.0,United States,146000.0,236000.0
briandadeyanara,BRIANDA 💖,,,12600000.0,Mexico,355200.0,417300.0
brianmaps,Брайн Мапс (Макс Тарасенко),Photography,,5800000.0,Russia,608400.0,627900.0
britneyspears,Britney Spears,Music,,40200000.0,United States,180500.0,251600.0
brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,,42600000.0,Brazil,485200.0,837200.0
brunomars,Bruno Mars,Music,,24900000.0,Brazil,328700.0,499000.0
brycehall,Bryce Hall,Music,,7500000.0,United States,279200.0,358700.0
bts.bighitofficial,BTS official,Music,,61700000.0,Indonesia,2400000.0,2600000.0
bugatti,BUGATTI,Cars & Motorbikes,Luxury,16100000.000000002,United States,124100.0,168500.0
bumkeyk,SHINee KEY,Music,,9000000.0,Indonesia,376300.0,451600.0
burakozcivit,Burak Özçivit,Cinema & Actors/actresses,,20500000.0,Turkey,492800.0,597500.0
burcuozberk,Burcu Özberk,Cinema & Actors/actresses,,9000000.0,Turkey,560900.0,725600.0
bypamella,BY PAMELLA ✨🧿,Shows,,9400000.0,Brazil,237700.0,406800.0
c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,18600000.0,United States,190100.0,294600.0
camerondallas,Cameron Dallas,Cinema & Actors/actresses,,23000000.0,United States,104800.0,182600.0
camila_cabello,camila,Music,,60900000.0,Brazil,305400.0,418100.0
camilaloures,Camila Loures,Shows,,17600000.0,Brazil,131500.0,196300.0
camilladelucas,Camilla de Lucas,Beauty,,10800000.0,Brazil,205200.0,376800.0
camilo,C A M I L O,Music,,26400000.0,Argentina,252300.0,398900.0
camimendes,camila mendes,Cinema & Actors/actresses,,26800000.0,Brazil,1100000.0,1600000.0
canelo,Saul Alvarez,Fitness & Gym,,12800000.0,Mexico,203000.0,282200.0
canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9300000.0,Italy,324400.0,402800.0
caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43300000.0,United States,130100.0,182800.0
carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,,24800000.0,Brazil,441900.0,810700.0
carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,15000000.0,India,885800.0,1000000.0
casemiro,Casemiro,Sports with a ball,,14000000.0,Spain,149800.0,224100.0
caviarmagnat,by Tregubov,,,13300000.0,Russia,148600.0,214400.0
cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,,9800000.0,Argentina,396200.0,508000.0
cbum,Chris Bumstead,Fitness & Gym,,6600000.0,United States,248700.0,410600.0
celestebarber,Celeste Barber,Humor & Fun & Happiness,,8900000.0,United States,364800.0,393200.0
chaelincl,CL,Art/Artists,Fashion,9800000.0,Brazil,259000.0,342500.0
championsleague,UEFA Champions League,Sports with a ball,,91400000.0,Brazil,255300.0,344400.0
channingtatum,Channing Tatum,Cinema & Actors/actresses,,17000000.0,United States,272100.0,393200.0
charles_leclerc,Charles Leclerc,Racing Sports,,6600000.0,Italy,473900.0,629200.0
charlidamelio,cd,Lifestyle,Shows,47700000.0,United States,1500000.0,1900000.0
charlieputh,Charlie Puth,Music,,15700000.0,United States,320500.0,456200.0
chelseafc,Chelsea FC,Sports with a ball,,33200000.000000004,Indonesia,115700.0,172400.0
chiaraferragni,Chiara Ferragni ✨,Beauty,,26700000.0,Italy,372000.0,616600.0
chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,,20100000.0,United States,292900.0,392500.0
choi_seung_hyun_tttop,T.O.P,,,13600000.0,Indonesia,337700.0,400700.0
choquei,CHOQUEI - BBB22,Literature & Journalism,,17000000.0,Brazil,90100.0,279500.0
chrisbrownofficial,BREEZY,Music,,106000000.0,United States,157100.0,241900.0
chrisevans,Chris Evans,,,14800000.0,United States,2000000.0,2400000.0
chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,,54000000.0,India,776600.0,998100.0
chrissyteigen,chrissy teigen,Shows,Modeling,37400000.0,United States,158000.0,205500.0
ciara,Ciara,Music,Modeling,31300000.0,United States,199400.0,270600.0
claaragalle,Clara Galle🌀,,,3200000.0,Mexico,425200.0,771600.0
claireholt,Claire Holt,Cinema & Actors/actresses,Lifestyle,7400000.0,United States,304100.0,415400.0
claragnds,Maria Clara Garcia,,,6400000.0,Brazil,153400.0,386600.0
clean_0828,김세정,Lifestyle,,5500000.0,Indonesia,1300000.0,1600000.0
cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,,17800000.0,Brazil,360600.0,564800.0
coldplay,Coldplay,Music,,15400000.0,Brazil,274000.0,381300.0
cole.labrant,Cole LaBrant,Lifestyle,Fashion,5000000.0,United States,412600.0,580800.0
colesprouse,Cole Sprouse,Modeling,,36000000.0,United States,352700.0,459300.0
colleen,Colleen Ballinger,Family,Fashion,7500000.0,United States,368300.0,463600.0
conangray,Conan Gray,Music,,5700000.0,Brazil,785400.0,1200000.0
courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,,12100000.0,India,319900.0,421900.0
cristiano,Cristiano Ronaldo,Sports with a ball,,419600000.0,India,5700000.0,7000000.0
cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19200000.0,Colombia,247300.0,305100.0
cznburak,Burak Özdemir,Food & Cooking,,32900000.0,Turkey,615200.0,836000.0
d_a___m_i,KIM DA MI,,,4300000.0,Indonesia,1100000.0,1400000.0
d_degeaofficial,David De Gea,Sports with a ball,,12900000.0,United Kingdom,306800.0,434400.0
daddyyankee,Daddy Yankee,Music,,44900000.0,Argentina,1300000.0,1800000.0
dagelan,Dagelan,Humor & Fun & Happiness,,20600000.0,Indonesia,83400.0,140500.0
danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,,32799999.999999996,India,1300000.0,2100000.0
danialves,Daniel Alves,Sports with a ball,,35700000.0,Brazil,170600.0,264900.0
daniel.k.here,Daniel Kang,Lifestyle,,4800000.0,Indonesia,458900.0,577400.0
danielricciardo,Daniel Ricciardo,Racing Sports,,6600000.0,United States,361100.0,469200.0
dannapaola,Danna Paola,Music,,33500000.0,Mexico,931600.0,1300000.0
daquan,Daquan,Humor & Fun & Happiness,,16800000.0,United States,364200.0,561900.0
darshanravaldz,Darshan Raval #Goriye,Music,,14800000.0,India,205900.0,249100.0
dava_m,Дава Ⓜ️ Всё будет хорошо🧸,Business & Careers,,13700000.0,Russia,166000.0,215900.0
davidalaba,David Alaba,Sports with a ball,,8500000.0,Spain,301400.0,426700.0
davidbeckham,David Beckham,Family,Sports with a ball,71900000.0,India,500400.0,641100.0
davidluiz23,David Luiz,Sports with a ball,,21200000.0,Brazil,69800.0,152400.0
davido,Davido,Music,,23300000.0,Nigeria,184900.0,259300.0
davidwarner31,David Warner,Sports with a ball,,9100000.0,India,238200.0,279700.0
davikah,davikah,Modeling,,15900000.0,Thailand,355300.0,460800.0
dbook,Devin,,,5100000.0,United States,248800.0,489000.0
ddlovato,Demi Lovato,Music,,128699999.99999999,United States,319800.0,418400.0
dean.schneider,Dean Schneider,Animals,,10100000.0,India,271500.0,348200.0
dearra,De'arra Taylor,Lifestyle,,6000000.0,United States,236900.0,589900.0
debbyryan,Debby Ryan,Music,Cinema & Actors/actresses,16700000.0,United States,169400.0,246400.0
deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,,65500000.0,India,347200.0,450300.0
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,10800000.0,Brazil,234300.0,431400.0
demetozdemir,Demet Özdemir,Cinema & Actors/actresses,,15000000.0,Turkey,335600.0,449000.0
demirose,Demi 🌹,Modeling,Lifestyle,19200000.0,United States,395900.0,515000.0
dew_jsu,2000,,,4500000.0,Indonesia,798400.0,1100000.0
dhanushkraja,Dhanush,Cinema & Actors/actresses,,4200000.0,India,685100.0,886300.0
diddy,LOVE,Music,Cinema & Actors/actresses,18400000.0,United States,109400.0,164500.0
diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,,12900000.0,India,203300.0,244700.0
dindahw,Dinda Hauw,Cinema & Actors/actresses,,13900000.0,Indonesia,288800.0,431500.0
dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,49600000.0,India,909300.0,1100000.0
divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,Cinema & Actors/actresses,18900000.0,India,146500.0,168200.0
dixiedamelio,dixie,Music,Clothing & Outfits,25100000.0,United States,293000.0,430300.0
djokernole,Novak Djokovic,Sports with a ball,,10400000.0,Serbia,195700.0,240900.0
djsnake,djsnake,Music,,9100000.0,India,362200.0,429600.0
djxiao_888,XIAOJUN,,,6600000.0,Indonesia,1100000.0,1300000.0
dkharbour,David Harbour,Cinema & Actors/actresses,,6200000.0,United States,352200.0,461500.0
dlwlrma,이지금 IU,Art/Artists,,25800000.0,South Korea,2900000.0,3500000.0
dntlrdl,CHOIWOOSHIK,Lifestyle,,5900000.0,Indonesia,1500000.0,2000000.0
do0_nct,Doyoung,,,9800000.0,Indonesia,1400000.0,1900000.0
dojacat,Doja Cat,Music,,22400000.0,United States,2800000.0,3900000.0
domelipa,domelipa,Lifestyle,,17200000.0,Mexico,1100000.0,1300000.0
dominicfike,,,,3700000.0,United States,419900.0,799000.0
donya,Donya,Fashion,,14700000.0,Iran,379800.0,596700.0
dovecameron,DOVE,Cinema & Actors/actresses,,46400000.0,United States,618500.0,807200.0
dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,,10200000.0,India,176800.0,239600.0
dra.deolanebezerra,Deolane Bezerra,,,13200000.0,Brazil,352000.0,754100.0
drewstarkey,Drew Starkey,,,3200000.0,United States,630200.0,1200000.0
dualipa,DUA LIPA,Music,,81600000.0,Mexico,2200000.0,2700000.0
dudewithsign,Seth,,,8100000.0,United States,400000.0,628500.0
dukeandduchessofcambridge,Duke and Duchess of Cambridge,Family,Finance & Economics,13500000.0,,0.0,214200.0
dukissj,Ya Supiste,Music,,9000000.0,Argentina,607200.0,1100000.0
dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7300000.0,United States,215700.0,350400.0
dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,,9300000.0,United States,350300.0,549800.0
e_milygarcia,Emily Garcia,Cinema & Actors/actresses,,11000000.0,Brazil,230100.0,380500.0
earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,22700000.0,United States,118700.0,145900.0
easportsfifa,EA SPORTS FIFA,Sports with a ball,,25800000.0,Spain,70900.0,118300.0
ebi,EBI,Music,,10300000.0,Iran,193600.0,260500.0
ederbez,Eugenio Derbez,Cinema & Actors/actresses,Lifestyle,18100000.0,Mexico,248300.0,278900.0
egorkreed,Егор Крид | #HeartBreakKid,Music,,14700000.0,Russia,322600.0,396900.0
eilirjani,Elton ILIRJANI,Lifestyle,,9500000.0,Albania,423900.0,611600.0
elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8300000.000000001,Turkey,284600.0,342800.0
eliana,Eliana Michaelichen,Music,Shows,29600000.0,Brazil,119300.0,151500.0
ellenpompeo,Ellen Pompeo,Cinema & Actors/actresses,Lifestyle,10000000.0,Brazil,285800.0,495800.0
elnazshakerdoost,Elnaz Shakerdoost🎬,Cinema & Actors/actresses,,9500000.0,Iran,219000.0,295700.0
elrodrigocontreras,ROD🥴,Lifestyle,,12700000.0,Mexico,563100.0,620800.0
elrubiuswtf,el rubius WTF,Computers & Gadgets,,16200000.0,Mexico,1400000.0,1500000.0
emilia_clarke,,Cinema & Actors/actresses,,27000000.0,India,490500.0,617200.0
emiliamernes,Emilia Mernes,Music,,4900000.0,Argentina,549500.0,1000000.0
eminem,Marshall Mathers,Cinema & Actors/actresses,Music,35600000.0,Iran,771200.0,993500.0
emmachamberlain,emma chamberlain,Lifestyle,Shows,15300000.0,United States,1100000.0,1700000.0
emmaroberts,Emma Roberts,Cinema & Actors/actresses,,17700000.0,United States,266400.0,392400.0
emrata,Emily Ratajkowski,Modeling,,29000000.0,United States,475400.0,758700.0
enhypen,ENHYPEN,,,9600000.0,Indonesia,1500000.0,2100000.0
erling.haaland,Erling Braut Haaland,,,14800000.0,Brazil,541800.0,811000.0
esbilgic,Esra Bilgic,Lifestyle,Modeling,6700000.0,India,319100.0,407100.0
ester_exposito,Ester 🌙,Cinema & Actors/actresses,,29000000.0,Russia,2900000.0,4300000.0
eunwo.o_c,차은우,Music,Lifestyle,27400000.0,Indonesia,3600000.0,4500000.0
euphoria,euphoria,,,7900000.0,United States,1100000.0,1800000.0
evaluna,Evaluna Montaner de Echeverry,Family,Music,19800000.0,Argentina,812100.0,1100000.0
evcenf,Fahriye Evcen Özçivit,Lifestyle,Beauty,12800000.0,Turkey,375600.0,473300.0
ewsbdi,로운,,,4200000.0,Indonesia,488600.0,730200.0
f1,FORMULA 1®,Racing Sports,,18300000.0,Italy,266600.0,337700.0
fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,6400000.0,Italy,328900.0,570600.0
fadiljaidi,Fadil Jaidi,Lifestyle,,7000000.0,Indonesia,581500.0,873000.0
faz3,Fazza,Lifestyle,,14000000.0,United Arab Emirates,257300.0,337900.0
fcbarcelona,FC Barcelona,Sports with a ball,,107100000.0,Indonesia,450100.0,687900.0
fcbayern,FC Bayern,Sports with a ball,,31800000.0,Germany,115000.0,167400.0
fedez,FEDEZ,Music,,13700000.0,Italy,725500.0,1000000.0
feliciathegoat,"Tyler, The Creator",Music,,12400000.0,United States,1000000.0,1700000.0
felicyangelista_,Felicya Angelista,Family,,21000000.0,Indonesia,107000.0,147800.0
felipeneto,Felipe Neto 🦉,Lifestyle,,15400000.0,Brazil,166100.0,236000.0
fifaworldcup,FIFA World Cup,Sports with a ball,,25500000.0,India,71200.0,109100.0
florencepugh,Florence Pugh,Humor & Fun & Happiness,Cinema & Actors/actresses,7200000.0,United States,926400.0,1400000.0
for_everyoung10,장원영 WONYOUNG,,,3600000.0,Indonesia,733900.0,926900.0
