handle_youtube,name_youtube,category_1,followers,audience_country,views_avg,likes_avg,comments_avg,category_1_unified,category_2_unified,category_primary,if_exist
cancionesdelagranja,La Granja de Zenón,Music & Dance,30400000,,623300,3100.0,,Music,,Music,1
erosentertainment,Eros Now Music,,30300000,India,64100,1000.0,31.0,,,,0
SMTOWN,SMTOWN,Music & Dance,30200000,United States,478000,54700.0,3200.0,Music,,Music,1
MrBean,Mr Bean,,30100000,India,73200,2200.0,69.0,,,,0
juptube,Galinha Pintadinha,Music & Dance,29700000,,10600000,43200.0,,Music,,Music,1
Ricis Official,Ricis Official,Music & Dance,29700000,Indonesia,782000,51600.0,1800.0,Music,,Music,1
rezendeevil,rezendeevil,Video games,29700000,Brazil,230700,28700.0,463.0,Tech/Gaming,,Tech/Gaming,1
AH,AH,Music & Dance,29600000,Indonesia,1400000,81100.0,4400.0,Music,,Music,1
SpinninRec,Spinnin' Records,Music & Dance,29500000,United States,70300,2500.0,71.0,Music,,Music,1
latenight,The Tonight Show Starring Jimmy Fallon,Music & Dance,29300000,United States,88800,2200.0,121.0,Music,,Music,1
tseriesoldisgold,Bollywood Classics,Music & Dance,28900000,India,44400,530.0,39.0,Music,,Music,1
rajshri,Rajshri,,28800000,India,15400,109.0,6.0,,,,0
harpalgeo,HAR PAL GEO,,28600000,Pakistan,7300,67.0,4.0,,,,0
DisneyMusicVEVO,DisneyMusicVEVO,Music & Dance,28500000,United States,2500000,63200.0,2000.0,Music,,Music,1
UltraRecords,Ultra Music,Music & Dance,28300000,United States,30600,1200.0,48.0,Music,,Music,1
jacksepticeye,jacksepticeye,Video games,28200000,United States,1900000,127600.0,5200.0,Tech/Gaming,,Tech/Gaming,1
BabyBus - Kids Songs and Cartoons,BabyBus - Kids Songs and Cartoons,Animation,28100000,,1100000,4700.0,,Entertainment,,Entertainment,1
xoxxxoooxo,The Weeknd,Music & Dance,27700000,United States,355600,25300.0,1100.0,Music,,Music,1
TheLateLateShow,The Late Late Show with James Corden,Animation,27500000,United States,78100,1600.0,112.0,Entertainment,,Entertainment,1
ImagineDragons,ImagineDragons,Music & Dance,27500000,United States,1600000,95800.0,3600.0,Music,,Music,1
TalkingTomCat,Talking Tom,,27400000,United States,1200000,3000.0,,,,,0
toyoraljanahtv,قناة طيور الجنة | toyoraljanahtv,Music & Dance,27300000,,143700,,,Music,,Music,1
theofficialpeppa,Peppa Pig - Official Channel,Toys,26900000,,2000000,9000.0,,,,,0
Little Angel: Nursery Rhymes & Kids Songs,Little Angel: Nursery Rhymes & Kids Songs,Toys,26900000,,1100000,5100.0,,,,,0
ARY Digital,ARY Digital,,26900000,Pakistan,15100,143.0,5.0,,,,0
WWRBhojpuri,Worldwide Records Bhojpuri,Music & Dance,26700000,India,119600,1700.0,129.0,Music,,Music,1
SongsOfIndianCinema,Saregama Music,Music & Dance,26600000,India,31600,906.0,79.0,Music,,Music,1
MrBeast Gaming,MrBeast Gaming,Animation,26500000,United States,23300000,732000.0,44000.0,Entertainment,,Entertainment,1
Wow Kidz,Wow Kidz,Animation,26500000,,468200,4300.0,,Entertainment,,Entertainment,1
TheDonato,TheDonato,Video games,26500000,Mexico,488100,56500.0,240.0,Tech/Gaming,,Tech/Gaming,1
GMANETWORK,GMANetwork,,26400000,Philippines,10000,249.0,12.0,,,,0
infobellstamil,infobells - Tamil,Education,26200000,,215000,1200.0,,Info/Business,,Info/Business,1
TheDiamondMinecart,DanTDM,Video games,26100000,United States,1300000,59500.0,3700.0,Tech/Gaming,,Tech/Gaming,1
taylorgangent,Wiz Khalifa,Music & Dance,26000000,United States,0,,,Music,,Music,1
Bounce Patrol - Kids Songs,Bounce Patrol - Kids Songs,Music & Dance,25800000,,2800000,7800.0,,Music,,Music,1
WorldStarHipHopTV,WORLDSTARHIPHOP,Music & Dance,25800000,United States,72700,2400.0,267.0,Music,,Music,1
VanossGaming,VanossGaming,Animation,25600000,United States,1200000,57500.0,624.0,Entertainment,,Entertainment,1
enchufetv,enchufetv,Humor,25600000,Ecuador,960600,99900.0,235.0,Entertainment,,Entertainment,1
infobellstelugu,infobells - Telugu,Education,25600000,,165500,825.0,,Info/Business,,Info/Business,1
LosPolinesios,LosPolinesios,Daily vlogs,25400000,Mexico,620900,45600.0,997.0,Lifestyle,,Lifestyle,1
PowerKids,PowerKids,Movies,25300000,India,18900,,,Entertainment,,Entertainment,1
Techno Gamerz,Techno Gamerz,,25200000,India,5000000,332900.0,25800.0,,,,0
1MILLION Dance Studio,1MILLION Dance Studio,,25200000,India,72100,3800.0,57.0,,,,0
toycantando,toycantando,Music & Dance,25000000,,376800,2300.0,,Music,,Music,1
smosh,Smosh,Animation,25000000,United States,193400,10800.0,382.0,Entertainment,,Entertainment,1
xSkyHeLLxx,Renato Garcia,Toys,24800000,Brazil,1000000,112200.0,1500.0,,,,0
AboFlah,AboFlah,Animation,24700000,Iraq,0,,,Entertainment,,Entertainment,1
zeenews,Zee News,News & Politics,24500000,India,78300,1300.0,80.0,Info/Business,,Info/Business,1
Diana and Roma ESP,Diana and Roma ESP,Animation,24500000,,982600,4400.0,,Entertainment,,Entertainment,1
WatchMojo,WatchMojo.com,Movies,24400000,United States,77700,2300.0,231.0,Entertainment,,Entertainment,1
Super JoJo - Nursery Rhymes & Kids Songs,Super JoJo - Nursery Rhymes & Kids Songs,Animation,24400000,,1500000,7500.0,,Entertainment,,Entertainment,1
Genevieve's Playhouse - Learning Videos for Kids,Genevieve's Playhouse - Learning Videos for Kids,Toys,24400000,,236400,410.0,,,,,0
Jess No Limit,Jess No Limit,Music & Dance,24400000,Indonesia,363200,15400.0,1100.0,Music,,Music,1
TwiNboTzVids,Lucas and Marcus,Animation,24400000,United States,472400,20300.0,749.0,Entertainment,,Entertainment,1
MR. INDIAN HACKER,MR. INDIAN HACKER,,24300000,India,5300000,587700.0,18900.0,,,,0
jypentertainment,JYP Entertainment,Music & Dance,24200000,United States,2300000,455200.0,18400.0,Music,,Music,1
Las Ratitas,Las Ratitas,Toys,24200000,,580700,15500.0,,,,,0
James Charles,James Charles,Beauty,24200000,United States,1000000,54800.0,2200.0,Beauty/Fashion,,Beauty/Fashion,1
davidguettavevo,David Guetta,Music & Dance,24000000,Brazil,267400,8700.0,358.0,Music,,Music,1
nickelodeonjuniorfr,Nick Jr.,Toys,24000000,,148700,361.0,,,,,0
व्लाद और निकिता,व्लाद और निकिता,,23800000,,2200000,14000.0,,,,,0
ZHC,ZHC,Design/art,23800000,United States,5200000,195600.0,8900.0,Lifestyle,,Lifestyle,1
adityamusic,Aditya Music,Music & Dance,23600000,India,49000,1200.0,36.0,Music,,Music,1
Logan Paul,Logan Paul,Video games,23400000,United States,4300000,76200.0,3900.0,Tech/Gaming,,Tech/Gaming,1
Rans Entertainment,Rans Entertainment,Music & Dance,23400000,Indonesia,755700,22900.0,675.0,Music,,Music,1
NewOnNetflix,Netflix,Movies,23200000,United States,265200,5000.0,325.0,Entertainment,,Entertainment,1
Chloe Ting,Chloe Ting,Fitness,23200000,United States,375700,17300.0,783.0,Sports,,Sports,1
Troom Troom,Troom Troom,Toys,23000000,United States,339200,3700.0,107.0,,,,0
Masha y el Oso,Masha y el Oso,Animation,23000000,,891300,5800.0,,Entertainment,,Entertainment,1
Raffy Tulfo in Action,Raffy Tulfo in Action,Music & Dance,23000000,Philippines,399400,5800.0,773.0,Music,,Music,1
SesameStreet,Sesame Street,Music & Dance,22800000,,237400,790.0,,Music,,Music,1
JellyYT,Jelly,Video games,22800000,United States,260000,13200.0,450.0,Tech/Gaming,,Tech/Gaming,1
ColdplayVEVO,Coldplay,Music & Dance,22800000,United States,66200,6900.0,188.0,Music,,Music,1
Diana and Roma HIN,Diana and Roma HIN,,22600000,,251100,1600.0,,,,,0
Mister Max,Mister Max,DIY & Life Hacks,22600000,Russia,988200,22400.0,879.0,Lifestyle,,Lifestyle,1
mildicasdemulher,Erlania e Valentina Pontes,,22500000,Brazil,300100,5000.0,,,,,0
Vlad và Nikita,Vlad và Nikita,Music & Dance,22400000,,1300000,6700.0,,Music,,Music,1
DrossRotzank,DrossRotzank,News & Politics,22400000,Mexico,2100000,151600.0,8100.0,Info/Business,,Info/Business,1
Sandeep Maheshwari,Sandeep Maheshwari,Daily vlogs,22400000,India,652600,38800.0,2300.0,Lifestyle,,Lifestyle,1
ABP NEWS HINDI,ABP NEWS HINDI,News & Politics,22300000,India,2000,25.0,6.0,Info/Business,,Info/Business,1
adityacinema,Aditya Movies,,22300000,India,113600,3300.0,130.0,,,,0
Goldmines Dishoom,Goldmines Dishoom,,22200000,,28500,292.0,,,,,0
THECHAINSMOKERS,The Chainsmokers,Humor,22200000,United States,62400,6200.0,97.0,Entertainment,,Entertainment,1
netdmuzikk,netd müzik,Music & Dance,22000000,Turkey,15500,355.0,59.0,Music,,Music,1
Technical Guruji,Technical Guruji,,22000000,India,111400,9800.0,847.0,,,,0
Smile Family,Smile Family,Animation,21800000,,142100,756.0,,Entertainment,,Entertainment,1
gmmgrammyofficial,GMM GRAMMY OFFICIAL,Music & Dance,21700000,Thailand,2400,53.0,2.0,Music,,Music,1
Anuel AA,Anuel AA,Music & Dance,21600000,Colombia,104200,7400.0,373.0,Music,,Music,1
mmoshaya,mmoshaya,,21600000,Saudi Arabia,1800000,35700.0,1700.0,,,,0
Miss Katy,Miss Katy,Video games,21400000,Russia,604800,11200.0,626.0,Tech/Gaming,,Tech/Gaming,1
VenusMovies,Venus Movies,,21400000,India,6300,64.0,8.0,,,,0
Like Nastya AE,Like Nastya AE,,21400000,,740500,5000.0,,,,,0
Frost Diamond,Frost Diamond,Music & Dance,21200000,Indonesia,395100,21300.0,1200.0,Music,,Music,1
Tasty,Tasty,Food & Drinks,21000000,United States,251500,7900.0,239.0,Lifestyle,,Lifestyle,1
WHBBP,White Hill Music,Music & Dance,21000000,India,23200,1200.0,89.0,Music,,Music,1
TEDtalksDirector,TED,,21000000,United States,32700,919.0,72.0,,,,0
WB Kids,WB Kids,Movies,21000000,,68000,659.0,,Entertainment,,Entertainment,1
oRugrat,FaZe Rug,Video games,20800000,United States,2500000,105900.0,5900.0,Tech/Gaming,,Tech/Gaming,1
5-Minute Crafts DIY,5-Minute Crafts DIY,Music & Dance,20800000,India,53400,648.0,18.0,Music,,Music,1
AmericasGotTalent,America's Got Talent,,20800000,United States,284300,5500.0,176.0,,,,0
CanalCanalha,CanalCanalha,Sports,20700000,Brazil,1100000,127400.0,2100.0,Sports,,Sports,1
hamaarbhojiwood,Wave Music Bhojpuri,Music & Dance,20600000,India,8800,139.0,30.0,Music,,Music,1
PeppaLatinoAmericano,Peppa Pig Español Latino - Canal Oficial,Toys,20600000,,734600,5700.0,,,,,0
shemaroomovies,Shemaroo Movies,,20600000,India,21800,264.0,14.0,,,,0
BabyBus - Canciones Infantiles & Cuentos,BabyBus - Canciones Infantiles & Cuentos,Toys,20600000,,330900,1900.0,,,,,0
Goldmines Bollywood,Goldmines Bollywood,,20600000,India,32600,173.0,9.0,,,,0
Diana and Roma ARA,Diana and Roma ARA,,20600000,,1800000,12800.0,,,,,0
The Lallantop,The Lallantop,News & Politics,20500000,India,12900,313.0,50.0,Info/Business,,Info/Business,1
FGTeeV,FGTeeV,Animation,20400000,United States,2100000,23500.0,2100.0,Entertainment,,Entertainment,1
BuzzFeedVideo,BuzzFeedVideo,Daily vlogs,20400000,United States,56000,1400.0,148.0,Lifestyle,,Lifestyle,1
Baim Paula,Baim Paula,Music & Dance,20400000,Indonesia,1100000,49800.0,1900.0,Music,,Music,1
SSundee,SSundee,Video games,20400000,United States,3000000,141200.0,4600.0,Tech/Gaming,,Tech/Gaming,1
Like Nastya PRT,Like Nastya PRT,,20400000,,670300,3400.0,,,,,0
AuthenticGames,AuthenticGames,Video games,20200000,Brazil,64800,6100.0,229.0,Tech/Gaming,,Tech/Gaming,1
TheFineBros,REACT,Humor,20200000,United States,89500,3000.0,382.0,Entertainment,,Entertainment,1
Crazy XYZ,Crazy XYZ,,20200000,India,5600000,498500.0,14600.0,,,,0
VEVO,Vevo,Music & Dance,20000000,United States,85600,804.0,36.0,Music,,Music,1
DisneyChannelLA,Disney Latinoamérica,,20000000,,46700,348.0,,,,,0
goldmineshindi,Goldmines Movies,,20000000,India,8200,65.0,3.0,,,,0
PenIndiaPvtLimited,Pen Movies,,20000000,India,271000,7600.0,285.0,,,,0
HaerteTest,HaerteTest,,20000000,India,28000,213.0,24.0,,,,0
SlivkiChanel,SlivkiShow,DIY & Life Hacks,19800000,Russia,2800000,295000.0,55300.0,Lifestyle,,Lifestyle,1
5-Minute Crafts PLAY,5-Minute Crafts PLAY,,19800000,India,35400,258.0,15.0,,,,0
LazarBeam,LazarBeam,Video games,19800000,United States,4200000,160000.0,5900.0,Tech/Gaming,,Tech/Gaming,1
Kids TV - Nursery Rhymes And Baby Songs,Kids TV - Nursery Rhymes And Baby Songs,Animation,19800000,,174200,320.0,,Entertainment,,Entertainment,1
NationalGeographic,National Geographic,,19800000,United States,45800,1100.0,74.0,,,,0
Brave Wilderness,Brave Wilderness,,19800000,United States,400600,12100.0,735.0,,,,0
BeckyGOfficial,Becky G,Music & Dance,19800000,United States,57500,5000.0,126.0,Music,,Music,1
Goldmines Cineplex,Goldmines Cineplex,,19800000,India,15700,132.0,4.0,,,,0
NewAFI2013,Indosiar Visual Mandiri,Music & Dance,19600000,Indonesia,15700,264.0,22.0,Music,,Music,1
rossbollinger,Pencilmation,Animation,19600000,United States,390900,3400.0,96.0,Entertainment,,Entertainment,1
HumNetwork,HUM TV,,19400000,Pakistan,3000,21.0,2.0,,,,0
PrestonPlayz,Preston,Animation,19400000,United States,2800000,68600.0,3600.0,Entertainment,,Entertainment,1
Mnet,Mnet K-POP,Music & Dance,19400000,United States,31100,2600.0,112.0,Music,,Music,1
CharliesVlogs,Charlie Puth,Music & Dance,19200000,United States,464700,34000.0,802.0,Music,,Music,1
Totoy kids - Português,Totoy kids - Português,Toys,19200000,Brazil,207400,1500.0,,,,,0
GooodLifeFilms,Lyrical Lemonade,,19200000,United States,335800,60700.0,5700.0,,,,0
RotanaAudio,Rotana,Music & Dance,19200000,Saudi Arabia,1300000,22000.0,533.0,Music,,Music,1
Crafty Panda,Crafty Panda,Music & Dance,19100000,India,75000,540.0,15.0,Music,,Music,1
Noor Stars,Noor Stars,Music & Dance,19100000,Iraq,2000000,161300.0,12100.0,Music,,Music,1
DLS News,DLS News,News & Politics,19000000,India,74300,2500.0,146.0,Info/Business,,Info/Business,1
Troom Troom Es,Troom Troom Es,Toys,19000000,Mexico,120500,2700.0,58.0,,,,0
starplus,StarPlus,,19000000,India,348700,8300.0,68.0,,,,0
The ACE Family,The ACE Family,Humor,19000000,United States,1400000,73800.0,3600.0,Entertainment,,Entertainment,1
toyorbabytv,toyorbabytv,Music & Dance,18800000,,100900,,,Music,,Music,1
gordonramsay,Gordon Ramsay,Food & Drinks,18800000,United States,218100,7200.0,338.0,Lifestyle,,Lifestyle,1
gottalentglobal,Got Talent Global,,18800000,United States,48300,751.0,63.0,,,,0
TelenovelaTelevisa,Tlnovelas,ASMR,18800000,Mexico,26800,310.0,13.0,Lifestyle,,Lifestyle,1
Infinite,Infinite,Video games,18800000,United States,528700,24300.0,1900.0,Tech/Gaming,,Tech/Gaming,1
MrVivekBindra,Dr. Vivek Bindra: Motivational Speaker,Education,18800000,India,290000,18200.0,222.0,Info/Business,,Info/Business,1
TheWillyrex,TheWillyrex,Video games,18600000,Spain,35100,2400.0,,Tech/Gaming,,Tech/Gaming,1
UltraMovieParlour,Ultra Movie Parlour,,18600000,India,194800,1200.0,31.0,,,,0
fatosdesconhecidos,Fatos Desconhecidos,Science & Technology,18600000,Brazil,242100,23100.0,636.0,Tech/Gaming,,Tech/Gaming,1
TheEnaldinhO,Enaldinho,,18500000,Brazil,365900,28200.0,518.0,,,,0
Vlad and Niki Arabic,Vlad and Niki Arabic,,18400000,,2600000,18700.0,,,,,0
OfficialClashOfClans,Clash of Clans,News & Politics,18400000,United States,485900,16100.0,280.0,Info/Business,,Info/Business,1
JimmyKimmelLive,Jimmy Kimmel Live,Movies,18400000,United States,202900,4900.0,288.0,Entertainment,,Entertainment,1
MARVEL,Marvel Entertainment,Movies,18400000,United States,347200,26300.0,1000.0,Entertainment,,Entertainment,1
RobinHoodGamer1,Robin Hood Gamer,Animation,18400000,Brazil,1300000,59000.0,1100.0,Entertainment,,Entertainment,1
Unbox Therapy,Unbox Therapy,Science & Technology,18200000,United States,1300000,17700.0,2000.0,Tech/Gaming,,Tech/Gaming,1
NBA,NBA,Sports,18200000,United States,49400,1600.0,92.0,Sports,,Sports,1
Kurzgesagt,Kurzgesagt – In a Nutshell,Education,18200000,United States,7700000,354700.0,15700.0,Info/Business,,Info/Business,1
TRT Originals Urdu,TRT Originals Urdu,,18200000,Pakistan,387900,17100.0,747.0,,,,0
CKN,CKN,Video games,18200000,,214300,1600.0,,Tech/Gaming,,Tech/Gaming,1
gmapublicaffairs,GMA Public Affairs,News & Politics,18100000,Philippines,10600,131.0,10.0,Info/Business,,Info/Business,1
corbuzierprediction,Deddy Corbuzier,,18100000,Indonesia,3000000,66300.0,6800.0,,,,0
Eva Bravo Play,Eva Bravo Play,,18100000,,323900,2600.0,,,,,0
★ Kids Roma Show,★ Kids Roma Show,Animation,18000000,,1100000,10200.0,,Entertainment,,Entertainment,1
shfa show India,shfa show India,Daily vlogs,18000000,,3300000,19000.0,,Lifestyle,,Lifestyle,1
Мирошка ТВ,Мирошка ТВ,,18000000,Russia,15400,67.0,,,,,0
sonotekvideo,Sonotek,Music & Dance,18000000,India,34100,1200.0,127.0,Music,,Music,1
greengoldtv,Green Gold TV - Official Channel,,18000000,,305500,2500.0,,,,,0
Kinder Spielzeug Kanal,Kinder Spielzeug Kanal,Animation,18000000,,168800,1000.0,,Entertainment,,Entertainment,1
GEN HALILINTAR,GEN HALILINTAR,Music & Dance,18000000,Indonesia,747500,39900.0,726.0,Music,,Music,1
INCRÍVEL,INCRÍVEL,Animation,17800000,Brazil,32500,1800.0,47.0,Entertainment,,Entertainment,1
turmadamonicaTV,Turma da Mônica,Animation,17800000,,180900,1800.0,,Entertainment,,Entertainment,1
DanielSaboya,Dan-Sa / Daniel Saboya,Music & Dance,17800000,Brazil,33900,1600.0,20.0,Music,,Music,1
BritainsGotTalent09,Britain's Got Talent,Music & Dance,17800000,,122900,939.0,,Music,,Music,1
kbsworld,KBS WORLD TV,,17800000,Philippines,6300,211.0,9.0,,,,0
