handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
thejoeyswoll,Joey Swoll,2400000,5300000,804500,8400,2500,,,,0
kallmekris,Kris HC,43300000,5400000,988000,5500,3100,,,,0
jdpantoja,JD Pantoja,26800000,4800000,942200,8700,1300,,,,0
datvilla94,🔥Đạt Villa🔥,5200000,5700000,659100,8100,3100,,,,0
haileybieber,Hailey Bieber,7700000,5700000,810500,6300,2700,,,,0
big.johns,Big Johns,140300,3100000,476500,18400,8700,,,,0
cleanpuppy,Chloe Cherry,1700000,4800000,980200,5700,2900,,,,0
arabstay,𝕊𝕥𝕣𝕒𝕪 𝕜𝕚𝕕𝕤,219000,2600000,770200,11700,8200,,,,0
aitch12,Aitch,1800000,5300000,421100,7600,9800,,,,0
doctorgraves,Dr.Graves,2700000,5000000,879700,2800,5900,,,,0
fredziownik_art,Franek Bielak,11800000,6300000,781900,6500,1200,,,,0
vibin.wit.tay,Tay,3300000,3300000,689400,4000,12600,,,,0
cedriklorenzen,Cedrik Lorenzen,2100000,4000000,457000,7900,12400,,,,0
vanessalopesr,Vanessa Lopes,21300000,5900000,637100,6400,2900,,,,0
rustam_mayer_djavid,RUSTAM MAYER,4300000,7800000,390800,1600,9700,,,,0
soojinicoreana,Chingu Amiga,17300000,6500000,1000000,3900,1400,,,,0
jinisprotips,💡 Jini 💡,713700,3700000,467600,6900,12900,,,,0
esen_alva,Esen,3100000,3300000,536300,3300,15500,,,,0
drew.nori,Drew Nori,4700000,8100000,387900,9700,733,,,,0
wuesilva,Wue Silva,11800000,4500000,584000,10600,1800,,,,0
thallyssonsb,Thallysson Borges,8500000,3600000,629000,6000,8200,,,,0
natemyburgh,Nate,306400,3400000,724900,3600,9000,,,,0
soso_aroundtheworld,Sosonebieridze,109800,3000000,420000,10800,13200,,,,0
newboyjosh,Newboyjosh,340500,4000000,445000,6400,10400,,,,0
initiaraandini,tiara andini,4100000,7400000,651600,4400,1800,,,,0
iamkevingates,Kevin Gates,2100000,3500000,413600,9400,11300,,,,0
max7424453118,Max Taylor,2800000,3500000,572600,5200,9500,,,,0
danya_milokhin,danya_milokhin,16500000,6300000,733200,4600,1700,,,,0
samanthalogan,Samantha Logan,1800000,6000000,840900,3000,2800,,,,0
jakekrantz1,Jake Krantz,2100000,3600000,772300,3200,7100,,,,0
fujiiian,Fuji,12700000,6200000,760400,3400,2600,,,,0
vincentmarcus,VincentMarcus,2500000,10700000,250400,2300,8200,,,,0
hongthanhofficial,HongThanhOfficial,1300000,7700000,675600,2700,2700,,,,0
kervo.dolo,Kervo.dolo,7500000,3900000,606400,4400,7100,,,,0
zachjustice,Zach Justice,3900000,6000000,793700,1000,4600,,,,0
qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2800000,3600000,348000,10200,10800,,,,0
fortnitekanal.exe,Fortnitekanal.exe,1400000,2200000,539400,14000,7800,,,,0
m.wardy_14,وردى,67600,1900000,465500,3800,24800,,,,0
ynchq,ЯN,3700000,3900000,645100,4100,5800,,,,0
nilered,NileRed,8700000,4000000,725800,5400,3200,,,,0
besttoks,besttoks,2200000,17400000,451600,1100,2100,,,,0
miketoks,Miketoks,11600000,6200000,599700,2500,4000,,,,0
tiktokmena,TikTok MENA,5700000,39500000,179200,1200,2200,,,,0
eyavanana,Eya,10800000,4600000,725300,5000,2100,,,,0
john.leitao,John Leitão,2700000,4300000,380900,7800,6400,,,,0
brunodiferente2022,Bruno Diferente,4000000,6600000,116700,6000,22400,,,,0
sugarcoatedsisters,Tabby and Chloe,320300,3200000,523800,2600,10500,,,,0
hesfinatia,PINAT🍅|| IG: @hesfinatia,8300000,8600000,936900,1800,837,,,,0
vadik_dikiy,vadik_dikiy,914800,3200000,489100,2000,11800,,,,0
championsleague,Champions League,11600000,3600000,628300,4200,5100,,,,0
esnyrrr,Esnyr Ranollo,4400000,3500000,645300,4500,4800,,,,0
savanahmosss,Savanah Moss,9300000,4500000,703000,4100,2500,,,,0
dindahw14,Dinda Hauw,3000000,7900000,689200,2000,1800,,,,0
joshiiwuhhh,Joshua Alden,3200000,2900000,555500,3700,8800,,,,0
j3ipy_,Jeipy,7800000,4300000,760700,3300,2800,,,,0
morganpresleyxo,Morgan Presley,5300000,4800000,638500,3100,3500,,,,0
skaijackson,Skai Jackson 🥰,19700000,5200000,824000,3100,1500,,,,0
ssmaaaryy,Razi Monroe,6800000,6400000,586300,2800,2400,,,,0
vhackerr,Vinnie,13900000,2900000,593700,7800,3600,,,,0
tranvantre992,Trần Tre Vlogs 🐉,759300,9100000,472900,3700,799,,,,0
jwaltonnn,ᴊ⚡️,733400,1700000,369400,28000,2500,,,,0
kubenjoy,KUBenjoy,3500000,4200000,476300,5000,4500,,,,0
jdiasss_,João Dias,7000000,3500000,817000,4500,2000,,,,0
evcnoble,Everett Noble,9800000,3400000,844500,3200,3400,,,,0
victormelo,Victor Melo,19400000,4600000,642200,3800,2400,,,,0
emilen_im,Эмильен,4000000,5300000,663100,4000,1200,,,,0
ehlija,Eh Lija,3300000,4000000,506000,4700,4300,,,,0
thoriqhal,thariqhalilintar,3800000,5800000,662000,2400,2200,,,,0
afgsuga,Afg Suga Official,161700,3300000,490300,4100,6800,,,,0
jen_wolff,jenny,187600,2900000,371600,5700,10500,,,,0
tubbynugget,Tubby Nugget,3500000,2600000,518200,2100,10800,,,,0
rescuerestore,Rescue & Restore,1500000,9200000,430000,1500,2900,,,,0
baddest4bitches,Edda,1500000,2500000,580200,8500,3400,,,,0
_itsstefano_,It'sStefano,4400000,4600000,553800,5800,856,,,,0
guryan_off,Гурьянов Максим,2600000,3300000,479500,3100,7700,,,,0
thebenjishow,benji,5500000,3400000,549600,3800,5200,,,,0
mikaelatesta,Mikaela Testa,1700000,4300000,960300,3300,749,,,,0
grillervm,GrillerVM,2900000,4300000,549300,2900,4000,,,,0
riaricis,Ria Ricis,25500000,5500000,665100,2200,2100,,,,0
lizzza,Liza Koshy,29400000,5200000,1200000,1900,616,,,,0
elmarianaa,ElMariana,6500000,3800000,834800,1600,3300,,,,0
somi_official_,JEON SOMI,6100000,3000000,746300,4600,2300,,,,0
craggygames,Craggy Games,306800,7000000,189300,726,10900,,,,0
gritside,gritside,3600000,3500000,446400,1500,8300,,,,0
charlieputh,Charlie Puth,16100000,3500000,509100,5800,2600,,,,0
spencer_serafica,Xspencer,12300000,4000000,663200,4100,1600,,,,0
mikaylahau,Mikaylah,4200000,3000000,386400,9900,3200,,,,0
kevinprieto077,kevinprieto077,1800000,3800000,589300,3400,3100,,,,0
christianfabiannn,Christian Fabián D.,12000000,4800000,733200,3700,398,,,,0
brotherofcolor,Heyimparis,12700000,5000000,609500,3600,1100,,,,0
gavrilinaa,Юлька Шпулька🕷🕸,16300000,3900000,522200,4000,3000,,,,0
phun.anh,Phùn Anh,2700000,6800000,374200,3800,1700,,,,0
tooturnttony,Tooturnttony,15600000,5400000,464600,2800,2800,,,,0
baimwong,Baim Wong,7500000,5100000,392400,3700,3300,,,,0
maxtaylorlifts,Max Taylor,7600000,3000000,529000,4400,4500,,,,0
kimberly11sofia,✨Kimberly11sofia✨,576600,1900000,208000,27000,7800,,,,0
lourdasprec,LOURD,8700000,2400000,592100,5300,4300,,,,0
katiavlogss,KATIAVLOGS🐒,13800000,4600000,638200,3500,1100,,,,0
itslennnie,lennnie,1900000,1900000,319200,2400,20000,,,,0
couragejd,Jack CouRage Dunlop,3100000,3400000,391500,2900,7100,,,,0
karimmahmoudabdelaziz,Karim Mahmoud Abdel Aziz,3400000,5300000,375600,2500,4100,,,,0
jbdjebb,Jean-Baptiste Djebbari,1100000,2900000,448600,6200,3800,,,,0
dailymug69,It’s a sad story...,4200000,4100000,544200,5600,251,,,,0
superfirsthero,СУПЕРПЕРВЫЙГЕРОЙ,1600000,2800000,526100,4400,4500,,,,0
cookingwithlynja,Lynja,9900000,5200000,649000,2500,1400,,,,0
gordonramsayofficial,Gordon Ramsay,31700000,5700000,557200,3200,835,,,,0
nabela,nabela,7200000,5400000,627100,2600,1200,,,,0
alexwaarren,Alex warren,15200000,4600000,769000,1300,2300,,,,0
ayesebastien,Sebastien,7200000,3100000,565300,2800,4600,,,,0
jamie32bsh,Jamie Big Sorrel Hor,7100000,5800000,313600,4700,2200,,,,0
maxthemeatguy,Max The Meat Guy,3800000,6200000,681900,1700,1200,,,,0
andy.and.michelle,Andy & Michelle,3700000,3100000,438100,2800,6100,,,,0
realmsp,RealMsP,349100,4900000,771900,2000,1100,,,,0
gameofthrones,Game of Thrones,647300,3000000,359500,1900,9000,,,,0
ameliadimz,ameliadimz,1300000,3700000,529800,4100,1800,,,,0
chris,Chris Olsen,7200000,6100000,712100,1600,1100,,,,0
isaach.p,Isaac H.P,1600000,2400000,230000,11000,9700,,,,0
billlnai,nai,8400000,3100000,797100,3200,1400,,,,0
samseats,Sam Way,8700000,3600000,618500,2800,2200,,,,0
soysuco_ff,Suco Ismael,3700000,3400000,430500,6600,981,,,,0
gaynadia,nadia,287900,2200000,583800,4400,4100,,,,0
thatlittlepuff,ThatLittlePuff,25000000,5100000,612900,1400,2100,,,,0
lachama4_ff,LA CHAMA ᴰ,8300000,2900000,477000,7300,693,,,,0
envydo,envy,198700,1800000,476100,9200,3300,,,,0
k1lauea,killazz,128200,1800000,451400,9100,3700,,,,0
noreportar08,noreportar08,265300,4000000,104900,11100,12900,,,,0
elrodcontreras,ROD🥴,40100000,3300000,521000,4800,1000,,,,0
k1lauea,killazz,128200,1800000,451400,9100,3700,,,,0
noreportar08,noreportar08,265300,4000000,104900,11100,12900,,,,0
elrodcontreras,ROD🥴,40100000,3300000,521000,4800,1000,,,,0
kpp2179393999,きゃりーぱみゅぱみゅの裏垢,834900,6500000,345500,1300,3200,,,,0
elgato,Rodrigo EL GATO,3200000,3300000,454000,4000,2700,,,,0
carolfermichh,CarolFerMichh,6200000,4300000,664800,2400,1100,,,,0
montpantoja,Montpantoja,32300000,3500000,652500,3200,1200,,,,0
mmmjoemele,Joe Mele,21000000,4300000,608400,2200,1500,,,,0
1xgoku,goku,74800,1900000,345600,2500,12200,,,,0
anthonnyswagg3,anthonnyswagg,8500000,8100000,469600,1700,797,,,,0
bjjojo_,j🐞j🦋fan,61600,2000000,354500,6200,7300,,,,0
uberkuloz,Berk Keklik,1000000,5200000,394700,2100,2500,,,,0
nilskue,Nils Kuesel,9500000,2600000,515400,5200,1800,,,,0
mcsilsiloficial,@mcsilsiloficial,5800000,2600000,201700,4700,13700,,,,0
labrinth,Labrinth,924900,4200000,416900,3400,1900,,,,0
oilywhitehat,🔌,197300,5500000,373500,3100,1400,,,,0
jacksepticeye,Jacksepticeye,4200000,2900000,512700,4300,1900,,,,0
marisol.viola,marisol viola,1100000,2600000,504800,4100,3100,,,,0
strangehumano,strangehumman NOVA,7800000,3200000,386300,4500,3000,,,,0
playboyjuju,🕷,259400,3300000,291200,5500,4200,,,,0
itsjessibaby,Jessi,5000000,3100000,738500,3200,835,,,,0
bbykevv_,Kevin Nguyen,1600000,3200000,633100,2100,2400,,,,0
nykolasteles,Nykolas Teles,3800000,2700000,368800,5800,3400,,,,0
morimura,MoriMura🍕,6400000,2200000,483000,4400,4100,,,,0
danisoomin,daniela kim,8400000,3400000,492700,4100,1200,,,,0
tenderlybaemusic,tenderlybae,14400000,3600000,409500,4600,1500,,,,0
ig_alongwiranda,🕌🏃,880700,3200000,129400,1200,20000,,,,0
crisdevilgamer7,CrisDevilGamer,4500000,3500000,388100,5200,1200,,,,0
meishmoe,meishmoe,3900000,2500000,534500,2400,4100,,,,0
maylathanzin,Maylathanzin,1900000,3500000,417600,1200,4700,,,,0
zuuzina,👽,1200000,2700000,342400,4200,5100,,,,0
jennifergarner,Jen Garner,2100000,3400000,315000,5600,2400,,,,0
seventeen17_official,SEVENTEEN,3900000,1500000,375900,11100,4100,,,,0
meosimmyyt,Mèo Simmy,3900000,2700000,367100,7100,1500,,,,0
mariabecerra_22,Maria Becerra,6100000,3200000,553900,3600,1200,,,,0
frostech,FROSTECH,321000,3400000,411000,1500,4600,,,,0
p0_2,مشاري بن عبدالعزيز  -,1700000,4900000,233700,6000,1500,,,,0
joelbergs,JoelBergs,11200000,3400000,636300,1700,2200,,,,0
euro2024,EURO2024,6800000,2500000,407300,2900,5400,,,,0
daz_black,daz_black,7000000,2300000,506400,4300,2900,,,,0
claragnds,Maria Clara Garcia,16000000,2800000,401500,5200,2100,,,,0
desartdestro,desartdestro,7800000,5400000,368300,2000,2100,,,,0
camilacabello,Camila Cabello,15300000,5200000,321800,2800,2000,,,,0
berkcoskunofficial,Berk Coşkun,3500000,5600000,194200,2900,4500,,,,0
ser.geybin,Ser Geybin,1700000,3800000,383500,2200,3300,,,,0
anthpo,Anthony Po,688300,1700000,414200,4700,6900,,,,0
erikarichardo,erika,7900000,4600000,578700,2500,472,,,,0
thegnshow,The Graham Norton Show,1200000,4900000,491000,807,2500,,,,0
cx_.q,مصطفى البصراوي 62,2100000,3900000,234700,3100,5400,,,,0
owen.han,MANGIAMOH,1500000,4800000,376200,1200,3100,,,,0
keniaos,KeniaOs,13700000,2200000,371200,7500,2000,,,,0
angryreactions,Oneya D’Amelio,25800000,2800000,406200,6200,680,,,,0
saraecheagaray,sara,7000000,3600000,700700,2000,1000,,,,0
ana_eusse,Ana Maria,10500000,4400000,665500,2100,560,,,,0
ani__mel,Melody 🌱,798600,1900000,359700,2700,8500,,,,0
julianjacob,Julian Jacob,1200000,3800000,496500,2400,1600,,,,0
averywit,Avery,1000000,5400000,724100,1600,293,,,,0
buithanhtuyen2003,𝐓𝐮𝐲𝐞̂̀𝐧 𝐗𝐮 𝐓𝐕 💦,1800000,1600000,228800,18500,1900,,,,0
emilythetrimmer,Emily Mohring,492600,5800000,267900,1700,3100,,,,0
fabru_blacutt,Fabru,17000000,5300000,544800,1900,642,,,,0
yoangelolo,Angelo Bahu,1200000,2400000,224300,12200,1500,,,,0
virginiafonseca,Virginia,30600000,4400000,566400,2300,679,,,,0
haritsuuu,ハリツ🌿極,1300000,4100000,158100,4900,6400,,,,0
thekapelariz,The Kapelari Family,1100000,2800000,464200,3500,2100,,,,0
camavinga,Eduardo Camavinga,1000000,3300000,522300,2500,1600,,,,0
feezius,feezius,2100000,4000000,525800,2800,654,,,,0
lights.are.off,LIGHTS ARE OFF,18700000,2900000,292700,6300,2100,,,,0
benjaminmaissecret,benjamin,174400,7000000,39200,24000,1700,,,,0
calebrownn,Cale Brown,5000000,2700000,459500,1500,4200,,,,0
realuser_1,Jrm,1600000,4100000,411500,2500,1700,,,,0
anas_elshayib,انس الشايب,3600000,4600000,194000,6100,1800,,,,0
caleb.finn,Ｓｔａｙ　ｈｙｄｒａｔｅｄ　緯俺な,15200000,3500000,691500,2500,428,,,,0
hi_arvans,arvanss,201400,1300000,320300,1200,15500,,,,0
theestallion,Megan Thee Stallion,10900000,1900000,499700,4400,2900,,,,0
rubentuestaok,Ruben Tuesta,12300000,4500000,418300,1100,2600,,,,0
kingbach,KingBach,26300000,3100000,582200,1800,2000,,,,0
rdcworld1,Mark Phillips,2800000,1800000,336000,2300,9100,,,,0
anna..paull,Anna Paul,3000000,2800000,655600,2900,838,,,,0
drewafualo,Drew Afualo,6800000,2200000,446500,5100,2100,,,,0
scottkress_,scottkress,2900000,1500000,402700,7400,4100,,,,0
dixiedamelio,dixie,57200000,4400000,275200,4600,1100,,,,0
nianaguerrero,Niana Guerrero,30500000,3200000,493000,2700,1700,,,,0
benoftheweek,ben de almeida,10600000,3500000,512800,3100,722,,,,0
maiaknight,Maia Knight,8100000,3500000,628800,2500,647,,,,0
theovon,Theo Von,1400000,2400000,230600,2700,9800,,,,0
abbieherbert,AbbieHerbert,12200000,4600000,619200,1600,772,,,,0
yazidoe,YaziDoe,958900,2000000,297400,2800,8400,,,,0
loewhaley,Laura,1400000,2500000,232000,1200,10600,,,,0
georgieanthony,georgie munoz,2200000,1800000,294300,3000,9500,,,,0
.blue_devil,Why Not ? ✧,941900,4800000,486400,1500,1300,,,,0
ya_gazdanova,Нина Газданова,3400000,3700000,184000,932,8800,,,,0
piperrockelle,Piperrockelle,9000000,2400000,275400,9300,517,,,,0
incorrectlyroce,Roce Ordoñez,5000000,3100000,499500,1900,2200,,,,0
wayeelkaboy10,Wayeelka boy10,852400,3700000,169600,5600,4300,,,,0
joaoferdnan,João Ferdnan,7400000,2000000,238500,4200,9100,,,,0
simpleputin,Просто Путин,6000000,3100000,157900,10600,2200,,,,0
chapaevva,чапаева,1900000,3800000,347700,2900,1700,,,,0
lyna_com,lyna_com2000,4400000,3400000,451300,3000,1100,,,,0
arigameplays,AriGameplays,19300000,2600000,444600,4500,915,,,,0
tommyinnit,Tommy,11500000,1500000,432100,7600,1900,,,,0
arigameplays,AriGameplays,19300000,2600000,444600,4500,915,,,,0
tommyinnit,Tommy,11500000,1500000,432100,7600,1900,,,,0
alexisomman,Alexis Omman,9200000,1600000,330000,5100,6500,,,,0
samadhiza_,samadhiza,7400000,3700000,418300,2100,1800,,,,0
joerauth_,Joe rauth,4900000,2900000,463000,1600,2900,,,,0
danielarodrice,Daniela Rodrice,9900000,4200000,735700,1500,391,,,,0
official_kep1er,Kep1er,3500000,1800000,395000,5500,2700,,,,0
sucss.s,Açucena Guirra,9700000,2600000,468100,3000,1900,,,,0
veydi_rush,veydi_rush,8000000,2900000,456800,2600,1800,,,,0
davidsiwonchoi,최시원 • Siwon Choi,1900000,1300000,314300,8600,5600,,,,0
livvy,Olivia Dunne,5100000,2700000,316000,4900,1800,,,,0
catherineealicia,catheez,1300000,2300000,306400,5900,2200,,,,0
bonjee,Bonjee,1800000,1800000,382900,2500,5900,,,,0
tuckercomedy,Tucker Reynolds,2000000,1600000,225200,2900,12700,,,,0
jennifer_aplicano,Jennifer Aplícano,1000000,2500000,248500,3700,5400,,,,0
qonitcah,Qonitcah | Health Education,1400000,3100000,277500,4400,2000,,,,0
carolcastromx,Carol Castro,9700000,3400000,564200,2400,508,,,,0
vorostwins,vorostwins,2600000,2700000,344100,3800,2100,,,,0
tiagodionisio,Tiago_Dionisio,5500000,2400000,227000,1100,8900,,,,0
magic_daniell,Magic Daniell,9000000,4500000,503400,2000,427,,,,0
3tl.team,3TL,1600000,4400000,380900,2700,493,,,,0
nessaabarrett,Nessa Barrett,17900000,2800000,338200,3800,2000,,,,0
saeemm2002,Samantha Ancheta,4100000,1800000,396900,4000,3600,,,,0
nate.dawg.com,Nate dawg,230200,2400000,434500,3300,1900,,,,0
larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,2600000,2900000,489400,2400,1300,,,,0
xshueur,ғᴇᴇʟɪɴɢ,256600,2400000,186000,0,11700,,,,0
cleanpuppy,Chloe Cherry,1700000,3600000,617400,1700,612,,,,0
tootymcnooty,TootyMcNooty,7300000,1500000,401100,2200,6400,,,,0
miakhalifa,Mia K.,32500000,3700000,340300,3500,644,,,,0
notraymodeli,Modeli,1900000,1800000,404300,2700,4300,,,,0
axelwebber,Axel,4200000,2400000,544700,3400,522,,,,0
baebyshaa,shalynne,324600,3000000,650300,1400,1200,,,,0
momonatamada,Momona Tamada,3700000,2700000,489400,3300,473,,,,0
nikkietutorials,nikkietutorials,5100000,4300000,536600,1200,987,,,,0
spicyycam_,Spicy Cam,18200000,3500000,428100,3000,295,,,,0
sa_ro01,sara💜,3400000,3300000,265900,4600,1100,,,,0
byniaromero,Nia Romero,10400000,4000000,531100,2000,291,,,,0
_vqsngi.03_,Ghét môn Toán =))),87700,2600000,367500,3300,1800,,,,0
oblomoffrecipe,oblomoffrecipe,5300000,3000000,271800,1200,4800,,,,0
yg_treasure_tiktok,yg_treasure_official,3500000,1700000,355300,4100,4200,,,,0
luq_music,LUQ_MUSIC,165700,2000000,237000,5900,4300,,,,0
bradtheboxer,Just brad,2000000,2500000,216700,3600,5300,,,,0
ftedooda,🛄,23500,1200000,219400,2800,16400,,,,0
kurtisconner,kurtis conner,1800000,2200000,465800,3100,1500,,,,0
maskrayy1,maskrayy1,4500000,7000000,280900,1200,1200,,,,0
babybella777,Bella Hadid,4400000,3000000,504500,2600,614,,,,0
trainee_a,Trainee A,2700000,1300000,384000,5300,4200,,,,0
texasbushman,Texas BUSHMAN,1200000,2400000,242600,1500,6700,,,,0
ugolord,⚖️ The TikTok Attorney ⚖️,5300000,2800000,281000,5600,497,,,,0
fedevigevani,Fede Vigevani,12600000,2700000,370400,4000,721,,,,0
nam_patcharaporn,Namfon,656500,2200000,374000,3000,2600,,,,0
endomarf,☻☆EndoMarfa☆☻,517200,1700000,516500,3400,2000,,,,0
dasigantung,Dasi Gantung,5100000,3500000,497800,1500,1200,,,,0
llucastorresg,Lucas Torres,831400,1500000,328500,4500,4900,,,,0
bungalow_jonathan,Bungalow Jonathan,251200,1500000,116600,994,25100,,,,0
.aidenbeaudry,.aidenbeaudry_official,483300,2000000,344800,3100,3500,,,,0
cbum,Chris Bumstead,2000000,2000000,389100,2600,3200,,,,0
rebeccazamolo,rebecca zamolo,16800000,2300000,233900,7900,701,,,,0
farrelhkeem,FA🧛,179100,1800000,292900,2100,6400,,,,0
cellat36,cellat36,8200000,2400000,212300,6400,2400,,,,0
clexxd,clexxd,8900000,2400000,227300,8100,118,,,,0
yodeege,Deege,905900,2300000,366900,1900,3500,,,,0
brentrivera,Brent Rivera,42800000,2600000,492800,3000,433,,,,0
herranwalt,Herr Anwalt,5300000,2200000,302700,3800,3000,,,,0
europaleague,Europa League,2100000,2800000,346800,2000,2500,,,,0
danivallem,Dani Valle,3900000,1600000,130500,1100,19900,,,,0
nourmar5,nourmar5,14300000,1300000,145900,13000,10100,,,,0
nada_m7amed,دودا🦹🏻🤍,5800000,3400000,281200,2300,2300,,,,0
ox_zung,원정맨 WonJeong,41100000,2800000,399400,3200,727,,,,0
thor.aya,Thoraya Maronesy,1500000,2700000,468300,2100,1300,,,,0
caocuongvu,caocuongvu,3400000,2900000,346000,3100,1300,,,,0
renpc_,✨Ren PC✨,3200000,1700000,318000,2400,5600,,,,0
