handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_1_unified,category_2_unified,category_primary,if_exist
carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,,24800000,Brazil,441900,810700,Lifestyle,,Lifestyle,1
carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,15000000,India,885800,1000000,Tech/Gaming,Tech/Gaming,Tech/Gaming,1
casemiro,Casemiro,Sports with a ball,,14000000,Spain,149800,224100,Sports,,Sports,1
caviarmagnat,by Tregubov,,,13300000,Russia,148600,214400,,,,0
cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,,9800000,Argentina,396200,508000,Music,,Music,1
cbum,Chris Bumstead,Fitness & Gym,,6600000,United States,248700,410600,Sports,,Sports,1
celestebarber,Celeste Barber,Humor & Fun & Happiness,,8900000,United States,364800,393200,Entertainment,,Entertainment,1
chaelincl,CL,Art/Artists,Fashion,9800000,Brazil,259000,342500,Lifestyle,Beauty/Fashion,Lifestyle,1
championsleague,UEFA Champions League,Sports with a ball,,91400000,Brazil,255300,344400,Sports,,Sports,1
channingtatum,Channing Tatum,Cinema & Actors/actresses,,17000000,United States,272100,393200,Entertainment,,Entertainment,1
charles_leclerc,Charles Leclerc,Racing Sports,,6600000,Italy,473900,629200,Sports,,Sports,1
charlidamelio,cd,Lifestyle,Shows,47700000,United States,1500000,1900000,Lifestyle,Entertainment,Lifestyle,1
charlieputh,Charlie Puth,Music,,15700000,United States,320500,456200,Music,,Music,1
chelseafc,Chelsea FC,Sports with a ball,,33200000,Indonesia,115700,172400,Sports,,Sports,1
chiaraferragni,Chiara Ferragni ✨,Beauty,,26700000,Italy,372000,616600,Beauty/Fashion,,Beauty/Fashion,1
chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,,20100000,United States,292900,392500,Entertainment,,Entertainment,1
choi_seung_hyun_tttop,T.O.P,,,13600000,Indonesia,337700,400700,,,,0
choquei,CHOQUEI - BBB22,Literature & Journalism,,17000000,Brazil,90100,279500,Info/Business,,Info/Business,1
chrisbrownofficial,BREEZY,Music,,106000000,United States,157100,241900,Music,,Music,1
chrisevans,Chris Evans,,,14800000,United States,2000000,2400000,,,,0
chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,,54000000,India,776600,998100,Entertainment,,Entertainment,1
chrissyteigen,chrissy teigen,Shows,Modeling,37400000,United States,158000,205500,Entertainment,Beauty/Fashion,Entertainment,1
ciara,Ciara,Music,Modeling,31300000,United States,199400,270600,Music,Beauty/Fashion,Music,1
claaragalle,Clara Galle🌀,,,3200000,Mexico,425200,771600,,,,0
claireholt,Claire Holt,Cinema & Actors/actresses,Lifestyle,7400000,United States,304100,415400,Entertainment,Lifestyle,Entertainment,1
claragnds,Maria Clara Garcia,,,6400000,Brazil,153400,386600,,,,0
clean_0828,김세정,Lifestyle,,5500000,Indonesia,1300000,1600000,Lifestyle,,Lifestyle,1
cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,,17800000,Brazil,360600,564800,Entertainment,,Entertainment,1
coldplay,Coldplay,Music,,15400000,Brazil,274000,381300,Music,,Music,1
cole.labrant,Cole LaBrant,Lifestyle,Fashion,5000000,United States,412600,580800,Lifestyle,Beauty/Fashion,Lifestyle,1
colesprouse,Cole Sprouse,Modeling,,36000000,United States,352700,459300,Beauty/Fashion,,Beauty/Fashion,1
colleen,Colleen Ballinger,Family,Fashion,7500000,United States,368300,463600,Lifestyle,Beauty/Fashion,Lifestyle,1
conangray,Conan Gray,Music,,5700000,Brazil,785400,1200000,Music,,Music,1
courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,,12100000,India,319900,421900,Entertainment,,Entertainment,1
cristiano,Cristiano Ronaldo,Sports with a ball,,419600000,India,5700000,7000000,Sports,,Sports,1
cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19200000,Colombia,247300,305100,Entertainment,Entertainment,Entertainment,1
cznburak,Burak Özdemir,Food & Cooking,,32900000,Turkey,615200,836000,Lifestyle,,Lifestyle,1
d_a___m_i,KIM DA MI,,,4300000,Indonesia,1100000,1400000,,,,0
d_degeaofficial,David De Gea,Sports with a ball,,12900000,United Kingdom,306800,434400,Sports,,Sports,1
daddyyankee,Daddy Yankee,Music,,44900000,Argentina,1300000,1800000,Music,,Music,1
dagelan,Dagelan,Humor & Fun & Happiness,,20600000,Indonesia,83400,140500,Entertainment,,Entertainment,1
danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,,32800000,India,1300000,2100000,Entertainment,,Entertainment,1
danialves,Daniel Alves,Sports with a ball,,35700000,Brazil,170600,264900,Sports,,Sports,1
daniel.k.here,Daniel Kang,Lifestyle,,4800000,Indonesia,458900,577400,Lifestyle,,Lifestyle,1
danielricciardo,Daniel Ricciardo,Racing Sports,,6600000,United States,361100,469200,Sports,,Sports,1
dannapaola,Danna Paola,Music,,33500000,Mexico,931600,1300000,Music,,Music,1
daquan,Daquan,Humor & Fun & Happiness,,16800000,United States,364200,561900,Entertainment,,Entertainment,1
darshanravaldz,Darshan Raval #Goriye,Music,,14800000,India,205900,249100,Music,,Music,1
dava_m,Дава Ⓜ️ Всё будет хорошо🧸,Business & Careers,,13700000,Russia,166000,215900,Info/Business,,Info/Business,1
davidalaba,David Alaba,Sports with a ball,,8500000,Spain,301400,426700,Sports,,Sports,1
davidbeckham,David Beckham,Family,Sports with a ball,71900000,India,500400,641100,Lifestyle,Sports,Lifestyle,1
davidluiz23,David Luiz,Sports with a ball,,21200000,Brazil,69800,152400,Sports,,Sports,1
davido,Davido,Music,,23300000,Nigeria,184900,259300,Music,,Music,1
davidwarner31,David Warner,Sports with a ball,,9100000,India,238200,279700,Sports,,Sports,1
davikah,davikah,Modeling,,15900000,Thailand,355300,460800,Beauty/Fashion,,Beauty/Fashion,1
dbook,Devin,,,5100000,United States,248800,489000,,,,0
ddlovato,Demi Lovato,Music,,128700000,United States,319800,418400,Music,,Music,1
dean.schneider,Dean Schneider,Animals,,10100000,India,271500,348200,Lifestyle,,Lifestyle,1
dearra,De'arra Taylor,Lifestyle,,6000000,United States,236900,589900,Lifestyle,,Lifestyle,1
debbyryan,Debby Ryan,Music,Cinema & Actors/actresses,16700000,United States,169400,246400,Music,Entertainment,Music,1
deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,,65500000,India,347200,450300,Entertainment,,Entertainment,1
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,10800000,Brazil,234300,431400,Info/Business,Sports,Info/Business,1
demetozdemir,Demet Özdemir,Cinema & Actors/actresses,,15000000,Turkey,335600,449000,Entertainment,,Entertainment,1
demirose,Demi 🌹,Modeling,Lifestyle,19200000,United States,395900,515000,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
dew_jsu,2000,,,4500000,Indonesia,798400,1100000,,,,0
dhanushkraja,Dhanush,Cinema & Actors/actresses,,4200000,India,685100,886300,Entertainment,,Entertainment,1
diddy,LOVE,Music,Cinema & Actors/actresses,18400000,United States,109400,164500,Music,Entertainment,Music,1
diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,,12900000,India,203300,244700,Entertainment,,Entertainment,1
dindahw,Dinda Hauw,Cinema & Actors/actresses,,13900000,Indonesia,288800,431500,Entertainment,,Entertainment,1
dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,49600000,India,909300,1100000,Entertainment,Lifestyle,Entertainment,1
divyankatripathidahiya,Divyanka Tripathi Dahiya,Shows,Cinema & Actors/actresses,18900000,India,146500,168200,Entertainment,Entertainment,Entertainment,1
dixiedamelio,dixie,Music,Clothing & Outfits,25100000,United States,293000,430300,Music,Beauty/Fashion,Music,1
djokernole,Novak Djokovic,Sports with a ball,,10400000,Serbia,195700,240900,Sports,,Sports,1
djsnake,djsnake,Music,,9100000,India,362200,429600,Music,,Music,1
djxiao_888,XIAOJUN,,,6600000,Indonesia,1100000,1300000,,,,0
dkharbour,David Harbour,Cinema & Actors/actresses,,6200000,United States,352200,461500,Entertainment,,Entertainment,1
dlwlrma,이지금 IU,Art/Artists,,25800000,South Korea,2900000,3500000,Lifestyle,,Lifestyle,1
dntlrdl,CHOIWOOSHIK,Lifestyle,,5900000,Indonesia,1500000,2000000,Lifestyle,,Lifestyle,1
do0_nct,Doyoung,,,9800000,Indonesia,1400000,1900000,,,,0
dojacat,Doja Cat,Music,,22400000,United States,2800000,3900000,Music,,Music,1
domelipa,domelipa,Lifestyle,,17200000,Mexico,1100000,1300000,Lifestyle,,Lifestyle,1
dominicfike,,,,3700000,United States,419900,799000,,,,0
donya,Donya,Fashion,,14700000,Iran,379800,596700,Beauty/Fashion,,Beauty/Fashion,1
dovecameron,DOVE,Cinema & Actors/actresses,,46400000,United States,618500,807200,Entertainment,,Entertainment,1
dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,,10200000,India,176800,239600,Entertainment,,Entertainment,1
dra.deolanebezerra,Deolane Bezerra,,,13200000,Brazil,352000,754100,,,,0
drewstarkey,Drew Starkey,,,3200000,United States,630200,1200000,,,,0
