handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
alishalehmann7,Alisha Lehmann,Sports with a ball,,7700000,Brazil,235600,444800.0,Sports,
alluarjunonline,Allu Arjun,Cinema & Actors/actresses,,18500000,India,1100000,1400000.0,Entertainment,
alok,Alok,Music,Art/Artists,27600000,Brazil,103900,132000.0,Music,Entertainment
alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,17200000,Italy,104700,162100.0,Sports,Info/Business
alvaromorte,Álvaro Morte,Cinema & Actors/actresses,,12200000,India,125200,172100.0,Entertainment,
alvxaro,ALVARO,Lifestyle,,9600000,Brazil,205700,515700.0,Lifestyle,
alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,7800000,India,833600,933700.0,Lifestyle,Entertainment
amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8200000,Mexico,440900,492500.0,Beauty/Fashion,Lifestyle
amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,,24000000,India,97400,157100.0,Entertainment,
amauryguichon,Amaury Guichon,Food & Cooking,,8900000,United States,416000,507800.0,Lifestyle,
amin.hayai,Amin Hayaiee,,,9000000,Iran,298100,392500.0,,
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30600000,India,202200,233700.0,Entertainment,
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30700000,India,173000,199300.0,Entertainment,
amybethmcnulty,Amybeth,Lifestyle,Cinema & Actors/actresses,7000000,Brazil,430500,591500.0,Lifestyle,Entertainment
ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,7000000,United States,613800,830200.0,Entertainment,Lifestyle
anahi,Anahi,Music,Modeling,9700000,Brazil,340100,596300.0,Music,Beauty/Fashion
ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,,22900000,India,355500,415700.0,Entertainment,
anas,Anas,Family,Shows,5700000,,577700,,Lifestyle,Entertainment
andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,8500000,Colombia,462100,656900.0,Lifestyle,Beauty/Fashion
andresiniesta8,Andres Iniesta,Sports with a ball,,39600000,Spain,63000,91700.0,Sports,
angela_aguilar_,Ángela Aguilar 🇲🇽,Lifestyle,,8700000,Mexico,320000,388100.0,Lifestyle,
angeldimariajm,Ángel Di María,Sports with a ball,,17500000,Argentina,178700,262900.0,Sports,
angelinajolie,Angelina Jolie,Lifestyle,,13200000,Brazil,213800,354200.0,Lifestyle,
angelinajolie,Angelina Jolie,,,13200000,Brazil,213800,354200.0,,
angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,14100000,Brazil,254200,318800.0,Entertainment,Entertainment
angelrai07,Angel Rai :),Humor & Fun & Happiness,,19900000,India,448100,539000.0,Entertainment,
anguscloud,Angus Cloud,,,8300000,United States,864800,1400000.0,,
anirudhofficial,Anirudh,Lifestyle,Music,5900000,India,351800,445500.0,Lifestyle,Music
anitta,Anitta 🎤,Music,,62700000,Brazil,185700,345500.0,Music,
anjimaxuofficially,Anjali Arora,Lifestyle,,11400000,India,422100,540000.0,Lifestyle,
annehathaway,Anne Hathaway,Cinema & Actors/actresses,,24300000,United States,685600,903800.0,Entertainment,
ansufati,Ansu Fati,Sports with a ball,,8600000,Spain,252300,382700.0,Sports,
antogriezmann,Antoine Griezmann,Sports with a ball,,36300000,Spain,85700,138100.0,Sports,
antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,19500000,Argentina,1000000,1700000.0,Beauty/Fashion,Lifestyle
anuel,“REAL HASTA LA MUERTE”,Music,,28700000,Spain,382000,587400.0,Music,
anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,,12200000,India,400000,456800.0,Entertainment,
anushkasen0408,Anushka Sen,Cinema & Actors/actresses,,37600000,India,388400,451800.0,Entertainment,
anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,,59100000,India,1100000,1300000.0,Entertainment,
anyageraldine,anya geraldine,Music,,10800000,Indonesia,120700,202200.0,Music,
anyageraldine,anya geraldine,Music,,10800000,Indonesia,120700,202200.0,Music,
anyataylorjoy,Anya Taylor-Joy,,,9100000,United States,711200,1000000.0,,
araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,Beauty,,15100000,Turkey,288000,372100.0,Beauty/Fashion,
arashi_5_official,ARASHI,Music,,4400000,Japan,535000,557800.0,Music,
arianagrande,Ariana Grande,Music,,318300000,United States,2000000,2800000.0,Music,
arigameplays,ARIGAMEPLAYS,,,10500000,Mexico,764400,918000.0,,
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,29100000,India,152200,184900.0,Entertainment,
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,29100000,India,152200,184900.0,Entertainment,
aron.piper,ARON🌜🌞,Music,Lifestyle,13900000,Brazil,312400,589600.0,Music,Lifestyle
arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,14000000,Brazil,103600,239600.0,Music,Entertainment
asabopp,Asa Butterfield,Cinema & Actors/actresses,,5800000,Brazil,602900,881700.0,Entertainment,
asalamaleh,Asala Maleh,Shows,,6900000,Iraq,326100,403800.0,Entertainment,
asaprocky,GRIM,Music,,15000000,United States,437500,730700.0,Music,
ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,,14500000,India,655600,802100.0,Entertainment,
aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,22800000,India,81300,99300.0,Entertainment,Lifestyle
ataliapr,atalia praratya,Lifestyle,,3900000,Indonesia,825500,1300000.0,Lifestyle,
ateez_official_,ATEEZ(에이티즈),Music,,6700000,United States,287400,329400.0,Music,
ateez_official_,ATEEZ(에이티즈),Music,,6700000,United States,287400,329400.0,Music,
auba,Pierre-Emerick Aubameyang,Sports with a ball,,12800000,United Kingdom,130300,207000.0,Sports,
aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,,26400000,Indonesia,236900,299200.0,Beauty/Fashion,
avani,avani,Beauty,Lifestyle,19000000,United States,176500,237600.0,Beauty/Fashion,Lifestyle
avengers,Avengers,Cinema & Actors/actresses,,13500000,India,180200,226200.0,Entertainment,
avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,,32100000,India,266900,325000.0,Entertainment,
avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,11200000,Brazil,163200,203500.0,Music,Entertainment
awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,21100000,India,715100,857600.0,Entertainment,Entertainment
badbunnypr,,Music,,40600000,United States,3500000,5500000.0,Music,
bambam1a,BamBam,Music,,16500000,Brazil,928700,1200000.0,Music,
barackobama,Barack Obama,Finance & Economics,Business & Careers,35400000,United States,84900,100400.0,Info/Business,Info/Business
barbieferreira,barbie ferreira,,,6300000,United States,597200,1100000.0,,
bbrightvc,bright,Cinema & Actors/actresses,,15400000,Indonesia,1300000,1600000.0,Entertainment,
beautifuldestinations,BEAUTIFUL DESTINATIONS,Photography,Travel,24600000,United States,105000,141000.0,Lifestyle,Lifestyle
beberexha,Bebe Rexha,Music,Lifestyle,10800000,India,188300,278500.0,Music,Lifestyle
beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,52800000,India,390500,501300.0,Entertainment,Entertainment
belindapop,Beli,Music,,15400000,Mexico,405000,581000.0,Music,
belindapop,Beli,Music,,15400000,Mexico,270500,388300.0,Music,
bellahadid,Bella 🦋,Modeling,,53100000,United States,425200,682500.0,Beauty/Fashion,
bellapoarch,Bella Poarch,,,14200000,United States,772000,1000000.0,,
bellathorne,BELLA,Music,Art/Artists,25400000,United States,189900,317300.0,Music,Entertainment
bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,17200000,Philippines,206000,248700.0,Beauty/Fashion,Entertainment
beyonce,Beyoncé,Music,Fashion,265000000,United States,922600,1300000.0,Music,Beauty/Fashion
bhadbhabie,Bhabie,Music,,16400000,United States,122000,228600.0,Music,
bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,,14600000,India,544100,673700.0,Entertainment,
bianca,BIANCA ROSA,Beauty,,18000000,Brazil,72600,170900.0,Beauty/Fashion,
bibisbeautypalace,! Bibi,Family,Lifestyle,8300000,Germany,357600,411200.0,Lifestyle,Lifestyle
bighit_ent,BigHit Music Updates,Music,,13000000,Indonesia,584300,720000.0,Music,
billieeilish,BILLIE EILISH,Music,,104100000,United States,2600000,3400000.0,Music,
bizarrap,BZRP,Music,,13200000,Argentina,1000000,1200000.0,Music,
blackpinkofficial,BLΛƆKPIИK,Music,,47400000,Indonesia,1200000,1500000.0,Music,
bleacherreport,Bleacher Report,Sports with a ball,,19200000,United States,86800,171700.0,Sports,
blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13500000,Philippines,149900,170600.0,Entertainment,Beauty/Fashion
bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,22100000,Indonesia,2100000,2500000.0,Entertainment,Beauty/Fashion
borodylia,Ксения Бородина,Shows,Family,18400000,Russia,116700,143400.0,Entertainment,Lifestyle
brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22300000,United States,732600,950300.0,Music,Entertainment
bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18400000,United States,368800,620300.0,Entertainment,Beauty/Fashion
brfootball,Bleacher Report Football,Sports with a ball,,12400000,United States,116000,187900.0,Sports,
briandadeyanara,BRIANDA 💖,,,12900000,Mexico,222700,261200.0,,
britneyspears,Britney Spears,Music,,41600000,United States,494600,685600.0,Music,
bronny,,,,6300000,United States,718400,1300000.0,,
brooklynpeltzbeckham,,Modeling,Lifestyle,14200000,United States,106900,164500.0,Beauty/Fashion,Lifestyle
brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,,43000000,Brazil,102500,176200.0,Entertainment,
brunogagliasso,Bruno Gagliasso,Cinema & Actors/actresses,Photography,21400000,Brazil,139000,202500.0,Entertainment,Lifestyle
brunomars,Bruno Mars,Music,,25700000,Brazil,547500,829500.0,Music,
brycehall,Bryce Hall,Music,,7300000,United States,304200,390500.0,Music,
bts.bighitofficial,BTS official,Music,,65400000,Indonesia,3700000,4100000.0,Music,
bugatti,BUGATTI,Cars & Motorbikes,Luxury,16500000,United States,118400,159900.0,Lifestyle,Beauty/Fashion
bumkeyk,SHINee KEY,Music,,9200000,Indonesia,324000,388700.0,Music,
burakozcivit,Burak Özçivit,Cinema & Actors/actresses,,21400000,Turkey,232200,282800.0,Entertainment,
burcuozberk,Burcu Özberk,Cinema & Actors/actresses,,9200000,Turkey,295800,382900.0,Entertainment,
c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,19000000,United States,147800,228000.0,Entertainment,Lifestyle
caiocastro,Caio Castro,Cars & Motorbikes,Racing Sports,20600000,Brazil,74900,132600.0,Lifestyle,Sports
camila_cabello,camila,Music,,64100000,Brazil,434700,588800.0,Music,
camilaloures,Camila Loures,Shows,,18200000,Brazil,91900,136500.0,Entertainment,
camilo,C A M I L O,Music,,27400000,Argentina,197700,314700.0,Music,
candiceking,Candice King,Family,Lifestyle,9900000,Brazil,267800,373400.0,Lifestyle,Lifestyle
canelo,Saul Alvarez,Fitness & Gym,,13400000,Mexico,133700,185700.0,Sports,
canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9700000,Italy,197400,245800.0,Entertainment,Beauty/Fashion
caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43000000,United States,120000,166300.0,Beauty/Fashion,Entertainment
carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,,25800000,Brazil,449600,822300.0,Lifestyle,
carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,Computers & Gadgets,Machinery & Technologies,15800000,India,719700,847600.0,Tech/Gaming,Tech/Gaming
casemiro,Casemiro,Sports with a ball,,15700000,Spain,195300,291800.0,Sports,
catherinemcbroom,Catherine Paiz,Family,,7400000,United States,581800,999200.0,Lifestyle,
caviarmagnat,by Tregubov,,,15200000,Russia,216200,313200.0,,
cazzu,♡ 𝖓𝖊𝖓𝖆 ᴛʀᴀᴍᴘᴀ,Music,,10300000,Argentina,215000,275900.0,Music,
cbum,Chris Bumstead,Fitness & Gym,,8500000,United States,504200,833200.0,Sports,
centralcee,📲,,,3600000,United Kingdom,378300,926300.0,,
chaelincl,CL,Art/Artists,Fashion,10200000,Brazil,211600,279800.0,Entertainment,Beauty/Fashion
champagnepapi,champagnepapi,Music,,114800000,United States,763600,1200000.0,Music,
charles_leclerc,Charles Leclerc,Racing Sports,,7800000,Italy,346900,461300.0,Sports,
charlidamelio,charli,Lifestyle,Shows,48800000,United States,638800,739200.0,Lifestyle,Entertainment
charlieputh,Charlie Puth,Music,,16200000,United States,331400,472000.0,Music,
chelseafc,Chelsea FC,Sports with a ball,,34700000,Indonesia,88300,133100.0,Sports,
chiaraferragni,Chiara Ferragni ✨,Beauty,,27400000,Italy,168600,280600.0,Beauty/Fashion,
chieffkeeffsossa,Chief Keef,Music,,7700000,United States,168600,311400.0,Music,
chinguamiga,sujin kim,Humor & Fun & Happiness,Shows,6000000,Mexico,336100,390400.0,Entertainment,Entertainment
chloegmoretz,Chloë Grace Moretz,Cinema & Actors/actresses,,20900000,United States,171100,229900.0,Entertainment,
choi_seung_hyun_tttop,TOP,,,14200000,Indonesia,352300,418600.0,,
chrisbrownofficial,BREEZY,Music,,113500000,United States,153500,237700.0,Music,
chrisevans,Chris Evans,,,16700000,United States,1700000,2100000.0,,
chrishemsworth,Chris Hemsworth,Cinema & Actors/actresses,,55000000,India,837200,1100000.0,Entertainment,
chrismcg,Christopher McGinnis,,,10500000,United States,164500,362100.0,,
chrissyteigen,chrissy teigen,Shows,Modeling,38300000,United States,56000,72000.0,Entertainment,Beauty/Fashion
christian_fig,Christian Figueiredo,Cinema & Actors/actresses,Lifestyle,10600000,Brazil,127900,199200.0,Entertainment,Lifestyle
ciara,Ciara,Music,Modeling,32100000,United States,97700,132500.0,Music,Beauty/Fashion
clean_0828,김세정,Lifestyle,,7900000,Indonesia,1600000,2000000.0,Lifestyle,
cocielo,Júlio Cocielo Estaniecki,Cinema & Actors/actresses,,18600000,Brazil,169000,265600.0,Entertainment,
coldplay,Coldplay,Music,,16500000,Brazil,127300,176200.0,Music,
cole.labrant,Cole LaBrant,Lifestyle,Fashion,5000000,United States,348600,490700.0,Lifestyle,Beauty/Fashion
colesprouse,Cole Sprouse,Modeling,,36000000,United States,653600,854900.0,Beauty/Fashion,
conangray,Conan Gray,Music,,6300000,Brazil,607500,907800.0,Music,
coolio_daryl,Coolio,,,5900000,,581300,,,
corinnakopf,corinna kopf,Beauty,,6600000,United States,492400,753900.0,Beauty/Fashion,
courteneycoxofficial,Courteney Cox,Cinema & Actors/actresses,,12200000,India,198500,262400.0,Entertainment,
cristiano,Cristiano Ronaldo,Sports with a ball,,459200000,India,5100000,6200000.0,Sports,
cvillaloboss,CARMEN VILLALOBOS,Shows,Cinema & Actors/actresses,19900000,Colombia,102000,125800.0,Entertainment,Entertainment
cznburak,Burak Özdemir,Food & Cooking,,36000000,Turkey,531800,722100.0,Lifestyle,
cznburak,Burak Özdemir,Food & Cooking,,36100000,Turkey,504000,683600.0,Lifestyle,
d_degeaofficial,David De Gea,Sports with a ball,,13400000,United Kingdom,167700,237200.0,Sports,
dababy,BILLION DOLLAR BABY 👶🏾,Music,,21100000,United States,165100,267700.0,Music,
daddyyankee,Daddy Yankee,Music,,45800000,Argentina,210900,294300.0,Music,
dagelan,Dagelan,Humor & Fun & Happiness,,20800000,Indonesia,65800,111800.0,Entertainment,
danbilzerian,Dan Bilzerian,Cinema & Actors/actresses,,32900000,India,1300000,2200000.0,Entertainment,
danialves,Daniel Alves,Sports with a ball,,36600000,Brazil,66200,102100.0,Sports,
dannapaola,Danna Paola,Music,,34200000,Mexico,571300,829800.0,Music,
daquan,Daquan,Humor & Fun & Happiness,,16800000,United States,293200,451700.0,Entertainment,
darianrojasc,DARIAN R. C R A W S T O N ✗,Lifestyle,,7900000,Mexico,748400,827500.0,Lifestyle,
darshanravaldz,Darshan Raval #Goriye,Music,,15400000,India,416200,502500.0,Music,
dava_m,Дава Ⓜ️ Всё будет хорошо🧸,Business & Careers,,13600000,Russia,164600,213600.0,Info/Business,
davidalaba,David Alaba,Sports with a ball,,10000000,Spain,332000,470500.0,Sports,
davidbeckham,David Beckham,Family,Sports with a ball,74300000,India,272900,346400.0,Lifestyle,Sports
davidluiz23,David Luiz,Sports with a ball,,21800000,Brazil,45800,101500.0,Sports,
davidluiz23,David Luiz,Sports with a ball,,21800000,Brazil,45800,101500.0,Sports,
davidmichigan,David Michigan ⚡️,Art/Artists,Photography,16700000,United States,96500,125400.0,Entertainment,Lifestyle
davido,Davido,Music,,24400000,Nigeria,129800,181100.0,Music,
dbook,Devin,,,5300000,United States,381600,749600.0,,
ddlovato,Demi Lovato,Music,,135200000,United States,230900,302500.0,Music,
dean.schneider,Dean Schneider,Animals,,10100000,India,236600,303200.0,Lifestyle,
dear.zia,𝑓𝑟𝑒𝑒𝑧𝑖𝑎 .🌼,Lifestyle,,3600000,South Korea,1300000,1400000.0,Lifestyle,
dearra,De'arra Taylor,Lifestyle,,6200000,United States,182400,454900.0,Lifestyle,
dedesecco,Deborah Secco,Cinema & Actors/actresses,,24000000,Brazil,73100,95600.0,Entertainment,
deepikapadukone,Deepika Padukone,Cinema & Actors/actresses,,67600000,India,462000,602800.0,Entertainment,
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,11500000,Brazil,222400,409200.0,Info/Business,Sports
deiveleonardo,Deive Leonardo,Literature & Journalism,Trainers & Coaches,11500000,Brazil,222400,409200.0,Info/Business,Sports
dejesusoficial,Gabriel Jesus,Sports with a ball,,17300000,Brazil,97400,150700.0,Sports,
demetozdemir,Demet Özdemir,Cinema & Actors/actresses,,15200000,India,318700,406500.0,Entertainment,
demirose,Demi 🌹,Modeling,Lifestyle,19900000,United States,263500,343900.0,Beauty/Fashion,Lifestyle
dew_jsu,2000,Cinema & Actors/actresses,,6000000,Indonesia,543800,731700.0,Entertainment,
dhanushkraja,Dhanush,Cinema & Actors/actresses,,4300000,India,484900,628300.0,Entertainment,
dilettaleotta,🌸Diletta Leotta🌸,Shows,,8300000,Italy,188900,282100.0,Entertainment,
diljitdosanjh,DILJIT DOSANJH,Cinema & Actors/actresses,,13500000,India,148500,179400.0,Entertainment,
dindahw,Dinda Hauw,Cinema & Actors/actresses,,14400000,Indonesia,150400,224800.0,Entertainment,
dishapatani,disha patani (paatni) 🦋,Cinema & Actors/actresses,Lifestyle,51800000,India,688100,845400.0,Entertainment,Lifestyle
dixiedamelio,dixie,Music,Clothing & Outfits,25100000,United States,217500,318000.0,Music,Beauty/Fashion
djokernole,Novak Djokovic,Sports with a ball,,10900000,Serbia,172200,211900.0,Sports,
djsnake,djsnake,Music,,9500000,India,383000,455400.0,Music,
djxiao_888,XIAOJUN,,,6800000,Indonesia,980100,1200000.0,,
dkharbour,David Harbour,Cinema & Actors/actresses,,7700000,United States,238400,312700.0,Entertainment,
dlwlrma,이지금 IU,Art/Artists,,26900000,South Korea,2500000,3000000.0,Entertainment,
dntlrdl,CHOIWOOSHIK,Lifestyle,,6400000,Indonesia,787700,1000000.0,Lifestyle,
do0_nct,Doyoung,Lifestyle,,10300000,Indonesia,1400000,1800000.0,Lifestyle,
dojacat,Doja Cat,Music,,24300000,United States,2400000,3300000.0,Music,
domelipa,domelipa,Lifestyle,,18700000,Mexico,882400,1100000.0,Lifestyle,
donatella_versace,Donatella Versace,Fashion,,8900000,United States,159100,275400.0,Beauty/Fashion,
donya,Donya,Fashion,,15100000,Iran,192300,301600.0,Beauty/Fashion,
dovecameron,DOVE,Cinema & Actors/actresses,,47900000,United States,1100000,1400000.0,Entertainment,
dqsalmaan,Dulquer Salmaan,Cinema & Actors/actresses,,10600000,India,363400,492600.0,Entertainment,
dra.deolanebezerra,Deolane Bezerra,Lifestyle,,14300000,Brazil,282800,605700.0,Lifestyle,
dualipa,DUA LIPA,Music,,84700000,Mexico,1200000,1500000.0,Music,
dudewithsign,Seth,,,8100000,United States,219200,345300.0,,
duki,Ya Supiste,Music,,9900000,Argentina,429100,660200.0,Music,
dylanminnette,Dylan Minnette,Music,Cinema & Actors/actresses,7400000,United States,283200,460300.0,Music,Entertainment
dylansprouse,Dylan Sprouse,Cinema & Actors/actresses,,9200000,United States,356900,560000.0,Entertainment,
earthpix,🌎  EarthPix  🌎,Nature & landscapes,Photography,23300000,United States,175200,214000.0,Lifestyle,Lifestyle
easportsfifa,EA SPORTS FIFA,Sports with a ball,,26600000,Spain,81100,136100.0,Sports,
easymoneysniper,,Lifestyle,Sports with a ball,13000000,United States,324300,608600.0,Lifestyle,Sports
eda.ece,Eda Ece,Lifestyle,Cinema & Actors/actresses,6500000,Turkey,290100,356800.0,Lifestyle,Entertainment
eduincaz,Eduin Caz,Lifestyle,,7100000,Mexico,234200,299600.0,Lifestyle,
egorkreed,Егор Крид | #HeartBreakKid,Music,,14700000,Russia,241900,297400.0,Music,
egupta,Esha Gupta,Lifestyle,Modeling,8600000,India,347400,435100.0,Lifestyle,Beauty/Fashion
eilirjani,Elton ILIRJANI,Lifestyle,,10300000,Albania,153900,222700.0,Lifestyle,
elcinsangu,Elçin Sangu,Cinema & Actors/actresses,Lifestyle,8500000,Turkey,216900,260600.0,Entertainment,Lifestyle
elmarianaa,El Mariana,Humor & Fun & Happiness,,3600000,Mexico,568600,831300.0,Entertainment,
elrodrigocontreras,ROD🥴,Lifestyle,,12900000,Mexico,683700,754200.0,Lifestyle,
elrubiuswtf,el rubius WTF,Computers & Gadgets,,16700000,Mexico,1200000,1400000.0,Tech/Gaming,
emiliamernes,Emilia Mernes,Music,,5800000,Argentina,325200,612300.0,Music,
eminem,Marshall Mathers,Cinema & Actors/actresses,Music,36100000,Iran,442800,571600.0,Entertainment,Music
emmachamberlain,emma chamberlain,Lifestyle,Shows,15700000,United States,934700,1400000.0,Lifestyle,Entertainment
emmaroberts,Emma Roberts,Cinema & Actors/actresses,,18100000,United States,126300,185800.0,Entertainment,
emrata,Emily Ratajkowski,Modeling,,29400000,United States,431700,688800.0,Beauty/Fashion,
enhypen,ENHYPEN,Music,,10400000,Indonesia,757800,1100000.0,Music,
erling.haaland,Erling Braut Haaland,,,16800000,Brazil,797200,1200000.0,,
esbilgic,Esra Bilgic,Lifestyle,Modeling,6900000,India,309100,393700.0,Lifestyle,Beauty/Fashion
espn,ESPN,Sports with a ball,,23100000,United States,74000,134700.0,Sports,
ester_exposito,Ester 🌙,Cinema & Actors/actresses,,29300000,Russia,2300000,3400000.0,Entertainment,
eunwo.o_c,차은우,Music,Lifestyle,28900000,Indonesia,3700000,4600000.0,Music,Lifestyle
euphoria,euphoria,,,7900000,United States,564200,910600.0,,
evaluna,Evaluna Montaner de Echeverry,Family,Music,20700000,Argentina,846800,1200000.0,Lifestyle,Music
