rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,unified_cat_1,unified_cat_2
64,ester_exposito,Ester 🌙,29200000,Mexico,1700000,2500000,Cinema & Actors/actresses,,Entertainment,
65,johnnydepp,Johnny Depp,27600000,India,1900000,2500000,Cinema & Actors/actresses,,Entertainment,
66,chrishemsworth,Chris Hemsworth,56000000,India,929300,1200000,Cinema & Actors/actresses,,Entertainment,
67,robertdowneyjr,Robert Downey Jr. Official,53400000,India,987500,1200000,Cinema & Actors/actresses,,Entertainment,
68,jongsuk0206,이종석,23500000,Indonesia,2100000,2800000,Cinema & Actors/actresses,,Entertainment,
69,karimbenzema,Karim Benzema,57100000,France,798600,1100000,Sports with a ball,,Sports,
70,fcbarcelona,FC Barcelona,111900000,Indonesia,383800,585400,Sports with a ball,,Sports,
71,charlidamelio,charli,49100000,United States,1100000,1300000,Lifestyle,Shows,Lifestyle,Entertainment
72,camila_cabello,camila,65100000,Brazil,704300,956700,,,,
73,bn_sj2013,박서준,22700000,Indonesia,2200000,2600000,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
74,lelepons,Lele Pons,49400000,Mexico,759900,1200000,,,,
75,realmadrid,Real Madrid C.F.,124600000,Spain,324400,450700,Sports with a ball,,Sports,
76,blackpinkofficial,BLΛƆKPIИK,49000000,Indonesia,907000,1100000,,,,
77,ddlovato,Demi Lovato,139200000,United States,302700,392000,,,,
78,gal_gadot,Gal Gadot,86400000,United States,485500,627300,Cinema & Actors/actresses,,Entertainment,
79,dishapatani,disha patani (paatni) 🦋,53600000,India,802500,988000,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
80,niallhoran,Niall Horan,30500000,United States,1200000,1700000,,,,
81,rashmika_mandanna,Rashmika Mandanna,33100000,India,1300000,1600000,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
82,dojacat,Doja Cat,24200000,United States,1500000,2000000,,,,
83,dovecameron,DOVE,48300000,United States,767900,1000000,Cinema & Actors/actresses,,Entertainment,
84,realstraykids,Stray Kids,22700000,Indonesia,1700000,2100000,,,,
85,beingsalmankhan,Salman Khan,53900000,India,690300,883400,Cinema & Actors/actresses,,Entertainment,
86,ursulolita,Úrsula Corberó ✨,23700000,Brazil,1400000,2000000,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
87,paulodybala,Paulo Dybala,48600000,Argentina,583500,934000,Sports with a ball,,Sports,
88,songkang_b,송강,14700000,Mexico,2200000,3000000,,,,
89,virginia,Virginia Fonseca Costa,39200000,Brazil,708400,1100000,Shows,Lifestyle,Entertainment,Lifestyle
90,hardikpandya93,Hardik Himanshu Pandya,23000000,India,1500000,1900000,Sports with a ball,,Sports,
91,jacksonwang852g7,Jackson Wang,30000000,China,1200000,1400000,,,,
92,zacefron,Zac Efron,54800000,United States,534400,774700,Cinema & Actors/actresses,,Entertainment,
93,jacquelinef143,Jacqueline Fernandez,63000000,India,551400,672100,Cinema & Actors/actresses,,Entertainment,
94,yawnzzn,YEONJUN,10700000,India,3000000,3900000,,,,
95,oohsehun,SEHUN,23200000,Indonesia,1500000,1800000,,,,
96,bellahadid,Bella 🦋,54600000,United States,474500,758900,Modeling,,Beauty/Fashion,
97,kimberly.loaiza,KIM LOAIZA 🖤,35800000,Mexico,959200,1200000,Clothing & Outfits,Lifestyle,Beauty/Fashion,Lifestyle
98,iamzlatanibrahimovic,Zlatan Ibrahimović,55400000,Italy,481000,740700,Sports with a ball,,Sports,
99,chrisevans,Chris Evans,17700000,United States,1900000,2300000,Cinema & Actors/actresses,,Entertainment,
100,maluma,MALUMA,62900000,Italy,413300,636900,,,,
101,aliaabhatt,Alia Bhatt 🤍☀️,69700000,India,452500,560000,Cinema & Actors/actresses,,Entertainment,
102,tchalamet,Timothée Chalamet,17800000,United States,1300000,2200000,Cinema & Actors/actresses,,Entertainment,
103,championsleague,UEFA Champions League,97600000,Brazil,285700,389300,Sports with a ball,,Sports,
104,vindiesel,Vin Diesel,82700000,Brazil,353200,457400,Cinema & Actors/actresses,,Entertainment,
105,anitta,Anitta 🎤,63200000,Brazil,316200,590400,,,,
106,kiaraaliaadvani,KIARA,25000000,India,1200000,1400000,Cinema & Actors/actresses,,Entertainment,
107,shahidkapoor,Shahid Kapoor,35700000,India,858000,971600,Cinema & Actors/actresses,,Entertainment,
108,davidbeckham,David Beckham,75100000,India,360500,462300,Family,Sports with a ball,Lifestyle,Sports
109,finnwolfhardofficial,Finn Wolfhard,26300000,Brazil,1000000,1300000,Cinema & Actors/actresses,,Entertainment,
110,mosalah,Mohamed Salah,52700000,Egypt,458800,650000,Sports with a ball,,Sports,
111,priyankachopra,Priyanka,81800000,India,343400,417300,Cinema & Actors/actresses,,Entertainment,
112,antonelaroccuzzo,Antonela Roccuzzo,20200000,Argentina,1000000,1700000,Modeling,Family,Beauty/Fashion,Lifestyle
113,tyga,T-Raww,36500000,United States,628400,939200,,,,
114,hoooooyeony,Hoyeon,22900000,South Korea,1100000,1500000,Lifestyle,,Lifestyle,
115,lucas_xx444,LUCAS,11500000,Indonesia,2400000,3000000,,,,
116,mrbeast,MrBeast,19900000,United States,1200000,1700000,Shows,Humor & Fun & Happiness,Entertainment,Entertainment
117,jenniferaniston,Jennifer Aniston,40700000,Brazil,554900,805300,Cinema & Actors/actresses,,Entertainment,
118,iamsrk,Shah Rukh Khan,30400000,India,863300,1100000,Cinema & Actors/actresses,,Entertainment,
119,kritisanon,Kriti,50600000,India,547600,638300,Modeling,,Beauty/Fashion,
120,chrisbrownofficial,BREEZY,119100000,United States,172000,268200,,,,
121,_rl9,Robert Lewandowski,29400000,Poland,844400,1100000,Sports with a ball,,Sports,
122,deepikapadukone,Deepika Padukone,68800000,India,342000,446200,Cinema & Actors/actresses,,Entertainment,
123,pewdiepie,PewDiePie,21800000,United States,1200000,1400000,Computers & Gadgets,,Tech/Gaming,
124,madelame,Madelaine Petsch,25200000,Russia,861200,1200000,Cinema & Actors/actresses,,Entertainment,
125,ronaldinho,Ronaldo de Assis Moreira,67800000,Brazil,256200,445600,Sports with a ball,,Sports,
126,alluarjunonline,Allu Arjun,19100000,India,1300000,1600000,Cinema & Actors/actresses,,Entertainment,
127,rosalia.vt,LA ROSALÍA,21900000,Spain,1000000,1400000,,,,
128,emrata,Emily Ratajkowski,29600000,United States,629900,1000000,Modeling,,Beauty/Fashion,
129,addisonraee,Addison Rae,40000000,United States,481000,742200,Beauty,,Beauty/Fashion,
130,433,433,51600000,Spain,339400,563900,Sports with a ball,,Sports,
131,katyperry,KATY PERRY,171200000,Brazil,130500,168300,,,,
132,_jeongjaehyun,Jaehyun,12400000,Indonesia,1900000,2300000,,,,
133,madisonbeer,Madison Beer,32400000,United States,588900,879500,,,,
134,marcelotwelve,Marcelo Vieira,58500000,Spain,325700,484200,Sports with a ball,,Sports,
135,phs1116,박형식 / PARKHYUNGSIK,10500000,Indonesia,2200000,2700000,Business & Careers,,Info/Business,
136,sergioramos,Sergio Ramos,53100000,Spain,344100,527400,Sports with a ball,,Sports,
137,casemiro,Casemiro,17400000,Brazil,1100000,1600000,Sports with a ball,,Sports,
138,emmachamberlain,emma chamberlain,16100000,United States,1100000,1700000,Lifestyle,Shows,Lifestyle,Entertainment
139,luvadepedreiro,Iran Ferreira,18400000,Brazil,894200,1500000,Family,Sports with a ball,Lifestyle,Sports
140,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,24100000,India,807500,1100000,Shows,Lifestyle,Entertainment,Lifestyle
141,nike,Nike,235700000,United States,89700,116200,Fitness & Gym,Shopping & Retail,Sports,Beauty/Fashion
142,luisitocomunica,Luisillo El Pillo,32400000,Mexico,627100,828500,Humor & Fun & Happiness,Clothing & Outfits,Entertainment,Beauty/Fashion
143,miakhalifa,Mia K.,27700000,India,605500,968500,Fitness & Gym,Lifestyle,Sports,Lifestyle
144,theweeknd,The Weeknd,42900000,United States,456600,618700,,,,
145,ladygaga,Lady Gaga,53300000,United States,351000,492300,Cinema & Actors/actresses,,Entertainment,
146,varundvn,VarunDhawan,44100000,India,484000,589800,Cinema & Actors/actresses,,Entertainment,
147,zefelipecantor,Zé,25000000,Brazil,591400,1000000,,,,
148,manchesterunited,Manchester United,60200000,United Kingdom,265600,425000,Sports with a ball,,Sports,
149,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),11200000,India,2000000,2400000,Lifestyle,,Lifestyle,
150,thedeverakonda,Vijay Deverakonda,17500000,India,1200000,1400000,Cinema & Actors/actresses,,Entertainment,
151,emilia_clarke,,27000000,India,733500,922200,Cinema & Actors/actresses,,Entertainment,
152,elrubiuswtf,el rubius WTF,17300000,Mexico,1300000,1400000,Computers & Gadgets,,Tech/Gaming,
153,hegdepooja,Pooja Hegde,21300000,India,995700,1100000,Cinema & Actors/actresses,,Entertainment,
154,vinijr,Vinicius Jr. ⚡️🇧🇷,22300000,Brazil,610100,1100000,Sports with a ball,Lifestyle,Sports,Lifestyle
155,feliciathegoat,"Tyler, The Creator",13200000,United States,1100000,1800000,,,,
156,lewishamilton,Lewis Hamilton,29800000,Brazil,564500,810500,Racing Sports,,Sports,
157,zidane,zidane,33700000,Spain,524200,714000,Sports with a ball,,Sports,
158,natgeo,National Geographic,238300000,United States,78800,100300,Nature & landscapes,Science,Lifestyle,Tech/Gaming
159,madelyncline,Maddie,12600000,United States,1300000,1900000,Cinema & Actors/actresses,,Entertainment,
160,henrycavill,Henry Cavill,21700000,Brazil,897000,1100000,Cinema & Actors/actresses,,Entertainment,
161,theestallion,Megan Thee Stallion,29800000,United States,451400,788200,,,,
162,saraalikhan95,Sara Ali Khan,41200000,India,459900,561200,Cinema & Actors/actresses,,Entertainment,
163,jacobelordi,Jacob Elordi,13200000,Brazil,1100000,1700000,Cinema & Actors/actresses,,Entertainment,
164,bizarrap,BZRP,14900000,Argentina,1300000,1500000,,,,
165,leedongwook_official,이동욱 (Official_Instagram),14800000,Indonesia,1200000,1600000,Cinema & Actors/actresses,,Entertainment,
166,thenameisyash,Yash,11200000,India,1700000,2000000,Cinema & Actors/actresses,,Entertainment,
167,hrithikroshan,Hrithik Roshan,43900000,India,407500,515700,Cinema & Actors/actresses,,Entertainment,
168,kapilsharma,Kapil Sharma,42600000,India,463900,528600,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
169,shakira,Shakira,76200000,India,216500,296200,,,,
170,jichangwook,지창욱,21400000,Indonesia,828300,1100000,Cinema & Actors/actresses,,Entertainment,
171,imhyoseop,안효섭,8900000,Indonesia,2200000,2500000,Lifestyle,,Lifestyle,
172,norafatehi,Nora Fatehi,42100000,India,424400,522300,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
173,cznburak,Burak Özdemir,40400000,Turkey,398900,541900,Food & Cooking,,Lifestyle,
174,na.jaemin0813,JAEMIN,10000000,Indonesia,1800000,2200000,,,,
175,paulpogba,Paul Labile Pogba,55300000,Brazil,218300,388600,Sports with a ball,,Sports,
176,zkdlin,KAI,14200000,Indonesia,1200000,1500000,,,,
177,sabrinacarpenter,Sabrina Carpenter,27700000,Brazil,631400,775400,,,,
178,nehakakkar,Neha Kakkar (Mrs. Singh),70800000,India,259100,302500,,,,
179,lanarhoades,Lana Rhoades,16600000,United States,771400,1300000,Lifestyle,Modeling,Lifestyle,Beauty/Fashion
180,jannatzubair29,Jannat Zubair Rahmani,44100000,India,386700,471200,Cinema & Actors/actresses,,Entertainment,
181,emmawatson,Emma Watson,67500000,United States,224300,306200,Literature & Journalism,Cinema & Actors/actresses,Info/Business,Entertainment
182,domelipa,domelipa,19800000,Mexico,850500,1000000,Lifestyle,,Lifestyle,
183,bbrightvc,bright,16100000,Indonesia,1000000,1300000,Cinema & Actors/actresses,,Entertainment,
184,erling.haaland,Erling Braut Haaland,18300000,Brazil,722600,1100000,Lifestyle,Sports with a ball,Lifestyle,Sports
185,strangerthingstv,Stranger Things Netflix,22600000,Brazil,649800,869600,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
186,bambam1a,BamBam,16700000,Brazil,917300,1200000,,,,
187,vancityreynolds,Ryan Reynolds,45100000,United States,323400,425500,Cinema & Actors/actresses,,Entertainment,
188,nina,Nina Dobrev,25900000,Brazil,512900,735400,Cinema & Actors/actresses,,Entertainment,
189,iambeckyg,Becky G,33500000,Mexico,470300,566800,,,,
190,onyourm__ark,Mark,9300000,Indonesia,1700000,2100000,Lifestyle,,Lifestyle,
191,daddyyankee,Daddy Yankee,46000000,Argentina,296900,414000,,,,
192,jamesrodriguez10,James Rodríguez,49900000,Colombia,250000,380500,Sports with a ball,,Sports,
193,kartikaaryan,KARTIK AARYAN,26000000,India,580400,721800,Cinema & Actors/actresses,,Entertainment,
194,do0_nct,Doyoung,10500000,Indonesia,1300000,1700000,Lifestyle,,Lifestyle,
195,twicetagram,TWICE,26600000,Indonesia,564000,684300,Modeling,,Beauty/Fashion,
196,m10_official,Mesut Özil,24200000,Turkey,539000,758100,Sports with a ball,,Sports,
197,aurelie.hermansyah,Aurelie Hermansyah Atta,27100000,Indonesia,528200,666200,Beauty,,Beauty/Fashion,
198,enhypen,ENHYPEN,10900000,Indonesia,1200000,1600000,Lifestyle,,Lifestyle,
199,loganpaul,Logan Paul,23800000,United States,548200,731000,Fitness & Gym,,Sports,
200,momo,모모 (MOMO),8000000,Turkey,1500000,2200000,Lifestyle,,Lifestyle,
201,zachking,Zach King,24500000,Indonesia,455500,701700,Shows,Humor & Fun & Happiness,Entertainment,Entertainment
202,akshaykumar,Akshay Kumar,63100000,India,229800,273000,Cinema & Actors/actresses,,Entertainment,
203,iamhalsey,halsey,30500000,United States,422700,556300,,,,
204,serna_amini,Serna Amini,9600000,Iran,1400000,1800000,,,,
205,nct,NCT Official Instagram,14600000,Indonesia,918300,1100000,,,,
206,kajalaggarwalofficial,Kajal A Kitchlu,23500000,India,583000,704600,Cinema & Actors/actresses,,Entertainment,
207,tatawerneck,Tata Werneck,54100000,Brazil,197100,306000,Cinema & Actors/actresses,Family,Entertainment,Lifestyle
208,angelrai07,Angel Rai :),22500000,India,591400,712500,Cinema & Actors/actresses,,Entertainment,
209,brentrivera,Brent Rivera,22300000,United States,556000,721700,Cinema & Actors/actresses,,Entertainment,
210,taeyeon_ss,TaeYeon,18800000,South Korea,696600,847100,,,,
211,louist91,Louis Tomlinson,18500000,Brazil,636600,870900,,,,
212,itzy.all.in.us,ITZY,17900000,Indonesia,714500,873700,,,,
213,haileesteinfeld,hailee steinfeld,19600000,United States,626300,795200,Cinema & Actors/actresses,,Entertainment,
214,iamferv,fer,10600000,Mexico,994000,1500000,Lifestyle,,Lifestyle,
215,brunomars,Bruno Mars,25900000,Brazil,397000,601300,,,,
216,carlinhosmaiaof,Carlinhos Maia🌻,26100000,Brazil,326500,595300,Lifestyle,,Lifestyle,
217,taeoxo_nct,TAEYONG,9600000,Indonesia,1200000,1600000,Lifestyle,,Lifestyle,
218,lilireinhart,Lili Reinhart,28700000,Brazil,359900,532300,Cinema & Actors/actresses,,Entertainment,
219,colesprouse,Cole Sprouse,35900000,United States,324600,423800,Modeling,,Beauty/Fashion,
220,jessicah_o,Jessi / 제시,12600000,United States,939700,1200000,,,,
221,riaricis1795,RICIS,31900000,Indonesia,386500,472900,Lifestyle,,Lifestyle,
222,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,16100000,India,795300,935800,Computers & Gadgets,Machinery & Technologies,Tech/Gaming,Tech/Gaming
223,nayeonyny,나연 (NAYEON),8300000,Brazil,1600000,1800000,Lifestyle,,Lifestyle,
224,sydney_sweeney,Sydney Sweeney,14200000,United States,555400,1000000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
225,thinkaboutzu,쯔위 (TZUYU),8000000,India,1600000,1900000,,,,
226,gatenm123,Gaten Matarazzo,18700000,Brazil,596800,788200,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion
227,postmalone,,22800000,United States,423200,647100,,,,
228,awez_darbar,Awez Darbar,23100000,India,531200,636500,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
229,m.by__sana,사나 (SANA),7500000,Yemen,1700000,2000000,Lifestyle,,Lifestyle,
230,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,18000000,Indonesia,654800,807900,Clothing & Outfits,,Beauty/Fashion,
231,lilbaby,,20400000,United States,385500,711900,,,,
232,somsomi0309,ENNIK 전소미,15600000,Indonesia,754700,912500,,,,
233,camimendes,camila mendes,26900000,Brazil,379600,526300,Cinema & Actors/actresses,,Entertainment,
234,attahalilintar,Atta Halilintar - PAPATA,24000000,Indonesia,430600,588000,Shows,,Entertainment,
235,sunnyleone,Sunny Leone,53500000,India,195500,264700,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
236,justintimberlake,Justin Timberlake,66100000,United States,157900,210900,Cinema & Actors/actresses,,Entertainment,
237,riyaz.14,Riyaz Aly,27400000,India,395000,514000,Lifestyle,,Lifestyle,
238,juliette,Juliette,33400000,Brazil,260800,414500,Cinema & Actors/actresses,,Entertainment,
239,xxxibgdrgn,권지용(權志龍),21300000,Indonesia,504800,640000,Photography,Fashion,Lifestyle,Beauty/Fashion
240,hyunah_aa,Hyun Ah,18200000,South Korea,622100,737200,,,,
241,ranveersingh,Ranveer Singh,41100000,India,247400,322000,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
242,bretmanrock,Bretman (Da Baddest) Rock,18500000,United States,424600,714800,Beauty,,Beauty/Fashion,
243,kevinhart4real,Kevin Hart,152500000,United States,68900,87300,Cinema & Actors/actresses,,Entertainment,
244,evaluna,Evaluna Montaner de Echeverry,20700000,Argentina,457800,630700,Family,,Lifestyle,
245,prattprattpratt,Chris Pratt,38600000,United States,258400,338100,Cinema & Actors/actresses,,Entertainment,
246,jbalvin,J Balvin,52800000,Mexico,188500,247500,,,,
247,jairmessiasbolsonaro,Jair M. Bolsonaro,21300000,Brazil,452800,628900,Finance & Economics,Business & Careers,Info/Business,Info/Business
248,britneyspears,Britney Spears,42200000,United States,222700,309700,,,,
249,janhvikapoor,Janhvi Kapoor,18500000,India,581100,693300,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
250,tinistoessel,LaTripleT,18600000,Argentina,514800,690500,,,,
251,lukamodric10,Luka Modric,24800000,Spain,349000,511300,Sports with a ball,,Sports,
252,anushkasen0408,Anushka Sen,38600000,India,282700,330300,Cinema & Actors/actresses,,Entertainment,
253,min9yu_k,김민규,7600000,Indonesia,1400000,1700000,,,,
254,keerthysureshofficial,Keerthy Suresh,13600000,India,805000,921100,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
255,samoylovaoxana,Samoylova Oxana,15300000,Russia,603400,818100,Family,Lifestyle,Lifestyle,Lifestyle
256,juandediospantoja,JD PANTOJA 🇲🇽,22600000,Mexico,479400,547600,Cinema & Actors/actresses,,Entertainment,
257,sidmalhotra,Sidharth Malhotra,20600000,India,478200,595500,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
258,avneetkaur_13,Avneet Kaur Official,32500000,India,308500,375800,Cinema & Actors/actresses,,Entertainment,
259,garethbale11,Gareth Bale,48100000,Spain,160600,251800,Sports with a ball,,Sports,
260,yellow_3to3,REN JUN,6300000,Indonesia,1600000,2000000,Lifestyle,,Lifestyle,
261,lilyjcollins,Lily Collins,26900000,United States,300900,448000,Cinema & Actors/actresses,,Entertainment,
262,luissuarez9,Luis Suárez,44300000,Brazil,179900,269700,Sports with a ball,,Sports,
263,realbarbarapalvin,Barbara Palvin,18200000,Russia,483400,652300,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
264,johnnyjsuh,Johnny Suh,8800000,Indonesia,1000000,1400000,Lifestyle,,Lifestyle,
265,lizgillz,Elizabeth Gillies,14100000,Mexico,578900,838100,Cinema & Actors/actresses,,Entertainment,
266,fedez,FEDEZ,14400000,Italy,593000,820400,,,,
267,keniaos,Kenia Os,13900000,Mexico,655100,851800,,,,
268,liluzivert,Lil Uzi Vert,16400000,United States,392800,722900,,,,
269,_zyozyo,JIHYO,6700000,Indonesia,1400000,1800000,Lifestyle,,Lifestyle,
270,heybiblee,이성경,14500000,Indonesia,598200,807600,Modeling,,Beauty/Fashion,
271,thehughjackman,,30500000,United States,338100,384400,Cinema & Actors/actresses,,Entertainment,
272,marvel,Marvel Entertainment,66400000,United States,148000,175500,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
273,nicki.nicole,,12500000,Argentina,630000,931600,,,,
274,yoona__lim,,13900000,Indonesia,700100,837600,Cinema & Actors/actresses,,Entertainment,
275,ananyapanday,Ananya 💛💫,23700000,India,419700,490200,Cinema & Actors/actresses,,Entertainment,
276,pubity,Pubity,31800000,United States,249300,364500,Humor & Fun & Happiness,,Entertainment,
277,mr_faisu_07,FAISAL SHAIKH,28300000,India,322900,411800,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
278,marshmello,marshmello,29500000,United States,267100,385900,,,,
279,tigerjackieshroff,Tiger Shroff,35600000,India,263700,321300,Cinema & Actors/actresses,,Entertainment,
280,_imyour_joy,Joy,14200000,Indonesia,670100,801000,Lifestyle,,Lifestyle,
281,iansomerhalder,iansomerhalder,23400000,United States,326200,487600,Cinema & Actors/actresses,,Entertainment,
282,trippieredd,555,13100000,United States,443100,868900,,,,
283,sachintendulkar,Sachin Tendulkar,35600000,India,264200,316700,Sports with a ball,Lifestyle,Sports,Lifestyle
284,perrieedwards,Perrie Edwards 🖤,15900000,Brazil,456600,712500,Modeling,,Beauty/Fashion,
