#,الاسم,المتابعون,معدل الارتداد,الدولة,موضوع التأثير,مدى الإمكانية,حفظ,دعوة للانضمام إلى الحملة
17,Catalin Botezatu @catalinbotezatu1,1.2M,0.75%,رومانيا,الأزياء والإكسسوارات الفنون والحرف اليدوية الترفيه والموسيقى الأعمال والتمويل,360.3K,,عرض الملف الشخصي
18,Bianca Dragusanu @biancadragusanu18,1.2M,0.24%,رومانيا,الأزياء والإكسسوارات الأعمال والتمويل Television,359.5K,,عرض الملف الشخصي
19,𝟰𝟰𝟰 @oltean_vld,1.1M,2.07%,رومانيا,تعليم تحسين المهارات تمثيل مشاهير,331.8K,,عرض الملف الشخصي
20,Cristina Ciobanasu @cristinaciobanasu_oficial,1.1M,0.74%,رومانيا,التمثيل والدراما موسيقى مشهور ممثلين,318.8K,,عرض الملف الشخصي
21,ANAMARIA PRODAN @anamariaprodanreghecampf,1M,0.15%,رومانيا,أمهات,304.5K,,عرض الملف الشخصي
22,ОЛЕКСАНДР ЗАЛІСКО @o_zalisko,1M,1.84%,رومانيا,,300.3K,,عرض الملف الشخصي
23,Culiță Sterp @culita.sterp,991.8K,1.65%,رومانيا,الترفيه والموسيقى الأزياء والإكسسوارات موسيقى,297.5K,,عرض الملف الشخصي
24,ALINA TISHA @alinaceusan,979.2K,0.59%,رومانيا,الأزياء والإكسسوارات تربية الأطفال تمثيل,293.8K,,عرض الملف الشخصي
25,Elena Andrei @sasha_elena_real,955.1K,16.73%,رومانيا,الترفيه والموسيقى,286.5K,,عرض الملف الشخصي
26,Drei @dreiros,923.3K,0.85%,رومانيا,الترفيه والموسيقى موسيقى منتجون ترفيه,277K,,عرض الملف الشخصي
27,Cristina Ich @christina_ich,920.4K,1.16%,رومانيا,تعليم تحسين المهارات نمط الحياة,276.1K,,عرض الملف الشخصي
28,SORÉ @soreonline,903.2K,0.3%,رومانيا,الفنون والحرف اليدوية الأزياء والإكسسوارات موسيقى تمثيل,271K,,عرض الملف الشخصي
29,Aqua Swim @aquaswimromania,897.3K,-,رومانيا,اللياقة البدنية والصحة,269.2K,,عرض الملف الشخصي
30,Chef Sorin Bontea @chef.sorinbontea.official,892.3K,0.77%,رومانيا,طعام,267.7K,,عرض الملف الشخصي
31,Alex Velea @iamvelea,891.8K,1.64%,رومانيا,فن ممثلين,267.5K,,عرض الملف الشخصي
32,Simona Păun | Pilot @pilot_simona,865.7K,0.63%,رومانيا,تعليم تحسين المهارات,259.7K,,عرض الملف الشخصي
33,Mihai Morar @mihaimorar,840.3K,0.88%,رومانيا,الترفيه والموسيقى,252.1K,,عرض الملف الشخصي
34,Irina Rimes 🇷🇴🇫🇷 @irinarimes,836.4K,1.62%,رومانيا,فن موسيقى فنان,250.9K,,عرض الملف الشخصي
35,Patricia Druţă @patricia_druta,818.5K,2.05%,رومانيا,,245.5K,,عرض الملف الشخصي
36,Catalin Maruta @catalin_maruta,801.6K,2.07%,رومانيا,تعليم تحسين المهارات,240.5K,,عرض الملف الشخصي
37,ADDA @addabaladda,788.2K,0.92%,رومانيا,تعليم أمهات,236.5K,,عرض الملف الشخصي
38,Oana Radu @eusuntoanaradu,785.2K,0.11%,رومانيا,الفنون والحرف اليدوية الترفيه والموسيقى ممثلين,235.6K,,عرض الملف الشخصي
39,Romania @romania,783.5K,0.43%,رومانيا,سفر,235K,,عرض الملف الشخصي
40,CRISTIAN MUNTEANU @mntchristian,778.4K,2.6%,رومانيا,فن,233.5K,,عرض الملف الشخصي
41,lauracosoi @lauracosoi,762.5K,0.29%,رومانيا,التمثيل والدراما طعام مشهور أمهات,228.7K,,عرض الملف الشخصي
42,🐝 Bianca Vanessa 🦋 @biancaandreescu_,733.7K,3.8%,رومانيا,رياضة مغني موسيقى,220.1K,,عرض الملف الشخصي
43,iulia bochis @iuliastration,724.2K,5.14%,رومانيا,الفنون والحرف اليدوية,217.3K,,عرض الملف الشخصي
44,⚜️Daniela Crudu⚜️ @daniela_crudu_official,718.7K,1.26%,رومانيا,,215.6K,,عرض الملف الشخصي
45,Liviu Teodorescu @liviuteodorescu,716.9K,0.36%,رومانيا,الترفيه والموسيقى Musicians موسيقى,215.1K,,عرض الملف الشخصي
46,Bogdan De La Ploiesti @bogdandelaploiesti,715.7K,2.95%,رومانيا,الترفيه والموسيقى,214.7K,,عرض الملف الشخصي
47,𝐕𝐥𝐚𝐝 𝐆𝐡𝐞𝐫𝐦𝐚𝐧 @vladgherman_oficial,701.9K,0.88%,رومانيا,التمثيل والدراما الترفيه والموسيقى مشهور,210.6K,,عرض الملف الشخصي
48,Vlăduța Lupău @vladutalupau,701.5K,1.46%,رومانيا,الترفيه والموسيقى التسويق والإعلان,210.4K,,عرض الملف الشخصي
49,CARMEN GREBENISAN @grebenisancarmen,688.5K,0.61%,رومانيا,الأزياء والإكسسوارات نمط الحياة,206.6K,,عرض الملف الشخصي
50,Andreea Ioana @andreeaesca,675.6K,0.94%,رومانيا,الترفيه والموسيقى ممثلين,202.7K,,عرض الملف الشخصي
51,🦄Ana Beregoi🦄 @anaberegoiofficial__,675.6K,2.25%,رومانيا,الترفيه والموسيقى رقص مخرج رقص,202.7K,,عرض الملف الشخصي
52,ABI @1babyabi1,662.5K,30.09%,رومانيا,فن,198.7K,,عرض الملف الشخصي
53,Salvo Lo Castro @realchefsalvolocastro,658.4K,0.21%,رومانيا,الطعام والشراب Television طعام,197.5K,,عرض الملف الشخصي
54,doinitaoancea @doinitaoancea,632.8K,0.54%,رومانيا,الترفيه والموسيقى تحسين المهارات مشهور,189.9K,,عرض الملف الشخصي
55,Mirela Vaida @mirelavaida,632.2K,0.42%,رومانيا,الترفيه والموسيقى الأسرة الطعام والشراب,189.7K,,عرض الملف الشخصي
56,dani otil @daniotil,624.4K,1.01%,رومانيا,السيارات,187.3K,,عرض الملف الشخصي
57,Jesse Al Hamdaniجاسم الحمداني @jalhamdani,618.2K,0.02%,رومانيا,تمويل مشهور كرة قدم مشاهير,185.4K,,عرض الملف الشخصي
58,LOREDANA @loredanagroza,613.6K,0.29%,رومانيا,الفنون والحرف اليدوية موسيقى مغني تمثيل,184.1K,,عرض الملف الشخصي
59,Danna Alquati 🐁 @magicaldemon,611.4K,6.55%,رومانيا,الترفيه والموسيقى الفنون والحرف اليدوية ممثلين تمثيل,183.4K,,عرض الملف الشخصي
60,zbir @andreizbir,600K,2.26%,رومانيا,تعليم تحسين المهارات,180K,,عرض الملف الشخصي
61,Florin Dumitrescu @chefflorindumitrescu,591.6K,1.5%,رومانيا,طعام,177.5K,,عرض الملف الشخصي
62,Ema Uta @emauta,589.2K,3.51%,رومانيا,فن جمال,176.8K,,عرض الملف الشخصي
63,Theo Zeciu @theozeciu,586.1K,5.62%,رومانيا,فن,175.8K,,عرض الملف الشخصي
64,Andreea Ibacka @andreeaibacka,585.3K,0.82%,رومانيا,التمثيل والدراما الأسرة تعليم مشهور,175.6K,,عرض الملف الشخصي
65,George Ciupilan @georgeciupilan,571.5K,11.6%,رومانيا,,171.5K,,عرض الملف الشخصي
66,Almășan Cristina @cristinalmasan,568.7K,0.21%,رومانيا,التمثيل والدراما مشهور,170.6K,,عرض الملف الشخصي
67,Simona Mihaela Fatu @mihiela_simona,562.9K,0.72%,رومانيا,الأعمال والتمويل,168.9K,,عرض الملف الشخصي
68,Teo Trandafir | TV HOST @teotrandafir,552.1K,0.52%,رومانيا,الترفيه والموسيقى,165.6K,,عرض الملف الشخصي
69,OANA ZAVORANU OFFICIAL @oana.zavoranu,551.7K,1.1%,رومانيا,,165.5K,,عرض الملف الشخصي
70,Andreea Marin @andreeamarinromania,550.9K,0.4%,رومانيا,الترفيه والموسيقى,165.3K,,عرض الملف الشخصي
71,MADALIN @madalinserbann,538.5K,0.71%,رومانيا,السيارات والمركبات,161.6K,,عرض الملف الشخصي
72,Mihaela Schwartzenberg @mihaelaradulescuschwartzenberg,537.5K,0.42%,رومانيا,أزياء,161.3K,,عرض الملف الشخصي
73,cezara @cezaracristescu,537.1K,1.08%,رومانيا,الأزياء والإكسسوارات التمثيل والدراما مشهور ممثلين,161.1K,,عرض الملف الشخصي
74,MARISA PALOMA @marisa.paloma,534.1K,0.44%,رومانيا,الجمال والعناية الذاتية الأعمال والتمويل تمثيل مشاهير,160.2K,,عرض الملف الشخصي
75,RUXI @rux.si.opulenta,532K,1.04%,رومانيا,مشهور,159.6K,,عرض الملف الشخصي
76,ElenaIonescu @elenaionescumusic,529.6K,0.86%,رومانيا,الترفيه والموسيقى مغني موسيقى تأليف الأغاني,158.9K,,عرض الملف الشخصي
77,PavelBartos @pavelbartos,513.2K,0.54%,رومانيا,الترفيه والموسيقى مشهور ممثلين,154K,,عرض الملف الشخصي
78,Radu Constantin @radu.co,508.4K,0.72%,رومانيا,التمثيل والدراما تعليم مشهور التسويق والإعلان,152.5K,,عرض الملف الشخصي
79,Bianca Maria Comănici @comanicibianca,503.6K,1.08%,رومانيا,الترفيه والموسيقى رومانسية وزفاف,151.1K,,عرض الملف الشخصي
80,Flavia Mihasan @flavia_mihasan,502K,0.24%,رومانيا,الأسرة تمثيل,150.6K,,عرض الملف الشخصي
81,MARILU @mariludobrescu,500K,1.91%,رومانيا,مضحك تعليم ممثلين نمط الحياة,150K,,عرض الملف الشخصي
82,Cosmin Nedelcu @micutzustandup,496.6K,0.45%,رومانيا,الترفيه والموسيقى مضحك التسويق والإعلان ممثلين,149K,,عرض الملف الشخصي
83,SMARANDA STIRBU @smarandastirbu,489.3K,2.6%,رومانيا,,146.8K,,عرض الملف الشخصي
84,Corina Caragea @corinacaragea,485.3K,1.16%,رومانيا,صحافيين,145.6K,,عرض الملف الشخصي
85,Victor Slav @slavvictor,476.4K,0.22%,رومانيا,جمال,142.9K,,عرض الملف الشخصي
86,Anna Lesko Official @anna_lesko,466.5K,0.36%,رومانيا,الترفيه والموسيقى طعام موسيقى تمثيل,140K,,عرض الملف الشخصي
87,Anca Sina Serea @anca_sina_serea,465.6K,0.39%,رومانيا,أخبار,139.7K,,عرض الملف الشخصي
88,Raluca Munte @munteraluca,445.7K,0.41%,رومانيا,الأزياء والإكسسوارات عرض المنتج,133.7K,,عرض الملف الشخصي
89,𝐆𝐢𝐮𝐥𝐢𝐚 𝐀𝐧𝐠𝐡𝐞𝐥𝐞𝐬𝐜𝐮 @mygiulia,442.7K,0.73%,رومانيا,الأزياء والإكسسوارات تربية الأطفال أمهات فنان,132.8K,,عرض الملف الشخصي
90,Alex Alvarez @alexalvarezab,438K,0.31%,رومانيا,فن موسيقى,131.4K,,عرض الملف الشخصي
91,Florin Ristei @fristei,427.4K,0.25%,رومانيا,الترفيه والموسيقى مضحك موسيقى,128.2K,,عرض الملف الشخصي
92,Roxana Vancea @roxanavancea,410.6K,0.54%,رومانيا,الأسرة تدريب تدريب,123.2K,,عرض الملف الشخصي
93,Andreea Berecleanu @andreeaberecleanu,407.8K,0.4%,رومانيا,أخبار,122.3K,,عرض الملف الشخصي
94,Roxana Buzoiu @buzoiuroxanaofficial,404.6K,0.98%,رومانيا,الترفيه والموسيقى الأزياء والإكسسوارات,121.4K,,عرض الملف الشخصي
95,Ana Maria Barnoschi @ambarnoschi,402.3K,0.65%,رومانيا,الترفيه والموسيقى التمثيل والدراما الأزياء والإكسسوارات مشهور,120.7K,,عرض الملف الشخصي
96,JOY 🌻 @jo.ioanaa,399.2K,2.62%,رومانيا,فن الترفيه والموسيقى موسيقى تمثيل,119.8K,,عرض الملف الشخصي
97,Maria Pălăria @mariapalaria,387.5K,8.12%,رومانيا,الأزياء والإكسسوارات الفنون والحرف اليدوية عرض المنتج,116.3K,,عرض الملف الشخصي
98,Codin Maticiuc @maticiuc_codin,378.5K,1.03%,رومانيا,الترفيه والموسيقى,113.6K,,عرض الملف الشخصي
99,Raluca Badulescu @raluca.badulescu,373.9K,0.6%,رومانيا,تمثيل,112.2K,,عرض الملف الشخصي
100,MaxINFINITE @maxinfiniteofficial,372.4K,0.9%,رومانيا,الترفيه والموسيقى الألعاب ألعاب فيديو,111.7K,,عرض الملف الشخصي
