rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,id,topic_of_influence_en
47,دختران افغانستان🇦🇫 @afghanistan.girls,404.3K,0.11%,Afghanistan,,121.3K,instagram,afghanistan,False,2024,NA,NA,,
48,𝐒𝐄𝐄𝐓𝐀★سیتا @seeta_qasmie_page,395.4K,0.15%,Afghanistan,,118.6K,instagram,afghanistan,False,2024,NA,NA,,
49,𝐇𝐚𝐧𝐢𝐲𝐞 𝐇𝐨𝐬𝐬𝐚𝐢𝐧𝐢 @haniyemazariofficial,393.5K,1.54%,Afghanistan,,118K,instagram,afghanistan,False,2024,NA,NA,,
50,Dr. Abdullah Abdullah @abdullahabdullah.af,387.8K,1.12%,Afghanistan,,116.3K,instagram,afghanistan,False,2024,NA,NA,,
51,Shafiqa shamel @shafiqa_shamel,386.6K,0.4%,Afghanistan,Beauty and Self Care family,116K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Beauty and Self Care family
52,Fatima Rasa @fatima.rasa777,379.4K,0.4%,Afghanistan,,113.8K,instagram,afghanistan,False,2024,NA,NA,,
53,deltange_watan🇦🇫 @deltange_watan,377.7K,0.3%,Afghanistan,,113.3K,instagram,afghanistan,False,2024,NA,NA,,
54,Afghanistan Cricket Board @afghanistancricketboard,374.2K,34.39%,Afghanistan,Sports Cricket,112.2K,instagram,afghanistan,False,2024,Sports,MAPPED,,Sports Cricket
55,Bilal F Mohammad @alihealth_1,364K,9.82%,Afghanistan,Fitness and Health,109.2K,instagram,afghanistan,False,2024,Sports,MAPPED,,Fitness and Health
56,لايك بزن و بخند 😂✌️(official) @afg.joooke,359.5K,0.49%,Afghanistan,,107.8K,instagram,afghanistan,False,2024,NA,NA,,
57,Afghan 🖤❤️ 💚🇦🇫 @afghan.insta_12,344.9K,0.4%,Afghanistan,,103.5K,instagram,afghanistan,False,2024,NA,NA,,
58,Anil Jan @i.aniljan,343.2K,-,Afghanistan,,103K,instagram,afghanistan,False,2024,NA,NA,,
59,Moe Shalizi @shalizi,340.1K,1.09%,Afghanistan,Entertainment and Music Home and Garden Coaching Actors,102K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music Home and Garden Coaching Actors
60,Sahar Saidi @saharariyanmusic,330.7K,0.81%,Afghanistan,,99.2K,instagram,afghanistan,False,2024,NA,NA,,
61,ariana.ar.news @ariana.ar.news,330.2K,0.3%,Afghanistan,,99.1K,instagram,afghanistan,False,2024,NA,NA,,
62,Afghan Saiyan .🇦🇫🔥...🎬CLIPS ♠🔵 @afghan_star_clips_,324.5K,0.1%,Afghanistan,Entertainment and Music,97.4K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music
63,🕊khoshy 🕊 @khoshy_rabi,321.5K,4.5%,Afghanistan,,96.5K,instagram,afghanistan,False,2024,NA,NA,,
64,Kabul Music @kabul_music,315.4K,0.22%,Afghanistan,Entertainment and Music Funny Celebrity News,94.6K,instagram,afghanistan,False,2024,Knowledge&Info,MAPPED,,Entertainment and Music Funny Celebrity News
65,Ali Fareedon | علي فريدون @alifareedon.official,300K,0.3%,Afghanistan,Acting and Drama,90K,instagram,afghanistan,False,2024,Entertainment,MAPPED,,Acting and Drama
66,Jawid Sharif @jawidsharifmusicofficial,293.9K,0.4%,Afghanistan,Entertainment and Music,88.2K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music
67,شيمـاء رحيمـي @shaimarahimi,292.2K,0.19%,Afghanistan,Entertainment and Music Fashion and Accessories Beauty and Self Care Business and Finance,87.7K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Entertainment and Music Fashion and Accessories Beauty and Self Care Business and Finance
68,Afghan▕ Turkish▕ Iranian @afghanwedding_,291K,0.12%,Afghanistan,Romance and Wedding Parenting Marketing and Advertising Events,87.3K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Romance and Wedding Parenting Marketing and Advertising Events
69,Najiba Faiz Queen نجيبه فيض @najiba_queen,287.9K,0.02%,Afghanistan,Entertainment and Music,86.4K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music
70,افغان_طنز @afghan_tanzz,285K,0.1%,Afghanistan,,85.5K,instagram,afghanistan,False,2024,NA,NA,,
71,Faisal Tabibzada @kingrolexx,283.6K,1.7%,Afghanistan,,85.1K,instagram,afghanistan,False,2024,NA,NA,,
72,The Royal Afghan @the.royal.afghan,283.5K,0.65%,Afghanistan,,85.1K,instagram,afghanistan,False,2024,NA,NA,,
73,Afghan Star 14⚡صدیقه مددگار @sadiqa_madadgar,281.7K,2.45%,Afghanistan,Music,84.5K,instagram,afghanistan,False,2024,Music,MAPPED,,Music
74,𝗔𝘀𝗵𝗸𝗮𝗻 𝗔𝗿𝗮𝗯 | اشكان عرب @ashkan_arab,269.1K,5.94%,Afghanistan,Music,80.7K,instagram,afghanistan,False,2024,Music,MAPPED,,Music
75,🇦🇫__ShahDokht__Afghanistan__🇦🇫 @shahdokht___afg,267.7K,0.8%,Afghanistan,,80.3K,instagram,afghanistan,False,2024,NA,NA,,
76,🇦🇫فالو❤ @shakofe.afghan,265.3K,0.2%,Afghanistan,,79.6K,instagram,afghanistan,False,2024,NA,NA,,
77,Mansour Sahak @mansour_sahak,263.7K,28.07%,Afghanistan,,79.1K,instagram,afghanistan,False,2024,NA,NA,,
78,AFGHAN ORG @afghanorg,261.5K,0.4%,Afghanistan,Entertainment and Music Funny,78.4K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music Funny
79,The Afghan @theafghan,257.2K,13.01%,Afghanistan,,77.2K,instagram,afghanistan,False,2024,NA,NA,,
80,🔱معرفي جراحان بيني👃🏼 🔱 @jarahibinii,256.6K,0.06%,Afghanistan,Fashion Pets,77K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Fashion Pets
81,Andro 🦋 @andro121,255.9K,1.01%,Afghanistan,Entertainment and Music Television,76.8K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music Television
82,🇦🇫 Khaisto 🇦🇫 @decent_kochai,255.4K,1.2%,Afghanistan,,76.6K,instagram,afghanistan,False,2024,NA,NA,,
83,Mohammad Nabi @mohammadnabi07,252.4K,4.5%,Afghanistan,Sports Education Cricket,75.7K,instagram,afghanistan,False,2024,Sports,MAPPED,,Sports Education Cricket
84,Salam Afghanistan @salamafghanistan1,251.9K,0.3%,Afghanistan,,75.6K,instagram,afghanistan,False,2024,NA,NA,,
85,🇦🇫 فالو کن مره🤗 @sara420afg,251.2K,0.2%,Afghanistan,,75.4K,instagram,afghanistan,False,2024,NA,NA,,
86,Afghanistan 🇦🇫🕊افغانستان @afghanistan.voice,240.1K,0.2%,Afghanistan,,72K,instagram,afghanistan,False,2024,NA,NA,,
87,Shabana Mehryar @shabana_mehryar_music,237.3K,0.4%,Afghanistan,,71.2K,instagram,afghanistan,False,2024,NA,NA,,
88,Aryana Sayeed Updates @aryanasayeed.updates,236.6K,0.47%,Afghanistan,Entertainment and Music Modeling Music Entertainment,71K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Entertainment and Music Modeling Music Entertainment
89,Q A I S E M A D Y @qais_emady,232.8K,0.2%,Afghanistan,,69.8K,instagram,afghanistan,False,2024,NA,NA,,
90,NajibaFaiz Superstarنجيبه فيض @najibafaizsuperstar,230K,0.01%,Afghanistan,,69K,instagram,afghanistan,False,2024,NA,NA,,
91,AFGHAN INSTA @afghan_insta,229.6K,0.19%,Afghanistan,Photography Travel,68.9K,instagram,afghanistan,False,2024,Lifestyle,MAPPED,,Photography Travel
92,Edrees!! @edreessharifi,224.8K,5.58%,Afghanistan,,67.4K,instagram,afghanistan,False,2024,NA,NA,,
93,Jawed Ibrahimi ★ 🇦🇫 ★ @jawed_ibrahimi786,221.4K,3.33%,Afghanistan,,66.4K,instagram,afghanistan,False,2024,NA,NA,,
94,Daniel.Afg @afg.face.official,219.3K,0.4%,Afghanistan,,65.8K,instagram,afghanistan,False,2024,NA,NA,,
95,#Teamwork#TagMeWhenSheReplies✌ @wemareplies,218.6K,0.3%,Afghanistan,Entertainment and Music Singer,65.6K,instagram,afghanistan,False,2024,Music,MAPPED,,Entertainment and Music Singer
96,queenafghanistan 🧿 @queenafghanistann,217.2K,0.1%,Afghanistan,,65.2K,instagram,afghanistan,False,2024,NA,NA,,
97,Asma Nawid @asmanawid1,215.8K,1.61%,Afghanistan,Romance and Wedding Celebrity,64.7K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Romance and Wedding Celebrity
98,Mastora Akbari @mastora__akbari,207.1K,3.29%,Afghanistan,Shopping,62.1K,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,Shopping
99,Afghan Vibes افغان وایب @afghanvibesofficial,205.6K,0.9%,Afghanistan,,61.7K,instagram,afghanistan,False,2024,NA,NA,,
100,The Lady Star🌟 @zahra.elham.official,205.4K,3.6%,Afghanistan,,61.6K,instagram,afghanistan,False,2024,NA,NA,,
1,Michael Björklund ,32.6K,3.49%,Aland Islands,Food Business and Finance,9.8K,instagram,aland-islands,False,2024,Knowledge&Info,MAPPED,michaelbjorklundchef,Food Business and Finance
2,Thomas Winge ,17.1K,12.1%,Aland Islands,,5.1K,instagram,aland-islands,False,2024,NA,NA,winge.fi,
3,Erkki Santamala ,10.7K,18.8%,Aland Islands,Nature Photography,3.2K,instagram,aland-islands,False,2024,Lifestyle,MAPPED,nature_photo_erkki_santamala,Nature Photography
4,Margareta Magnusson ,10.4K,4.6%,Aland Islands,Nature Design Interior Design,3.1K,instagram,aland-islands,False,2024,Lifestyle,MAPPED,marg.magnusson,Nature Design Interior Design
5,,8.3K,8.9%,Aland Islands,Home and Garden,2.5K,instagram,aland-islands,False,2024,Lifestyle,MAPPED,nyauppgards,Home and Garden
6,Nya Åland ,4.7K,1.89%,Aland Islands,Travel,1.4K,instagram,aland-islands,False,2024,Lifestyle,MAPPED,nyaaland,Travel
7,"Smakbyn, Restaurang, Åland ",4.7K,2.15%,Aland Islands,Food,1.4K,instagram,aland-islands,False,2024,Lifestyle,MAPPED,smakbyn,Food
8,Rockoff Festival ,3.8K,6.5%,Aland Islands,Entertainment and Music,1.1K,instagram,aland-islands,False,2024,Music,MAPPED,rockoff_festival,Entertainment and Music
9,IFK Mariehamn ,2.6K,3.8%,Aland Islands,Sports,786,instagram,aland-islands,False,2024,Sports,MAPPED,ifkmariehamn,Sports
10,Zic Zac Butiken ,2.4K,3.2%,Aland Islands,Fashion and Accessories,714,instagram,aland-islands,False,2024,Beauty&Fashion,MAPPED,ziczacbutiken,Fashion and Accessories
11,Emmaus Åland ,2.2K,2.44%,Aland Islands,Fashion and Accessories Home and Garden,663,instagram,aland-islands,False,2024,Beauty&Fashion,MAPPED,emmausaland,Fashion and Accessories Home and Garden
12,PreGame🏝 ,2K,8.8%,Aland Islands,Entertainment and Music,606,instagram,aland-islands,False,2024,Music,MAPPED,prodbypregame,Entertainment and Music
13,Eric Engström&Viktor Gestberg ,1.5K,12.2%,Aland Islands,Outdoor Activity,453,instagram,aland-islands,False,2024,Sports,MAPPED,ev_hunting,Outdoor Activity
1,Cristiano Ronaldo @cristiano,625.1M,0.01%,Portugal,Finance Soccer,187.5M,instagram,all-countries,True,2024,Sports,MAPPED,,Finance Soccer
2,Leo Messi @leomessi,501.1M,0.01%,Argentina,Sports Soccer Activity General General Interest,150.3M,instagram,all-countries,True,2024,Sports,MAPPED,,Sports Soccer Activity General General Interest
3,Selena Gomez @selenagomez,429.7M,1.09%,United States,Beauty and Self Care Entertainment and Music Music Actors,128.9M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Beauty and Self Care Entertainment and Music Music Actors
4,Kylie @kyliejenner,400.5M,-,United States,Beauty and Self Care Product Showcase Modeling Public Figure,120.1M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Beauty and Self Care Product Showcase Modeling Public Figure
5,Dwayne Johnson @therock,397.8M,0.13%,United States,Entertainment and Music Actors Public Figure,119.3M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Actors Public Figure
6,Ariana Grande @arianagrande,380.3M,0.58%,United States,Entertainment and Music Music Singer Actors,114.1M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Music Singer Actors
7,Kim Kardashian @kimkardashian,364.3M,0.32%,United States,Fashion and Accessories Beauty and Self Care Actors Public Figure,109.3M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Fashion and Accessories Beauty and Self Care Actors Public Figure
8,Beyoncé @beyonce,319.9M,0.48%,United States,Music Singer,96M,instagram,all-countries,True,2024,Music,MAPPED,,Music Singer
9,Khloé Kardashian @khloekardashian,310.6M,0.19%,United States,Fashion and Accessories Modeling Public Figure,93.2M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Fashion and Accessories Modeling Public Figure
10,Kendall @kendalljenner,294.7M,1.12%,,Food Fashion and Accessories Modeling Fashion Model,88.4M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Food Fashion and Accessories Modeling Fashion Model
11,Justin Bieber @justinbieber,293M,0.37%,Canada,Entertainment and Music Music Singer Musician,87.9M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Music Singer Musician
12,Taylor Swift @taylorswift,283.4M,-,United States,Entertainment and Music Music Singer Songwriting,85M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Music Singer Songwriting
13,Virat Kohli @virat.kohli,267.1M,0.02%,India,Sports Cricket Athlete,80.1M,instagram,all-countries,True,2024,Sports,MAPPED,,Sports Cricket Athlete
14,Jennifer Lopez @jlo,253.6M,0.01%,United States,Art Food and Drink Entertainment and Music Celebrity,76.1M,instagram,all-countries,True,2024,Music,MAPPED,,Art Food and Drink Entertainment and Music Celebrity
15,Barbie @nickiminaj,229.4M,0.18%,,Fashion and Accessories Singer Artist,68.8M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Fashion and Accessories Singer Artist
16,Kourtney Kardashian Barker @kourtneykardash,224.3M,0.5%,United States,Entertainment and Music Business and Finance Modeling Actors,67.3M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Entertainment and Music Business and Finance Modeling Actors
17,Neymar Jr @neymarjr,220.1M,-,Brazil,Sports Soccer Athlete,66M,instagram,all-countries,True,2024,Sports,MAPPED,,Sports Soccer Athlete
18,Miley Cyrus @mileycyrus,217.2M,0.01%,United States,Music,65.1M,instagram,all-countries,True,2024,Music,MAPPED,,Music
19,KATY PERRY @katyperry,207.1M,0.01%,United States,Entertainment and Music Music Singer Bands Musicians,62.1M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Music Singer Bands Musicians
20,Zendaya @zendaya,184.8M,2.92%,United States,Entertainment and Music Acting and Drama Celebrity Actors,55.5M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Acting and Drama Celebrity Actors
21,Kevin Hart @kevinhart4real,180.2M,0.06%,United States,Entertainment and Music Comedian Creators & Celebrities,54.1M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Comedian Creators & Celebrities
22,Cardi B @iamcardib,169M,1.05%,United States,Entertainment and Music Singer Hair & Beauty Celebrities,50.7M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Entertainment and Music Singer Hair & Beauty Celebrities
23,👑 @kingjames,157.7M,0.96%,,Sports Basketball,47.3M,instagram,all-countries,True,2024,Sports,MAPPED,,Sports Basketball
24,Demi Lovato @ddlovato,157.3M,0.01%,United States,Entertainment and Music Singer Songwriting Music,47.2M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Singer Songwriting Music
25,badgalriri @badgalriri,152.6M,0.01%,,Music Singer,45.8M,instagram,all-countries,True,2024,Music,MAPPED,,Music Singer
26,Real Madrid C.F. @realmadrid,148.1M,0.2%,,Entertainment and Music Sports Soccer,44.4M,instagram,all-countries,True,2024,Sports,MAPPED,,Entertainment and Music Sports Soccer
27,BROWN @chrisbrownofficial,144.2M,0.23%,,Art Singer Artist,43.3M,instagram,all-countries,True,2024,Music,MAPPED,,Art Singer Artist
28,champagnepapi @champagnepapi,143.9M,0.92%,,Entertainment and Music Singer Rap,43.2M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Singer Rap
29,Ellen DeGeneres @ellendegeneres,139.6M,0.02%,United States,Celebrity TV Shows Comedy Actors,41.9M,instagram,all-countries,True,2024,Entertainment,MAPPED,,Celebrity TV Shows Comedy Actors
30,Kylian Mbappé @k.mbappe,111.7M,2.54%,France,Sports Business and Finance Home and Garden Soccer,33.5M,instagram,all-countries,True,2024,Sports,MAPPED,,Sports Business and Finance Home and Garden Soccer
31,BILLIE EILISH @billieeilish,110.2M,0.03%,United States,Art Singer,33.1M,instagram,all-countries,True,2024,Music,MAPPED,,Art Singer
32,Gal Gadot @gal_gadot,109.2M,0.16%,Israel,Entertainment and Music Food Actors Artist,32.7M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Food Actors Artist
33,Vin Diesel @vindiesel,102.8M,0.64%,United States,Producers Director Actors,30.8M,instagram,all-countries,True,2024,Music,MAPPED,,Producers Director Actors
34,LISA @lalalalisa_m,102.2M,7.02%,South Korea,Singer,30.7M,instagram,all-countries,True,2024,Music,MAPPED,,Singer
35,Priyanka @priyankachopra,90.7M,0.72%,,Actors Artist Creators & Celebrities,27.2M,instagram,all-countries,True,2024,Entertainment,MAPPED,,Actors Artist Creators & Celebrities
36,Shakira @shakira,90.5M,0.02%,,Music Singer Musician Band,27.2M,instagram,all-countries,True,2024,Music,MAPPED,,Music Singer Musician Band
37,DUA LIPA @dualipa,88.7M,1.05%,United States,Entertainment and Music Singer Artist,26.6M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Singer Artist
38,Narendra Modi @narendramodi,87.3M,2.23%,India,Politics,26.2M,instagram,all-countries,True,2024,Knowledge&Info,MAPPED,,Politics
39,David Beckham @davidbeckham,87M,0.64%,United Kingdom,Sports Soccer Public Figure,26.1M,instagram,all-countries,True,2024,Sports,MAPPED,,Sports Soccer Public Figure
40,snoopdogg @snoopdogg,84.7M,0.06%,,Entertainment and Music Music Food Chef,25.4M,instagram,all-countries,True,2024,Music,MAPPED,,Entertainment and Music Music Food Chef
41,Shraddha ✶ @shraddhakapoor,84.2M,1.99%,,Beauty and Self Care Celebrity Actors Actor,25.2M,instagram,all-countries,True,2024,Beauty&Fashion,MAPPED,,Beauty and Self Care Celebrity Actors Actor
42,J @jennierubyjane,84M,5.14%,,Singer,25.2M,instagram,all-countries,True,2024,Music,MAPPED,,Singer
43,Alia Bhatt 💛 @aliaabhatt,83.7M,0.02%,India,Acting and Drama Celebrity Actors Actor,25.1M,instagram,all-countries,True,2024,Entertainment,MAPPED,,Acting and Drama Celebrity Actors Actor
44,Khabane Lame @khaby00,79.7M,1.17%,Italy,Entertainment and Music Funny Education Life and Society,23.9M,instagram,all-countries,True,2024,Knowledge&Info,MAPPED,,Entertainment and Music Funny Education Life and Society
