rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
78,NATI JOTA 🎪🧜🏼‍♀️🧡,2600000,1.77,Argentina,Entertainment and Music Funny Life and Society Actors,777000,Music,@natijota
79,Darío Benedetto,2500000,5.57,Argentina,Soccer,761400,Sports,@pipabenedetto
80,Ailén Bechara,2500000,0.29,Argentina,Entertainment and Music Marketing and Advertising Actors,758900,Music,@ailen_bechara
81,El Misionero,2500000,1.24,Argentina,Entertainment and Music Animation and Cosplay Business and Finance Actors,749500,Music,@misioflow1
82,Wali Iturriaga,2500000,2.21,Argentina,Marketing and Advertising Actors Coaching,747900,Info/Business,@waliturriaga
83,#ComunidadBajonera - El Club Del Bajon,2500000,1.58,Argentina,Food,745100,Lifestyle,@clubdelbajon
84,Nazarena Velez,2400000,1.6,Argentina,Entertainment and Music family Parenting Actors,731500,Music,@nazarenavelez
85,Mariana Fabbiani,2400000,0.22,Argentina,Actors,712600,Entertainment,@marianafabbiani
86,Leandro,2400000,5.0,Argentina,Sports Soccer Actors,706100,Sports,@leoparedes20
87,Sofi Morandi,2300000,1.17,Argentina,"Entertainment and Music Actors Celebrities Film, Music & Books",691700,Music,@sofimorandi
88,Nutrición & Salud 🍓🍍🍏,2300000,0.69,Argentina,Fitness and Health Food Medical Health Health and Medical Services,677600,Lifestyle,@nutricion.salud.arg
89,Tamara Bella,2200000,0.31,Argentina,Romance and Wedding Acting and Drama Actors,661000,Lifestyle,@tamibellatb
90,Pablo Granados,2200000,1.98,Argentina,family Actors,660600,Lifestyle,@pablo_grana
91,Alexander Caniggia,2200000,1.19,Argentina,Entertainment and Music Fashion and Accessories,660000,Music,@alexcaniggia
92,Vicky Xipolitakis,2200000,1.11,Argentina,Marketing and Advertising Actors,659000,Info/Business,@victoriaxipolitakisok
93,𝒮𝑜𝒻𝒾́𝒶 𝒞𝓁𝑒𝓇𝒾𝒸𝒾 🧛🏻‍♀️,2200000,0.16,Argentina,Fashion and Accessories Actors Modeling,658400,Beauty/Fashion,@sofiaclericiok
94,Isabel Macedo,2200000,0.4,Argentina,Actors,654400,Entertainment,@isabelmacedophoto
95,micaela tinelli,2100000,0.4,Argentina,Beauty and Self Care Actors Journalists Modeling,643800,Beauty/Fashion,@micatinelli
96,Abel Pintos,2100000,2.54,Argentina,Entertainment and Music Music Actors Journalists,638300,Music,@abelpintos
97,𝕭𝖆𝖕𝖙𝖎𝖘𝖙𝖊 𝕲𝖎𝖆𝖇𝖎𝖈𝖔𝖓𝖎,2100000,0.14,Argentina,Beauty and Self Care Fashion and Accessories Business and Finance Celebrities,629900,Beauty/Fashion,@baptiste.giabiconi
98,Federico Bal,2100000,0.12,Argentina,Entertainment and Music Auto and Vehicles Fashion and Accessories Celebrity,623000,Music,@balfederico
99,Daniela Cantante,2000000,0.01,Argentina,Entertainment and Music Product Education Business and Finance Music,612700,Music,@danielacantante
100,TaniaGattas 🇲🇽,2000000,1.14,Argentina,"Entertainment and Music Marketing and Advertising Celebrities Film, Music & Books",611900,Music,@taniagattas
1,Chris Hemsworth,58500000,1.6,Australia,Actors,17500000,Entertainment,@chrishemsworth
2,Hugh Jackman,31900000,1.27,Australia,Entertainment and Music Actors TV Host Modeling,9600000,Music,@thehughjackman
3,Ruby Rose,22700000,0.42,Australia,Celebrity Modeling,6800000,Beauty/Fashion,@rubyrose
4,Miranda Kerr,14600000,0.82,Australia,Beauty and Self Care Fashion and Accessories Business and Finance Lifestyle,4400000,Beauty/Fashion,@mirandakerr
5,Liam Hemsworth,12600000,3.55,Australia,Actors Film,3800000,Entertainment,@liamhemsworth
6,5 Seconds of Summer,11500000,1.6,Australia,Entertainment and Music,3500000,Music,@5sos
7,Rebel Wilson,11200000,0.48,Australia,Acting and Drama Modeling Styling,3400000,Beauty/Fashion,@rebelwilson
8,David Warner,10700000,0.7,Australia,family Cricket,3200000,Sports,@davidwarner31
9,ANGELA WHITE,9900000,1.32,Australia,Entertainment and Music Romance and Wedding Actors Modeling,3000000,Music,@theangelawhite
10,Nicole Kidman,9800000,1.65,Australia,Acting and Drama Actors,2900000,Entertainment,@nicolekidman
11,Celeste Barber,9600000,1.21,Australia,Entertainment and Music Funny Celebrity Writers,2900000,Music,@celestebarber
12,Dacre Montgomery,8900000,3.28,Australia,Art,2700000,Entertainment,@dacremontgomery
13,Daniel Ricciardo,8700000,6.25,Australia,Sports Racing Cars,2600000,Sports,@danielricciardo
14,Phoebe Tonkin,8500000,1.74,Australia,Entertainment and Music Modeling Actors,2500000,Music,@phoebejtonkin
15,Luke Hemmings,8400000,4.35,Australia,Music Guitar Singer,2500000,Music,@lukehemmings
16,Calum Hood,7800000,4.32,Australia,Music Rock Guitar,2300000,Music,@calumhood
17,Claire Holt,7600000,4.98,Australia,,2300000,,@claireholt
18,Ben Simmons,7300000,2.49,Australia,Sports Modeling,2200000,Sports,@bensimmons
19,Igor Cavalari,7000000,3.57,Australia,Entertainment and Music Video Blogger Celebrities Humor,2100000,Music,@igao
20,𝐑 𝐎 𝐒 𝐀 𝐍 𝐍 𝐀 𝐀 𝐑 𝐊 𝐋 𝐄,6200000,0.1,Australia,Beauty and Self Care Fashion and Accessories Modeling,1900000,Beauty/Fashion,@rosannaarkle
21,Sveta Bilyalova,5900000,2.7,Australia,Business and Finance,1800000,Info/Business,@svetabily
22,Bindi Irwin,5500000,3.59,Australia,Nature Animals Actors,1600000,Lifestyle,@bindisueirwin
23,안보현,5000000,0.23,Australia,Modeling,1500000,Beauty/Fashion,@bohyunahn
24,Okan Canbolat Australia ©️,4900000,,Australia,Acting and Drama Entertainment and Music Celebrity Music,1500000,Music,@okan_canbolat_official
25,AC/DC,4100000,2.08,Australia,Entertainment and Music Music Band,1200000,Music,@acdc
26,Robert Irwin,3800000,2.65,Australia,Nature Photography Home and Garden,1200000,Music,@robertirwinphotography
27,Maya // vegan recipes,3700000,0.28,Australia,Fitness and Health Food and Drink,1100000,Lifestyle,@fitgreenmind
28,S A V A N N A H ➕ C L A R K E,3700000,0.47,Australia,Entertainment and Music Music Modeling,1100000,Music,@savannah.clarke
29,lilymaymac,3700000,0.31,Australia,Fashion and Accessories Lifestyle Modeling Celebrities,1100000,Beauty/Fashion,@lilymaymac
30,ʜɪʟᴅᴇ ᴏsʟᴀɴᴅ ♡,3700000,0.63,Australia,Travel Modeling,1100000,Beauty/Fashion,@hildeee
31,Steve Smith,3600000,2.68,Australia,Tennis Cricket,1100000,Sports,@steve_smith49
32,Natasha Oakley,3600000,0.49,Australia,Fashion and Accessories Business and Finance Lifestyle Styling,1100000,Beauty/Fashion,@tashoakley
33,SHANINA SHAIK,3500000,0.1,Australia,Fashion and Accessories Beauty and Self Care Modeling Design,1100000,Beauty/Fashion,@shaninamshaik
34,Nathaniel Buzolic,3400000,1.9,Australia,Actors,1000000,Entertainment,@natebuzz
35,Trixie Mattel,3400000,0.97,Australia,Animation and Cosplay Hair & Beauty Celebrities Public Figure,1000000,Beauty/Fashion,@trixiemattel
36,Jasmine,3300000,0.1,Australia,Entertainment and Music Celebrity Lifestyle,1000000,Music,@jascurtissmith
37,Evelyn Sharma,3300000,0.21,Australia,Entertainment and Music Travel family Home and Garden,1000000,Music,@evelyn_sharma
38,Carolina McCauley,3300000,0.1,Australia,DIY and Life Hacks Home and Garden,981400,Lifestyle,@carolina.mccauley
39,Travis Fimmel,3000000,6.08,Australia,,912400,,@travisfimmel
40,Tame Impala,2900000,6.19,Australia,Entertainment and Music Music Songwriting,877400,Music,@tameimpala
41,Eliza Taylor,2900000,3.5,Australia,Acting and Drama Food,871800,Lifestyle,@elizajaneface
42,Lazar Beam,2800000,9.5,Australia,Games Entertainment and Music Funny Parenting,847600,Music,@lazarbeamyt
43,Daniella Rahme دانييلا رحمه,2700000,0.89,Australia,Fashion and Accessories Celebrity Actors Dance,812900,Beauty/Fashion,@daniellarahme
44,Keith Urban,2700000,1.53,Australia,Entertainment and Music Singer,810500,Music,@keithurban
45,Hillsong UNITED,2700000,0.46,Australia,Entertainment and Music Parenting Singer,804800,Music,@hillsongunited
46,Glenn Maxwell,2700000,6.25,Australia,Sports,803700,Sports,@gmaxi_32
