rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
53,Camilo,28000000,,,Entertainment and Music,8400000,Music,@camilo
54,Daniel Ibarra,27600000,,,Entertainment and Music,8300000,Music,@juandaniel.ibarra
55,시아지우 sia_jiwoo,27500000,0.2,South Korea,,8300000,,@sia_jiwoo
56,Lexi Rivera,27100000,4.5,,,8100000,,@lexibrookerivera
57,KEEMOKAZI,27000000,,,Entertainment and Music,8100000,Music,@keemokazi
58,psg,26700000,,,Sports,8000000,Sports,@psg
59,JeisonGiraldo,26300000,,,family Romance and Wedding,7900000,Lifestyle,@jeison_giraldo
60,JeanCarlo Leon,26300000,,,,7900000,,@jashlem
61,Jimena,26100000,1.2,,Funny,7800000,Entertainment,@jimena.jimenezr
62,Doja Cat,26000000,0.1,United States,Entertainment and Music,7800000,Music,@dojacat
63,Bader Al Safar,26000000,,Kuwait,Fashion and Accessories,7800000,Beauty/Fashion,@baderalsafar
64,DAVID DOBRIK,26000000,,United States,Entertainment and Music Funny,7800000,Music,@daviddobrik
65,LARRAY,25900000,,,Entertainment and Music,7800000,Music,@larrayeeee
66,Era Ays,25900000,,,,7800000,,@era_ays
67,Karla Bustillos ❤️,25700000,0.1,,,7700000,,@karla.bustillos
68,BORREGO,25700000,4.6,,,7700000,,@lagranjadelborrego
69,Arnaldo Mangini,25400000,,,Beauty and Self Care Funny,7600000,Beauty/Fashion,@arnaldomangini
70,Jaykindafunny,25400000,,,Funny,7600000,Entertainment,@jaykindafunny8
71,Malu Trevejo,25200000,,,,7600000,,@malutrevejo
72,AriGameplays,25100000,1.0,,Games,7500000,Tech/Gaming,@arigameplays
73,Dina,24900000,0.6,,,7500000,,@dina
74,DonaldDucc 🦆,24700000,,,Animals,7400000,Lifestyle,@donaldducc
75,adrilatinatv,24500000,,,,7400000,,@adrilatinatv
76,Victor Melo,24500000,,,,7400000,,@victormelo
77,Chingu Amiga,24100000,,,Food Beauty and Self Care,7200000,Beauty/Fashion,@chinguamiga
78,The Mannii Show,24000000,0.8,,Entertainment and Music Funny,7200000,Music,@the_mannii
79,Terry Crews,23900000,0.4,United States,Entertainment and Music Celebrity,7200000,Music,@terrycrews
80,Jacob Sartorius,23700000,,United States,Entertainment and Music,7100000,Music,@jacobsartorius
81,Luara,23600000,0.6,,,7100000,,@luara
82,Nicolle Figueroa,23400000,5.1,,,7000000,,@nicollefigueroaa
83,Ryan Reynolds,22900000,8.5,Canada,,6900000,,@vancityreynolds
84,Lauren Godwin,22600000,0.3,United States,Entertainment and Music family,6800000,Music,@laurengodwin
85,mingweirocks,22500000,,,,6800000,,@mingweirocks
86,Cardi B,22400000,8.0,,,6700000,,@iamcardib
87,Latiktokeuse869,22200000,,,Funny Entertainment and Music,6700000,Music,@latiktokeuse869
88,Mackenzie Ziegler,22100000,,,,6600000,,@mackenzieziegler
89,Lance Stewart,22100000,,United States,Entertainment and Music,6600000,Music,@lance210
90,Anitta,22100000,0.8,,,6600000,,@anitta
91,Marrkadams,22100000,,,,6600000,,@marrkadams
92,ROMINA,22000000,0.2,United States,Entertainment and Music,6600000,Music,@rominagafur
93,창하CHANGHA,22000000,,,,6600000,,@chang._.a
94,josi,21900000,,,Funny,6600000,Entertainment,@jmartineze_
95,Caín Guzmán,21900000,,,Entertainment and Music,6600000,Music,@cainguzman
96,Bryce Hall,21500000,,United States,Entertainment and Music,6500000,Music,@brycehall
97,온오빠 On Oppa,21500000,,,Entertainment and Music,6500000,Music,@korea.on
98,Seany,21300000,,,,6400000,,@seandoesmagic
99,Pk,21300000,2.6,,,6400000,,@pkllipe
100,The Hype House,21100000,,,Entertainment and Music,6300000,Music,@thehypehouse
